,BetterCodeHub,Class,CoverityScan,SonarQube,endLines,startLines
0,"['SEPARATE_CONCERNS_IN_MODULES', 'AUTOMATE_TESTS', 'COUPLE_ARCHITECTURE_COMPONENTS_LOOSELY', 'WRITE_CLEAN_CODE']",AbstractCellView,"['Dereference before null check', 'Dereference after null check', 'Dereference after null check']","['squid:S00105', 'squid:S134', 'squid:S134', 'squid:HiddenFieldCheck', 'squid:S1149', 'squid:S1226', 'squid:S1226', 'squid:S1226', 'squid:S1226', 'squid:MethodCyclomaticComplexity', 'squid:S134', 'squid:S134', 'squid:S1244', 'squid:S1135', 'squid:S1948', 'code_smells:complex_class', 'common-java:DuplicatedBlocks', 'squid:S1444', 'squid:S1166', 'squid:S1244', 'squid:S1948', 'code_smells:antisingleton', 'code_smells:class_data_private', 'squid:ClassVariableVisibilityCheck', 'squid:S1181']","[nan, 430.0, 341.0, 390.0, 227.0, 500.0, 498.0, 467.0, 465.0, 415.0, 614.0, 441.0, 507.0, 614.0, 614.0, 379.0, 249.0, 45.0, 1.0, nan, 39.0, 33.0, 39.0, 379.0, 51.0, 1.0, 1.0, 33.0, 39.0, 0.0, 0.0, 0.0]","[nan, 430.0, 341.0, 390.0, 227.0, 500.0, 498.0, 467.0, 465.0, 415.0, 1.0, 441.0, 507.0, 1.0, 1.0, 379.0, 249.0, 45.0, 1.0, nan, 39.0, 33.0, 39.0, 379.0, 51.0, 1.0, 1.0, 33.0, 39.0, 0.0, 0.0, 0.0]"
1,"['SEPARATE_CONCERNS_IN_MODULES', 'AUTOMATE_TESTS', 'COUPLE_ARCHITECTURE_COMPONENTS_LOOSELY']",AttributeMap,[],"['code_smells:class_data_private', 'code_smells:long_method', 'squid:S1149', 'squid:S134', 'squid:S1444', 'squid:S1182', 'squid:S2386', 'squid:S1226', 'squid:S1135', 'code_smells:complex_class', 'squid:S1161', 'squid:S1161', 'squid:ClassVariableVisibilityCheck', 'code_smells:antisingleton', 'squid:S134', 'squid:MethodCyclomaticComplexity', 'squid:S1226', 'squid:S1134', 'squid:S1226', 'squid:S1226', 'squid:S1226', 'squid:S1226', 'squid:S1226', 'squid:S1149', 'squid:S00105', 'squid:S1135', 'squid:S1226', 'squid:S134']","[1.0, 1.0, 599.0, 31.0, 403.0, 36.0, 37.0, 36.0, 431.0, 489.0, 1.0, 37.0, 488.0, 36.0, 1.0, 279.0, 249.0, 313.0, 599.0, 318.0, 317.0, 429.0, 315.0, 319.0, 394.0, 469.0, 599.0, nan, 355.0, 392.0, 263.0]","[1.0, 1.0, 1.0, 31.0, 403.0, 36.0, 37.0, 36.0, 431.0, 489.0, 1.0, 37.0, 488.0, 36.0, 1.0, 279.0, 249.0, 313.0, 1.0, 318.0, 317.0, 429.0, 315.0, 319.0, 394.0, 469.0, 1.0, nan, 355.0, 392.0, 263.0]"
2,"['WRITE_CLEAN_CODE', 'WRITE_CLEAN_CODE', 'WRITE_CLEAN_CODE']",BasicGraphDropTargetListener,"['Unguarded write', 'Unguarded write', 'Dereference null return value']","['squid:S1905', 'squid:S1166', 'squid:S1166', 'squid:S1166', 'squid:S1186', 'squid:S1186', 'squid:S1186', 'squid:S1186', 'squid:S1186', 'squid:S1186', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S00105', 'squid:S1213']","[0.0, 0.0, 0.0, 162.0, 192.0, 143.0, 149.0, 162.0, 33.0, 237.0, 61.0, 54.0, 47.0, 40.0, 255.0, 256.0, 257.0, 258.0, 259.0, 265.0, nan, 254.0, 149.0, 143.0]","[0.0, 0.0, 0.0, 162.0, 192.0, 143.0, 149.0, 162.0, 33.0, 237.0, 61.0, 54.0, 47.0, 40.0, 255.0, 256.0, 257.0, 258.0, 259.0, 265.0, nan, 254.0, 149.0, 143.0]"
3,[],BasicGraphTransferable,[],"['squid:MethodCyclomaticComplexity', 'squid:S00105', 'squid:S1168', 'squid:S106', 'squid:S1166', 'squid:S1172', 'code_smells:long_method']","[119.0, nan, 175.0, 51.0, 50.0, 178.0, 1.0]","[119.0, nan, 175.0, 51.0, 50.0, 178.0, 1.0]"
4,[],BasicGraphUI$ComponentHandler,['BC: Bad casts of object references'],[],[0.0],[0.0]
5,[],BasicGraphUI$GraphDropTargetListener,['Explicit null dereferenced'],[],[0.0],[0.0]
6,[],BasicGraphUI$KeyHandler,['Explicit null dereferenced'],[],[0.0],[0.0]
7,[],BasicGraphUI$MouseHandler,['Dereference null return value'],[],[0.0],[0.0]
8,[],BasicGraphUI$RootHandle,['Dereference null return value'],[],[0.0],[0.0]
9,"['COUPLE_ARCHITECTURE_COMPONENTS_LOOSELY', 'SEPARATE_CONCERNS_IN_MODULES', 'WRITE_CODE_ONCE', 'AUTOMATE_TESTS', 'WRITE_CLEAN_CODE', 'WRITE_CLEAN_CODE', 'WRITE_CLEAN_CODE', 'WRITE_CLEAN_CODE']",BasicGraphUI,"['Dereference after null check', 'Dereference null return value', 'DE: Dropped or ignored exception', 'DE: Dropped or ignored exception', 'Dereference after null check', 'Dereference null return value', 'BC: Bad casts of object references']","['squid:CommentedOutCodeLine', 'squid:S1066', 'squid:S1066', 'squid:S1067', 'squid:S1067', 'squid:S1151', 'squid:S1151', 'squid:S1151', 'squid:S1067', 'squid:CommentedOutCodeLine', 'squid:S1135', 'squid:S1135', 'squid:S1135', 'squid:S1135', 'squid:S1134', 'squid:S00116', 'squid:S00116', 'squid:S1067', 'squid:S00117', 'squid:S00108', 'squid:S00108', 'squid:S00108', 'squid:S00108', 'squid:ClassCyclomaticComplexity', 'squid:S1148', 'squid:CommentedOutCodeLine', 'squid:S1066', 'squid:CommentedOutCodeLine', 'squid:S1244', 'squid:S1244', 'squid:S1132', 'squid:S1132', 'squid:S1132', 'squid:S1132', 'squid:S00105', 'squid:S1948', 'squid:S1948', 'squid:S1948', 'squid:S1948', 'squid:S1948', 'squid:S1948', 'squid:CommentedOutCodeLine', 'squid:S1948', 'squid:S1948', 'squid:S1444', 'squid:S1444', 'squid:S1444', 'squid:S1444', 'squid:S1444', 'squid:S1213', 'squid:S1166', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S1948', 'squid:CommentedOutCodeLine', 'squid:S1226', 'squid:S1226', 'squid:MethodCyclomaticComplexity', 'squid:MethodCyclomaticComplexity', 'squid:MethodCyclomaticComplexity', 'squid:MethodCyclomaticComplexity', 'squid:MethodCyclomaticComplexity', 'squid:MethodCyclomaticComplexity', 'squid:MethodCyclomaticComplexity', 'squid:MethodCyclomaticComplexity', 'squid:S1161', 'squid:S1161', 'squid:S1161', 'squid:S1161', 'squid:S1161', 'squid:S1161', 'squid:S1161', 'squid:S1161', 'squid:S1161', 'squid:S1166', 'squid:S1166', 'squid:S1166', 'squid:S1166', 'squid:S1166', 'squid:S1166', 'squid:S1166', 'squid:S1166', 'squid:S1166', 'squid:S1166', 'squid:S1166', 'squid:MethodCyclomaticComplexity', 'squid:S1244', 'squid:S1226', 'squid:S1226', 'squid:S1226', 'squid:S1226', 'squid:S1226', 'squid:S1226', 'squid:S1226', 'squid:S1226', 'squid:S1226', 'squid:MethodCyclomaticComplexity', 'squid:MethodCyclomaticComplexity', 'squid:MethodCyclomaticComplexity', 'squid:MethodCyclomaticComplexity', 'squid:S1850', 'squid:MethodCyclomaticComplexity', 'squid:MethodCyclomaticComplexity', 'squid:MethodCyclomaticComplexity', 'squid:MethodCyclomaticComplexity', 'squid:S1172', 'squid:S1172', 'squid:S1172', 'squid:S1186', 'squid:S1186', 'squid:S1186', 'squid:S1181', 'squid:S1181', 'squid:S1181', 'squid:S1181', 'squid:S1181', 'squid:MethodCyclomaticComplexity', 'squid:S1244', 'squid:S1166', 'squid:S1199', 'squid:S134', 'squid:S134', 'squid:S134', 'squid:S134', 'squid:S1199', 'squid:S106', 'squid:S134', 'squid:S134', 'squid:S134', 'squid:S134', 'squid:S134', 'squid:S134', 'squid:HiddenFieldCheck', 'squid:S134', 'squid:S134', 'squid:S134', 'squid:S134', 'squid:S134', 'squid:S134', 'squid:S134', 'code_smells:long_method', 'code_smells:class_data_private', 'code_smells:antisingleton', 'squid:ClassVariableVisibilityCheck', 'squid:ClassVariableVisibilityCheck', 'squid:ClassVariableVisibilityCheck', 'squid:ClassVariableVisibilityCheck', 'squid:S134', 'squid:ClassVariableVisibilityCheck', 'squid:S134', 'squid:S134', 'squid:S134', 'code_smells:complex_class', 'squid:S134', 'squid:S134', 'common-java:DuplicatedBlocks', 'squid:S134']","[0.0, 944.0, 3031.0, 2965.0, 2954.0, 2004.0, 1217.0, 1199.0, 1242.0, 1807.0, 954.0, 2723.0, 2784.0, 2789.0, 2857.0, 1351.0, 2143.0, 2145.0, 1979.0, 2633.0, 3220.0, 3220.0, 1148.0, 1149.0, 1171.0, 1172.0, 107.0, 2895.0, 982.0, 2639.0, 1832.0, 2562.0, 2562.0, 2918.0, 2927.0, 2961.0, 2964.0, nan, 2200.0, 1949.0, 1893.0, 219.0, 216.0, 213.0, 984.0, 210.0, 184.0, 132.0, 129.0, 126.0, 123.0, 120.0, 1365.0, 243.0, 646.0, 3117.0, 3220.0, 2752.0, 1914.0, 207.0, 2862.0, 2800.0, 2803.0, 1898.0, 1790.0, 1710.0, 1469.0, 1179.0, 910.0, 859.0, 2479.0, 638.0, 3062.0, 3037.0, 3017.0, 2999.0, 2071.0, 1956.0, 1932.0, 1898.0, 1643.0, 2936.0, 2894.0, 2508.0, 2506.0, 2479.0, 1328.0, 1172.0, 1171.0, 1149.0, 1148.0, 661.0, 1956.0, 1149.0, 661.0, 615.0, 2310.0, 2790.0, 2785.0, 2778.0, 2777.0, 2775.0, 2774.0, 1597.0, 1595.0, 1182.0, 2915.0, 2810.0, 2768.0, 2514.0, 1549.0, 2375.0, 2243.0, 2071.0, 2028.0, 239.0, 2979.0, 3048.0, 969.0, 3097.0, 3150.0, 615.0, 646.0, 1149.0, 1172.0, 2508.0, 2318.0, 2310.0, 615.0, 1217.0, 2379.0, 2282.0, 1289.0, 2086.0, 1199.0, 1544.0, 1988.0, 2394.0, 1983.0, 1915.0, 1718.0, 1653.0, 349.0, 932.0, 1568.0, 1284.0, 1917.0, 2427.0, 2250.0, 2552.0, 1.0, 1.0, 1.0, 120.0, 123.0, 126.0, 129.0, 2542.0, 132.0, 1541.0, 2817.0, 2560.0, 1.0, 2933.0, 2842.0, nan, 2562.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 944.0, 3031.0, 2965.0, 2946.0, 2002.0, 1217.0, 1199.0, 1242.0, 1803.0, 954.0, 2723.0, 2784.0, 2789.0, 2857.0, 1351.0, 2143.0, 2145.0, 1975.0, 2633.0, 1.0, 1.0, 1148.0, 1149.0, 1171.0, 1172.0, 107.0, 2895.0, 982.0, 2639.0, 1832.0, 2562.0, 2562.0, 2918.0, 2927.0, 2961.0, 2964.0, nan, 2200.0, 1949.0, 1893.0, 219.0, 216.0, 213.0, 984.0, 210.0, 184.0, 132.0, 129.0, 126.0, 123.0, 120.0, 1354.0, 243.0, 646.0, 3117.0, 1.0, 2752.0, 1914.0, 207.0, 2862.0, 2800.0, 2803.0, 1898.0, 1790.0, 1710.0, 1469.0, 1179.0, 910.0, 859.0, 2479.0, 638.0, 3062.0, 3037.0, 3017.0, 2999.0, 2071.0, 1956.0, 1932.0, 1898.0, 1643.0, 2936.0, 2894.0, 2508.0, 2506.0, 2479.0, 1328.0, 1172.0, 1171.0, 1149.0, 1148.0, 661.0, 1956.0, 1149.0, 661.0, 615.0, 2310.0, 2790.0, 2785.0, 2778.0, 2777.0, 2775.0, 2774.0, 1597.0, 1595.0, 1182.0, 2915.0, 2810.0, 2768.0, 2514.0, 1549.0, 2375.0, 2243.0, 2071.0, 2028.0, 239.0, 2979.0, 3048.0, 969.0, 3097.0, 3150.0, 615.0, 646.0, 1149.0, 1172.0, 2508.0, 2318.0, 2310.0, 615.0, 1217.0, 2379.0, 2282.0, 1289.0, 2086.0, 1199.0, 1544.0, 1988.0, 2394.0, 1983.0, 1915.0, 1718.0, 1653.0, 349.0, 932.0, 1568.0, 1284.0, 1917.0, 2427.0, 2250.0, 2552.0, 1.0, 1.0, 1.0, 120.0, 123.0, 126.0, 129.0, 2542.0, 132.0, 1541.0, 2817.0, 2560.0, 1.0, 2933.0, 2842.0, nan, 2562.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
