,BetterCodeHub,Class,CoverityScan,SonarQube,endLines,startLines
0,[],AbstractBaseGraph$DirectedSpecifics,['Dereference null return value'],[],[0.0],[0.0]
1,"['SMALL_UNIT_INTERFACES', 'WRITE_CODE_ONCE', 'WRITE_CODE_ONCE', 'SEPARATE_CONCERNS_IN_MODULES']",AbstractBaseGraph,[],"['squid:S1948', 'squid:S1948', 'squid:S1948', 'squid:CommentedOutCodeLine', 'code_smells:complex_class', 'squid:S00112', 'squid:S1166', 'squid:S1948', 'squid:S1948', 'squid:ForLoopCounterChangedCheck', 'squid:S1948', 'squid:S00119', 'squid:S00119', 'squid:S00119', 'squid:S00119', 'squid:S1148', 'squid:S00119', 'squid:S00119']","[256.0, 1094.0, 1063.0, 1023.0, 954.0, 761.0, 38.0, 1.0, 353.0, 351.0, 668.0, 88.0, 867.0, 1222.0, 667.0, 663.0, 637.0, 637.0, 663.0, 352.0, 950.0, 950.0]","[228.0, 1080.0, 1049.0, 1023.0, 954.0, 761.0, 38.0, 1.0, 353.0, 351.0, 668.0, 88.0, 867.0, 1.0, 667.0, 663.0, 637.0, 637.0, 663.0, 352.0, 950.0, 950.0]"
2,"['WRITE_SIMPLE_UNITS', 'WRITE_SHORT_UNITS', 'WRITE_CLEAN_CODE', 'WRITE_CLEAN_CODE', 'AUTOMATE_TESTS']",AbstractExhaustiveIsomorphismInspector,"['Arguments in wrong order', 'Dereference null return value']","['code_smells:long_method', 'squid:S1125', 'squid:S1444', 'squid:S1134', 'squid:S1134', 'squid:S1444', 'squid:CommentedOutCodeLine', 'squid:S1488', 'squid:RedundantThrowsDeclarationCheck', 'code_smells:complex_class', 'squid:S1166', 'code_smells:antisingleton', 'code_smells:class_data_private', 'squid:S135', 'squid:S134', 'squid:CommentedOutCodeLine', 'squid:ClassVariableVisibilityCheck', 'squid:ClassVariableVisibilityCheck']","[0.0, 0.0, 298.0, 298.0, 1.0, 293.0, 67.0, 308.0, 307.0, 64.0, 249.0, 381.0, 410.0, 1.0, 349.0, 1.0, 1.0, 250.0, 268.0, 283.0, 268.0, 64.0, 249.0, 423.0, 67.0]","[0.0, 0.0, 244.0, 244.0, 1.0, 293.0, 67.0, 308.0, 307.0, 64.0, 249.0, 381.0, 410.0, 1.0, 349.0, 1.0, 1.0, 250.0, 268.0, 283.0, 268.0, 64.0, 249.0, 1.0, 67.0]"
3,"['SEPARATE_CONCERNS_IN_MODULES', 'AUTOMATE_TESTS', 'SMALL_UNIT_INTERFACES', 'WRITE_SIMPLE_UNITS']",AbstractGraph,[],"['squid:S1149', 'squid:CommentedOutCodeLine', 'code_smells:long_method']","[231.0, 200.0, 37.0, 1.0, 231.0, 228.0, 228.0]","[1.0, 200.0, 37.0, 1.0, 1.0, 193.0, 193.0]"
4,['SEPARATE_CONCERNS_IN_MODULES'],AbstractGraphIterator,[],['squid:CommentedOutCodeLine'],"[217.0, 37.0]","[1.0, 37.0]"
5,[],AbstractGraphIteratorTest,[],"['code_smells:long_method', 'squid:CommentedOutCodeLine', 'squid:S1149', 'code_smells:complex_class']","[1.0, 37.0, 60.0, 1.0]","[1.0, 37.0, 60.0, 1.0]"
6,"['SEPARATE_CONCERNS_IN_MODULES', 'AUTOMATE_TESTS']",AbstractPathElement,[],['squid:CommentedOutCodeLine'],"[202.0, 37.0, 202.0]","[1.0, 37.0, 1.0]"
7,"['AUTOMATE_TESTS', 'SEPARATE_CONCERNS_IN_MODULES']",AbstractPathElementList,[],"['squid:CommentedOutCodeLine', 'squid:S2160']","[185.0, 37.0, 54.0, 185.0]","[1.0, 37.0, 54.0, 1.0]"
8,"['SMALL_UNIT_INTERFACES', 'SMALL_UNIT_INTERFACES', 'WRITE_CLEAN_CODE']",AdaptiveIsomorphismInspectorFactory,[],"['squid:RedundantThrowsDeclarationCheck', 'code_smells:complex_class', 'squid:S1172', 'squid:S1488', 'squid:S1151', 'squid:S1134', 'squid:S1118', 'code_smells:long_parameter_list']","[207.0, 139.0, 220.0, 1.0, 231.0, 263.0, 192.0, 258.0, 64.0, 258.0, 1.0]","[177.0, 125.0, 220.0, 1.0, 231.0, 259.0, 192.0, 258.0, 64.0, 258.0, 1.0]"
9,[],AllAlgTests,[],"['squid:CommentedOutCodeLine', 'code_smells:long_method']","[37.0, 1.0]","[37.0, 1.0]"
