,BetterCodeHub,Class,CoverityScan,SonarQube,endLines,startLines
0,[],AUTH,[],"['squid:SwitchLastCaseIsDefaultCheck', 'squid:S00115', 'squid:S00117', 'code_smells:complex_class', 'squid:S134', 'squid:S1066', 'squid:MethodCyclomaticComplexity', 'squid:S134', 'squid:S1301', 'squid:S1151', 'squid:S00117', 'squid:S00116']","[201.0, 32.0, 152.0, 1.0, 129.0, 186.0, 100.0, 114.0, 201.0, 202.0, 42.0, 30.0]","[201.0, 32.0, 152.0, 1.0, 129.0, 186.0, 100.0, 114.0, 201.0, 202.0, 42.0, 30.0]"
1,[],AUTHTest,[],"['squid:S1118', 'squid:S1192', 'squid:S1192']","[14.0, 37.0, 22.0]","[14.0, 37.0, 22.0]"
2,['WRITE_CLEAN_CODE'],AbstractConnectionMap,[],"['squid:S1312', 'squid:S00116', 'squid:S00108', 'squid:S00117', 'squid:S134', 'squid:S1149']","[222.0, 23.0, 17.0, 222.0, 135.0, 235.0, 17.0]","[222.0, 23.0, 17.0, 222.0, 135.0, 235.0, 17.0]"
3,[],AckCollector,"['Dereference before null check', 'Unguarded read', 'Unguarded read']","['squid:S1133', 'squid:MissingDeprecatedCheck', 'squid:MissingDeprecatedCheck', 'squid:S00116', 'squid:S00116', 'squid:S00116', 'squid:S2250', 'squid:S1133', 'squid:S00122', 'squid:S00116', 'squid:S1149']","[0.0, 72.0, 42.0, 72.0, 19.0, 17.0, 20.0, 84.0, 42.0, 104.0, 18.0, 105.0, 0.0, 0.0]","[0.0, 72.0, 42.0, 72.0, 19.0, 17.0, 20.0, 84.0, 42.0, 104.0, 18.0, 105.0, 0.0, 0.0]"
4,[],AckCollectorTest,[],"['squid:S1166', 'squid:S106', 'squid:S1161', 'squid:S1161', 'squid:S1192', 'squid:S1192', 'squid:S00117', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S00117', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S1192', 'squid:S1192', 'squid:S106', 'squid:S1161', 'common-java:DuplicatedBlocks', 'squid:S1161', 'squid:S1161']","[84.0, 154.0, 63.0, 138.0, 118.0, 35.0, 118.0, 148.0, 74.0, 71.0, 124.0, 109.0, 106.0, 25.0, 103.0, 38.0, 100.0, 97.0, 44.0, 47.0, 77.0, 65.0, 68.0, 142.0, 129.0, 135.0, 122.0, 156.0, 151.0, 145.0, 140.0, 127.0, 41.0, 20.0, 118.0, 35.0, 120.0, nan, 33.0, 95.0]","[84.0, 154.0, 63.0, 138.0, 118.0, 35.0, 118.0, 148.0, 74.0, 71.0, 124.0, 109.0, 106.0, 25.0, 103.0, 38.0, 100.0, 97.0, 44.0, 47.0, 77.0, 65.0, 68.0, 142.0, 129.0, 135.0, 122.0, 156.0, 151.0, 145.0, 140.0, 127.0, 41.0, 20.0, 118.0, 35.0, 120.0, nan, 33.0, 95.0]"
5,[],AckMcastReceiverWindow,['Value not atomically updated'],"['squid:S00122', 'squid:S106', 'code_smells:long_method', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S1149', 'squid:S1192', 'squid:S106', 'squid:S1149', 'squid:S1149', 'squid:S1149', 'squid:S1149', 'squid:S1312']","[92.0, 131.0, 1.0, 134.0, 145.0, 158.0, 38.0, 116.0, 155.0, 59.0, 148.0, 58.0, 25.0, 27.0, 0.0]","[92.0, 131.0, 1.0, 134.0, 145.0, 158.0, 38.0, 116.0, 155.0, 59.0, 148.0, 58.0, 25.0, 27.0, 0.0]"
6,[],AckMcastSenderWindow,"['Unguarded read', 'Unguarded read', 'Unguarded write', 'Unguarded read', 'Using invalid iterator']","['squid:S1319', 'squid:S00122', 'squid:S135', 'squid:S00117', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:ClassVariableVisibilityCheck', 'squid:ModifiersOrderCheck', 'squid:ClassVariableVisibilityCheck', 'squid:CommentedOutCodeLine', 'squid:S1213', 'squid:S00117', 'squid:S1149', 'squid:S00115', 'squid:S00122', 'squid:S00122', 'squid:S00117', 'squid:S00122', 'squid:S00117', 'squid:S00117', 'squid:S00116', 'squid:S00116', 'squid:S00116', 'squid:S00117', 'squid:S00100', 'squid:S00100', 'squid:S134', 'squid:S00122', 'squid:S00122', 'squid:S1149', 'squid:S00122', 'squid:S00108', 'squid:S1312', 'squid:S00116', 'squid:S00122', 'squid:S00122', 'squid:S00117', 'squid:S00122', 'squid:S00122', 'squid:S00122', 'squid:S00122', 'squid:S00122', 'squid:S00122', 'squid:S00122', 'squid:S00122', 'squid:S00122', 'squid:S1149', 'squid:S00105']","[0.0, 0.0, 0.0, 568.0, 302.0, 295.0, 409.0, 188.0, 221.0, 200.0, 564.0, 526.0, 572.0, 299.0, 212.0, 189.0, 568.0, 83.0, 262.0, 238.0, 409.0, 140.0, 212.0, 167.0, 572.0, 107.0, 99.0, 167.0, 129.0, 117.0, 140.0, 437.0, 472.0, 233.0, 303.0, 426.0, 66.0, 89.0, 326.0, 234.0, 409.0, 169.0, 304.0, 443.0, 271.0, 266.0, 235.0, 146.0, 343.0, 491.0, 574.0, nan, 0.0, 0.0]","[0.0, 0.0, 0.0, 568.0, 302.0, 295.0, 409.0, 188.0, 221.0, 200.0, 564.0, 526.0, 572.0, 299.0, 212.0, 189.0, 568.0, 83.0, 262.0, 238.0, 409.0, 140.0, 212.0, 167.0, 572.0, 107.0, 99.0, 167.0, 129.0, 117.0, 140.0, 437.0, 472.0, 233.0, 303.0, 426.0, 66.0, 89.0, 326.0, 234.0, 409.0, 169.0, 304.0, 443.0, 271.0, 266.0, 235.0, 146.0, 343.0, 491.0, 574.0, nan, 0.0, 0.0]"
7,[],AckMcastSenderWindowTest,[],"['squid:S1149', 'squid:S1161', 'squid:S1149', 'squid:S00116', 'squid:S00100', 'squid:S106', 'squid:S00100', 'squid:S106', 'squid:S106', 'squid:S1148', 'squid:S1148', 'squid:S1148', 'squid:S1148', 'squid:S00116', 'squid:S1149', 'squid:S00100', 'squid:S00116', 'squid:S00100', 'squid:S00112', 'squid:S00112', 'squid:S00122', 'squid:S00100', 'squid:S00122', 'squid:CommentedOutCodeLine', 'squid:S00122', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S1313', 'squid:S1313', 'squid:S00122', 'squid:S00122', 'squid:S00122', 'squid:S1192', 'squid:S00122', 'squid:CommentedOutCodeLine', 'squid:S1313']","[59.0, 151.0, 83.0, 54.0, 165.0, 131.0, 186.0, 262.0, 272.0, 246.0, 230.0, 220.0, 106.0, 59.0, 118.0, 199.0, 50.0, 258.0, 63.0, 70.0, 97.0, 212.0, 92.0, 249.0, 173.0, 223.0, 233.0, 116.0, 117.0, 175.0, 192.0, 190.0, 115.0, 203.0, 213.0, 115.0]","[59.0, 151.0, 83.0, 54.0, 165.0, 131.0, 186.0, 262.0, 272.0, 246.0, 230.0, 220.0, 106.0, 59.0, 118.0, 199.0, 50.0, 258.0, 63.0, 70.0, 97.0, 212.0, 92.0, 249.0, 173.0, 223.0, 233.0, 116.0, 117.0, 175.0, 192.0, 190.0, 115.0, 203.0, 213.0, 115.0]"
8,[],AckReceiverWindow,[],"['squid:S00116', 'squid:S00116', 'squid:S00116', 'squid:S00116', 'squid:S00117', 'squid:S00117', 'squid:S00117', 'squid:S00116', 'squid:S00117', 'squid:S00117', 'squid:S00117', 'squid:S00117', 'squid:MethodCyclomaticComplexity', 'squid:S00116', 'squid:S00117', 'squid:S00116', 'code_smells:long_method']","[33.0, 35.0, 29.0, 34.0, 49.0, 49.0, 145.0, 245.0, 53.0, 55.0, 221.0, 247.0, 128.0, 242.0, 44.0, 32.0, 1.0]","[33.0, 35.0, 29.0, 34.0, 49.0, 49.0, 145.0, 245.0, 53.0, 55.0, 221.0, 247.0, 128.0, 242.0, 44.0, 32.0, 1.0]"
9,[],AckReceiverWindowStressTest,[],"['squid:S1132', 'squid:S00116', 'squid:S00117', 'squid:S00117', 'squid:S00117', 'squid:S00117', 'squid:S00117', 'squid:S00117', 'squid:S1148', 'squid:S106', 'squid:S106', 'squid:S135', 'squid:S1132', 'squid:S00116', 'squid:S00117', 'squid:S00117', 'squid:S00117', 'squid:S00117', 'squid:S1148', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:ForLoopCounterChangedCheck', 'squid:ForLoopCounterChangedCheck', 'squid:ForLoopCounterChangedCheck', 'squid:S1161', 'squid:S00116', 'squid:S134', 'squid:S00117', 'code_smells:long_method', 'squid:UselessImportCheck', 'squid:ModifiersOrderCheck', 'squid:S1132']","[150.0, 84.0, 34.0, 34.0, 72.0, 88.0, 89.0, 138.0, 103.0, 114.0, 73.0, 141.0, 146.0, 83.0, 34.0, 38.0, 137.0, 139.0, 55.0, 63.0, 74.0, 154.0, 151.0, 143.0, 147.0, 98.0, 85.0, 119.0, 89.0, 1.0, 7.0, 86.0, 142.0]","[150.0, 84.0, 34.0, 34.0, 72.0, 88.0, 89.0, 138.0, 103.0, 114.0, 73.0, 141.0, 146.0, 83.0, 34.0, 38.0, 137.0, 139.0, 55.0, 63.0, 74.0, 154.0, 151.0, 143.0, 147.0, 98.0, 85.0, 119.0, 89.0, 1.0, 7.0, 86.0, 142.0]"
