,BetterCodeHub,Class,CoverityScan,SonarQube,endLines,startLines
0,"['WRITE_SHORT_UNITS', 'WRITE_SHORT_UNITS']",$block1,[],[],"[1644.0, 1132.0]","[799.0, 659.0]"
1,[],AAAMissileWeapon,[],['common-java:DuplicatedBlocks'],[nan],[nan]
2,[],ACAPHandler,[],"['common-java:DuplicatedBlocks', 'squid:MethodCyclomaticComplexity', 'code_smells:complex_class', 'squid:MethodCyclomaticComplexity', 'squid:S1135', 'squid:S1149', 'code_smells:long_method']","[nan, 95.0, 1.0, 63.0, 149.0, 139.0, 1.0]","[nan, 95.0, 1.0, 63.0, 149.0, 139.0, 1.0]"
3,[],ACBayHandler,[],"['squid:S1066', 'code_smells:long_method', 'squid:S134', 'squid:S134', 'squid:MethodCyclomaticComplexity', 'squid:S134', 'common-java:DuplicatedBlocks', 'code_smells:complex_class']","[88.0, 1.0, 59.0, 71.0, 50.0, 65.0, nan, 1.0]","[88.0, 1.0, 59.0, 71.0, 50.0, 65.0, nan, 1.0]"
4,[],ACBayWeapon,[],['common-java:DuplicatedBlocks'],[nan],[nan]
5,[],ACFlakHandler,[],"['squid:MethodCyclomaticComplexity', 'squid:S1067']","[51.0, 54.0]","[51.0, 54.0]"
6,[],ACFlechetteHandler,[],"['common-java:DuplicatedBlocks', 'squid:S1226']","[nan, 91.0]","[nan, 91.0]"
7,[],ACIncendiaryHandler,[],"['squid:MethodCyclomaticComplexity', 'common-java:DuplicatedBlocks']","[56.0, nan]","[56.0, nan]"
8,[],ACTracerHandler,[],"['common-java:DuplicatedBlocks', 'squid:MethodCyclomaticComplexity']","[nan, 51.0]","[nan, 51.0]"
9,[],ACWeapon,[],['squid:S1132'],[62.0],[62.0]
10,[],ACWeaponHandler,[],"['squid:MethodCyclomaticComplexity', 'common-java:DuplicatedBlocks']","[51.0, nan]","[51.0, nan]"
11,[],AR10BayWeapon,[],['common-java:DuplicatedBlocks'],[nan],[nan]
12,[],AR10Weapon,[],['common-java:DuplicatedBlocks'],[nan],[nan]
13,[],ASEWMissileWeapon,[],['common-java:DuplicatedBlocks'],[nan],[nan]
14,[],ASFBay,['Value not atomically updated'],"['squid:CommentedOutCodeLine', 'code_smells:complex_class', 'common-java:DuplicatedBlocks', 'squid:S1149', 'squid:S1149', 'squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck']","[73.0, 1.0, nan, 158.0, 156.0, 111.0, 95.0, 0.0]","[73.0, 1.0, nan, 158.0, 156.0, 111.0, 95.0, 0.0]"
15,[],ATMBayWeapon,[],['common-java:DuplicatedBlocks'],[nan],[nan]
16,[],ATMHandler,[],"['squid:S1132', 'code_smells:long_method', 'squid:MethodCyclomaticComplexity', 'squid:S1067', 'code_smells:complex_class', 'common-java:DuplicatedBlocks', 'squid:MethodCyclomaticComplexity', 'squid:S1067', 'squid:S1149']","[266.0, 1.0, 168.0, 266.0, 1.0, nan, 129.0, 219.0, 168.0]","[266.0, 1.0, 168.0, 261.0, 1.0, nan, 129.0, 215.0, 168.0]"
17,[],AbstractAttackAction,[],"['squid:S134', 'squid:CommentedOutCodeLine', 'code_smells:complex_class', 'squid:S1066', 'squid:S134', 'code_smells:long_method', 'squid:S00117', 'squid:MethodCyclomaticComplexity']","[119.0, 142.0, 1.0, 155.0, 184.0, 1.0, 107.0, 90.0]","[119.0, 142.0, 1.0, 155.0, 184.0, 1.0, 107.0, 90.0]"
18,[],AbstractCommandLineParser,[],"['squid:S00116', 'code_smells:complex_class']","[41.0, 1.0]","[41.0, 1.0]"
19,[],AbstractConnection$SendQueue,['Unguarded read'],[],[0.0],[0.0]
20,[],AbstractConnection,[],"['squid:S106', 'squid:S106', 'squid:S106', 'squid:CommentedOutCodeLine', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:SwitchLastCaseIsDefaultCheck', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S106', 'squid:S1166', 'squid:S1149', 'squid:S1149', 'squid:S1166', 'squid:S1148', 'squid:S1148', 'squid:S1148', 'squid:S1166', 'squid:S1149', 'squid:S106', 'squid:S1166', 'squid:S1149', 'squid:S106', 'squid:S106', 'code_smells:complex_class', 'squid:S106', 'squid:S1155', 'squid:S1166', 'squid:S106', 'squid:S106', 'squid:S1166']","[213.0, 341.0, 343.0, 216.0, 382.0, 356.0, 366.0, 367.0, 342.0, 589.0, 399.0, 202.0, 211.0, 571.0, 212.0, 340.0, 573.0, 396.0, 397.0, 401.0, 368.0, 380.0, 217.0, 354.0, 93.0, 623.0, 455.0, 283.0, 624.0, 282.0, 533.0, 575.0, 209.0, 365.0, 398.0, 344.0, 1.0, 451.0, 567.0, 188.0, 400.0, 210.0, 450.0]","[213.0, 341.0, 343.0, 216.0, 382.0, 356.0, 366.0, 367.0, 342.0, 589.0, 399.0, 202.0, 211.0, 571.0, 212.0, 340.0, 573.0, 396.0, 397.0, 401.0, 368.0, 380.0, 217.0, 354.0, 93.0, 623.0, 455.0, 283.0, 624.0, 282.0, 533.0, 575.0, 209.0, 365.0, 398.0, 344.0, 1.0, 451.0, 567.0, 188.0, 400.0, 210.0, 450.0]"
21,[],AbstractOptions,[],"['code_smells:complex_class', 'squid:S1150', 'squid:S1149', 'squid:S1150', 'squid:S1149']","[1.0, 181.0, 31.0, 126.0, 116.0]","[1.0, 181.0, 31.0, 126.0, 116.0]"
22,[],AbstractOptionsInfo,[],"['squid:S1135', 'code_smells:complex_class', 'squid:S1149', 'squid:ModifiersOrderCheck', 'squid:S1149', 'squid:ModifiersOrderCheck', 'squid:ModifiersOrderCheck', 'squid:ModifiersOrderCheck']","[135.0, 1.0, 49.0, 29.0, 56.0, 30.0, 32.0, 31.0]","[135.0, 1.0, 49.0, 29.0, 56.0, 30.0, 32.0, 31.0]"
23,[],AbstractPhaseDisplay,[],"['common-java:DuplicatedBlocks', 'common-java:DuplicatedBlocks', 'squid:S00120', 'squid:S1192', 'code_smells:complex_class', 'code_smells:complex_class']","[nan, nan, 15.0, 68.0, 1.0, 1.0]","[nan, nan, 15.0, 68.0, 1.0, 1.0]"
24,[],AddBotCommand,[],"['squid:S1166', 'squid:S1166']","[66.0, 68.0]","[66.0, 68.0]"
25,[],AdvancedLabel,[],"['squid:S00115', 'squid:S1488', 'squid:S00120', 'squid:S00115', 'squid:S1149']","[44.0, 105.0, 15.0, 45.0, 35.0]","[44.0, 105.0, 15.0, 45.0, 35.0]"
26,[],AdvancedSearchDialog,[],"['squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'common-java:DuplicatedBlocks', 'squid:CommentedOutCodeLine', 'code_smells:complex_class', 'squid:S1067', 'squid:S1132', 'code_smells:class_data_private', 'squid:S1132', 'squid:CommentedOutCodeLine', 'squid:ClassVariableVisibilityCheck', 'squid:S1132', 'squid:S1132', 'squid:S1132', 'squid:S00116', 'squid:CommentedOutCodeLine', 'squid:S1132']","[268.0, 292.0, nan, 247.0, 1.0, 296.0, 295.0, 1.0, 294.0, 262.0, 53.0, 293.0, 294.0, 295.0, 53.0, 284.0, 293.0]","[268.0, 292.0, nan, 247.0, 1.0, 293.0, 295.0, 1.0, 294.0, 262.0, 53.0, 293.0, 294.0, 295.0, 53.0, 284.0, 293.0]"
27,"['WRITE_SIMPLE_UNITS', 'WRITE_SHORT_UNITS', 'AUTOMATE_TESTS', 'SEPARATE_CONCERNS_IN_MODULES']",Aero,['WMI: Inefficient Map Iterator'],"['squid:CommentedOutCodeLine', 'squid:S1213', 'squid:S1213', 'squid:S00116', 'squid:S00116', 'squid:S1319', 'squid:S1213', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S1213', 'squid:S1126', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:CommentedOutCodeLine', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1185', 'squid:CommentedOutCodeLine', 'squid:S1213', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S1213', 'squid:CommentedOutCodeLine', 'squid:S1213', 'squid:S1213', 'squid:S1066', 'squid:S1067', 'squid:S1226', 'squid:S1067', 'squid:MethodCyclomaticComplexity', 'squid:MethodCyclomaticComplexity', 'squid:MethodCyclomaticComplexity', 'squid:S1135', 'squid:MethodCyclomaticComplexity', 'squid:S1185', 'squid:SwitchLastCaseIsDefaultCheck', 'squid:SwitchLastCaseIsDefaultCheck', 'squid:S1151', 'squid:S1213', 'squid:S1197', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S00116', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1151', 'squid:S1213', 'squid:S1488', 'squid:S2386', 'squid:S1166', 'squid:S1166', 'squid:S1166', 'squid:S1488', 'squid:S1213', 'squid:S1135', 'squid:S2386', 'squid:S1213', 'squid:S1135', 'squid:SwitchLastCaseIsDefaultCheck', 'squid:MethodCyclomaticComplexity', 'squid:S1213', 'squid:S1213', 'squid:MethodCyclomaticComplexity', 'squid:MethodCyclomaticComplexity', 'squid:MethodCyclomaticComplexity', 'squid:MethodCyclomaticComplexity', 'squid:S1226', 'squid:S1213', 'squid:S1213', 'squid:S106', 'squid:S1213', 'squid:S1213', 'squid:S135', 'squid:S135', 'squid:S135', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:SwitchLastCaseIsDefaultCheck', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1135', 'squid:SwitchLastCaseIsDefaultCheck', 'squid:S1149', 'squid:S1319', 'common-java:DuplicatedBlocks', 'code_smells:complex_class', 'squid:ClassCyclomaticComplexity', 'squid:S1067', 'squid:S134', 'squid:S134', 'squid:S134', 'squid:S1244', 'squid:S1067', 'squid:S1126', 'squid:S1166', 'squid:S1067', 'squid:S1166', 'squid:S134', 'squid:S134', 'squid:S1166', 'squid:S1213', 'squid:S1192', 'squid:S134', 'squid:S135', 'squid:S135', 'squid:S135', 'squid:S1166']","[2030.0, 2030.0, 2788.0, 152.0, 156.0, 111.0, 171.0, 1676.0, 158.0, 2775.0, 2764.0, 160.0, 3167.0, 176.0, 172.0, 174.0, 187.0, 1553.0, 164.0, 170.0, 148.0, 173.0, 2240.0, 2313.0, 189.0, 2357.0, 2757.0, 191.0, 2782.0, 132.0, 139.0, 1521.0, 2708.0, 476.0, 1569.0, 2740.0, 2037.0, 763.0, 2521.0, 675.0, 2551.0, 896.0, 820.0, 694.0, 105.0, 113.0, 106.0, 108.0, 136.0, 117.0, 128.0, 126.0, 123.0, 687.0, 143.0, 2409.0, 62.0, 2787.0, 2774.0, 2756.0, 2816.0, 110.0, 3037.0, 63.0, 120.0, 2770.0, 934.0, 717.0, 167.0, 104.0, 1004.0, 2618.0, 2692.0, 3078.0, 465.0, 107.0, 161.0, 3123.0, 109.0, 159.0, 1807.0, 1420.0, 1187.0, 115.0, 117.0, 119.0, 113.0, 131.0, 135.0, 858.0, 137.0, 146.0, 147.0, 151.0, 153.0, 157.0, 111.0, 140.0, 3046.0, 781.0, 2121.0, 1676.0, nan, 1.0, 34.0, 3063.0, 1361.0, 1836.0, 2761.0, 1454.0, 3287.0, 2004.0, 3287.0, 2694.0, 2574.0, 1543.0, 2781.0, 3118.0, 2754.0, 2763.0, 171.0, 1257.0, 1510.0, 1338.0, 1759.0, 2743.0, 3122.0, 0.0]","[1003.0, 1003.0, 2788.0, 152.0, 156.0, 111.0, 171.0, 1676.0, 158.0, 2775.0, 2764.0, 160.0, 3167.0, 176.0, 172.0, 174.0, 187.0, 1553.0, 164.0, 170.0, 148.0, 173.0, 2240.0, 2313.0, 189.0, 2357.0, 2757.0, 191.0, 2782.0, 132.0, 139.0, 1521.0, 2700.0, 476.0, 1569.0, 2740.0, 2037.0, 763.0, 2521.0, 675.0, 2551.0, 896.0, 820.0, 694.0, 105.0, 113.0, 106.0, 108.0, 136.0, 117.0, 128.0, 126.0, 123.0, 687.0, 143.0, 2409.0, 62.0, 2787.0, 2774.0, 2756.0, 2816.0, 110.0, 3037.0, 63.0, 120.0, 2770.0, 934.0, 717.0, 167.0, 104.0, 1004.0, 2618.0, 2692.0, 3078.0, 465.0, 107.0, 161.0, 3123.0, 109.0, 159.0, 1807.0, 1420.0, 1187.0, 115.0, 117.0, 119.0, 113.0, 131.0, 135.0, 858.0, 137.0, 146.0, 147.0, 151.0, 153.0, 157.0, 111.0, 140.0, 3046.0, 781.0, 2121.0, 1676.0, nan, 1.0, 34.0, 3062.0, 1361.0, 1836.0, 2761.0, 1454.0, 1.0, 2004.0, 1.0, 2694.0, 2574.0, 1543.0, 2781.0, 3118.0, 2754.0, 2763.0, 171.0, 1257.0, 1510.0, 1338.0, 1759.0, 2743.0, 3122.0, 0.0]"
28,"['WRITE_CODE_ONCE', 'WRITE_CODE_ONCE']",AeroMapSet,[],"['squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:S1186', 'squid:CommentedOutCodeLine', 'squid:S1186', 'squid:S00120', 'code_smells:complex_class', 'squid:S00116', 'code_smells:long_method', 'squid:S1149', 'squid:S1149', 'squid:S1149', 'squid:CommentedOutCodeLine', 'code_smells:long_method', 'squid:CommentedOutCodeLine', 'squid:S1135', 'squid:S1226', 'squid:CommentedOutCodeLine', 'squid:S1226', 'squid:S1149', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'code_smells:complex_class', 'common-java:DuplicatedBlocks', 'squid:S00116', 'common-java:DuplicatedBlocks', 'squid:S1135']","[258.0, 262.0, 80.0, 259.0, 79.0, 15.0, 1.0, 51.0, 1.0, 87.0, 42.0, 286.0, 285.0, 43.0, 45.0, 1.0, 260.0, 95.0, 283.0, 46.0, 282.0, 86.0, 263.0, 261.0, 1.0, nan, 50.0, nan, 94.0]","[258.0, 262.0, 80.0, 259.0, 79.0, 15.0, 1.0, 51.0, 1.0, 87.0, 42.0, 72.0, 71.0, 43.0, 45.0, 1.0, 260.0, 95.0, 283.0, 46.0, 282.0, 86.0, 263.0, 261.0, 1.0, nan, 50.0, nan, 94.0]"
29,"['SMALL_UNIT_INTERFACES', 'SMALL_UNIT_INTERFACES']",AimedShotDialog,[],"['squid:S00107', 'squid:S00107', 'common-java:DuplicatedBlocks', 'common-java:DuplicatedBlocks', 'squid:S00120']","[93.0, 97.0, 46.0, 48.0, nan, nan, 15.0]","[46.0, 48.0, 46.0, 48.0, nan, nan, 15.0]"
30,[],AlamoMissileWeapon,[],['common-java:DuplicatedBlocks'],[nan],[nan]
31,[],AlertDialog,[],"['common-java:DuplicatedBlocks', 'squid:S00120']","[nan, 15.0]","[nan, 15.0]"
32,[],AltitudeBombAttack,[],['common-java:DuplicatedBlocks'],[nan],[nan]
33,[],AmmoBayWeaponHandler,[],"['squid:S1226', 'squid:S1226', 'squid:S1226', 'squid:S1226', 'squid:MethodCyclomaticComplexity', 'squid:S1226', 'squid:S1226', 'squid:MethodCyclomaticComplexity', 'squid:S1226', 'squid:S1067', 'squid:S1226', 'squid:S1226', 'squid:S1226', 'squid:S00117', 'code_smells:complex_class', 'squid:S1135', 'squid:S1067', 'squid:S00117', 'code_smells:long_method', 'squid:S134', 'squid:S1067']","[131.0, 153.0, 160.0, 167.0, 117.0, 171.0, 147.0, 52.0, 151.0, 68.0, 155.0, 162.0, 169.0, 117.0, 1.0, 114.0, 126.0, 71.0, 1.0, 89.0, 138.0]","[131.0, 153.0, 160.0, 167.0, 117.0, 171.0, 147.0, 52.0, 151.0, 66.0, 155.0, 162.0, 169.0, 117.0, 1.0, 114.0, 122.0, 71.0, 1.0, 89.0, 134.0]"
34,"['WRITE_SHORT_UNITS', 'AUTOMATE_TESTS', 'SEPARATE_CONCERNS_IN_MODULES']",AmmoType,"['Bad bit shift operation', 'SA: Useless self-operation', 'HE: Equal objects must have equal hashcodes', 'Unchecked return value']","['squid:CommentedOutCodeLine', 'squid:S1151', 'squid:CommentedOutCodeLine', 'squid:S1151', 'squid:CommentedOutCodeLine', 'squid:S1067', 'squid:CommentedOutCodeLine', 'squid:S1067', 'squid:S1067', 'squid:S1067', 'squid:S1067', 'squid:S1067', 'squid:S1067', 'squid:S1067', 'squid:S1067', 'squid:S1067', 'squid:S1067', 'squid:S1067', 'squid:S1067', 'squid:S1067', 'squid:MethodCyclomaticComplexity', 'squid:CommentedOutCodeLine', 'squid:CommentedOutCodeLine', 'squid:MethodCyclomaticComplexity', 'squid:S1135', 'squid:ClassCyclomaticComplexity', 'squid:S1192', 'squid:S1192', 'squid:S1192', 'squid:S1192', 'squid:S1192', 'common-java:DuplicatedBlocks', 'code_smells:complex_class', 'squid:S1192', 'squid:S1192', 'squid:S1192', 'squid:S1192', 'squid:S1149', 'squid:S1149', 'squid:S1192', 'squid:S1149', 'squid:S1192', 'squid:S1192', 'squid:MethodCyclomaticComplexity', 'squid:ModifiersOrderCheck', 'squid:S1192', 'squid:S1192', 'squid:S1192', 'squid:S1192', 'squid:S1192', 'squid:S1192', 'squid:S1192', 'squid:S1192', 'squid:S1192', 'squid:S1192', 'squid:S1192', 'squid:S1192', 'squid:S1192', 'squid:S1192', 'squid:S1149', 'squid:S1149', 'squid:S2183', 'squid:S00115', 'squid:S1132', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1134', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1213', 'squid:S1126', 'squid:S1126', 'squid:S1213', 'squid:S1135', 'squid:S1213', 'squid:S1135', 'squid:S2183', 'squid:S2183', 'squid:S2183', 'squid:S1135', 'squid:S2183', 'squid:S2183', 'squid:S1151', 'squid:S1206', 'squid:S1135', 'squid:S1135', 'squid:S1151', 'squid:S1700', 'squid:S1135']","[0.0, 0.0, 0.0, 0.0, 1164.0, 4990.0, 8188.0, 266.0, 8212.0, 5009.0, 8065.0, 5047.0, 8061.0, 8069.0, 8081.0, 8086.0, 8091.0, 8102.0, 8344.0, 8399.0, 8402.0, 8405.0, 8408.0, 8416.0, 8442.0, 8078.0, 8271.0, 5028.0, 8058.0, 6202.0, 25.0, 6192.0, 2209.0, 2247.0, 1087.0, 1378.0, nan, 1.0, 1377.0, 1294.0, 8465.0, 1081.0, 2266.0, 8465.0, 8220.0, 8121.0, 1070.0, 352.0, 1337.0, 1527.0, 8178.0, 8130.0, 1085.0, 1086.0, 1429.0, 3846.0, 1336.0, 1295.0, 995.0, 7751.0, 3865.0, 3884.0, 1508.0, 3903.0, 1419.0, 1546.0, 270.0, 8179.0, 256.0, 116.0, 8236.0, 321.0, 320.0, 319.0, 286.0, 284.0, 203.0, 281.0, 278.0, 277.0, 276.0, 275.0, 274.0, 8091.0, 8102.0, 279.0, 8095.0, 322.0, 6225.0, 255.0, 254.0, 253.0, 8073.0, 252.0, 251.0, 8286.0, 304.0, 217.0, 248.0, 8246.0, 276.0, 925.0]","[0.0, 0.0, 0.0, 0.0, 363.0, 4990.0, 8188.0, 266.0, 8212.0, 5009.0, 8065.0, 5047.0, 8061.0, 8069.0, 8081.0, 8086.0, 8091.0, 8102.0, 8344.0, 8399.0, 8402.0, 8405.0, 8408.0, 8416.0, 8442.0, 8078.0, 8271.0, 5028.0, 8058.0, 6202.0, 25.0, 6192.0, 2209.0, 2247.0, 1087.0, 1378.0, nan, 1.0, 1377.0, 1294.0, 1.0, 1081.0, 2266.0, 1.0, 8220.0, 8121.0, 1070.0, 352.0, 1337.0, 1527.0, 8178.0, 8130.0, 1085.0, 1086.0, 1429.0, 3846.0, 1336.0, 1295.0, 995.0, 7751.0, 3865.0, 3884.0, 1508.0, 3903.0, 1419.0, 1546.0, 270.0, 8179.0, 256.0, 116.0, 8236.0, 321.0, 320.0, 319.0, 286.0, 284.0, 203.0, 281.0, 278.0, 277.0, 276.0, 275.0, 274.0, 8091.0, 8102.0, 279.0, 8095.0, 322.0, 6225.0, 255.0, 254.0, 253.0, 8073.0, 252.0, 251.0, 8286.0, 304.0, 217.0, 248.0, 8246.0, 276.0, 925.0]"
35,[],AmmoWeaponHandler,['Dereference after null check'],['squid:S106'],"[60.0, 0.0]","[60.0, 0.0]"
