,BetterCodeHub,Class,CoverityScan,SonarQube,endLines,startLines
0,['WRITE_SHORT_UNITS'],$block1,[],[],[491.0],[182.0]
1,[],CanonicalTest,[],"['squid:S1149', 'squid:S00112', 'squid:S134', 'code_smells:long_method', 'squid:S00105', 'squid:S00112', 'squid:S1213', 'squid:S1132', 'squid:S1149', 'squid:S1132']","[121.0, 59.0, 151.0, 1.0, nan, 85.0, 85.0, 151.0, 171.0, 152.0]","[121.0, 59.0, 151.0, 1.0, nan, 85.0, 85.0, 151.0, 171.0, 152.0]"
2,"['WRITE_SIMPLE_UNITS', 'WRITE_SHORT_UNITS', 'WRITE_SIMPLE_UNITS', 'WRITE_SHORT_UNITS', 'WRITE_SIMPLE_UNITS', 'SMALL_UNIT_INTERFACES', 'WRITE_SHORT_UNITS', 'WRITE_SIMPLE_UNITS', 'WRITE_SHORT_UNITS', 'WRITE_SIMPLE_UNITS', 'WRITE_SHORT_UNITS', 'WRITE_SIMPLE_UNITS', 'WRITE_SHORT_UNITS', 'WRITE_SIMPLE_UNITS', 'WRITE_SHORT_UNITS', 'WRITE_SIMPLE_UNITS', 'WRITE_SHORT_UNITS', 'WRITE_SIMPLE_UNITS', 'WRITE_SIMPLE_UNITS', 'WRITE_SHORT_UNITS', 'WRITE_SHORT_UNITS', 'WRITE_SIMPLE_UNITS']",ContentScanner,[],[],"[2711.0, 2711.0, 2082.0, 2082.0, 2967.0, 2967.0, 2967.0, 2319.0, 2319.0, 2270.0, 2270.0, 2371.0, 2371.0, 2431.0, 2431.0, 2124.0, 2548.0, 2548.0, 2179.0, 2179.0, 2637.0, 2637.0]","[2660.0, 2660.0, 1941.0, 1941.0, 2747.0, 2747.0, 2747.0, 2273.0, 2273.0, 2223.0, 2223.0, 2322.0, 2322.0, 2374.0, 2374.0, 2090.0, 2434.0, 2434.0, 2126.0, 2126.0, 2556.0, 2556.0]"
3,"['SMALL_UNIT_INTERFACES', 'WRITE_SHORT_UNITS', 'SMALL_UNIT_INTERFACES']",CurrentEntity,[],[],"[1725.0, 1854.0, 1898.0]","[1716.0, 1809.0, 1890.0]"
4,"['WRITE_CODE_ONCE', 'WRITE_CODE_ONCE', 'WRITE_CODE_ONCE', 'WRITE_CODE_ONCE', 'WRITE_CLEAN_CODE', 'SMALL_UNIT_INTERFACES']",DOMFragmentParser,[],"['squid:S1166', 'squid:MissingDeprecatedCheck', 'squid:S1166', 'squid:S1166', 'squid:S1166', 'squid:S1166', 'squid:S1166', 'squid:S00105', 'squid:MissingDeprecatedCheck', 'squid:S1186', 'squid:S1133', 'squid:S1133', 'squid:S1186', 'squid:S1186', 'squid:S1186', 'squid:S1186', 'squid:S1186']","[278.0, 425.0, 348.0, 311.0, 246.0, 317.0, 354.0, 284.0, 252.0, 169.0, 219.0, nan, 420.0, 219.0, 420.0, 425.0, 420.0, 524.0, 497.0, 425.0, 396.0, 390.0, 443.0]","[278.0, 425.0, 348.0, 311.0, 246.0, 311.0, 348.0, 278.0, 246.0, 169.0, 219.0, nan, 420.0, 219.0, 420.0, 425.0, 420.0, 524.0, 497.0, 425.0, 396.0, 390.0, 430.0]"
5,[],DOMFragmentParserTest,[],"['squid:S106', 'squid:S00112', 'squid:S00105', 'squid:CommentedOutCodeLine']","[63.0, 37.0, nan, 44.0]","[63.0, 37.0, nan, 44.0]"
6,['SMALL_UNIT_INTERFACES'],DOMParser,[],"['squid:S00117', 'squid:S1166', 'squid:S1166', 'code_smells:lazy_class', 'squid:S00117', 'squid:S00112', 'squid:S00122', 'squid:S1166', 'squid:S00112']","[98.0, 107.0, 55.0, 113.0, 1.0, 81.0, 56.0, 110.0, 58.0, 59.0]","[72.0, 107.0, 55.0, 113.0, 1.0, 81.0, 56.0, 110.0, 58.0, 59.0]"
7,['SEPARATE_CONCERNS_IN_MODULES'],DefaultFilter,[],"['squid:S1168', 'squid:S1186', 'squid:S2447', 'squid:S1168', 'squid:S00105', 'squid:S1186', 'squid:S1186']","[269.0, 310.0, 260.0, 251.0, 364.0, nan, 330.0, 290.0]","[269.0, 310.0, 260.0, 251.0, 1.0, nan, 330.0, 290.0]"
8,"['SMALL_UNIT_INTERFACES', 'SMALL_UNIT_INTERFACES', 'SMALL_UNIT_INTERFACES', 'SMALL_UNIT_INTERFACES']",Element,[],[],"[629.0, 615.0, 663.0, 643.0]","[626.0, 612.0, 654.0, 640.0]"
9,['AUTOMATE_TESTS'],ElementRemover,[],"['squid:ForLoopCounterChangedCheck', 'code_smells:long_method', 'squid:S1994', 'squid:S1149', 'squid:S1149', 'squid:S134', 'squid:LabelsShouldNotBeUsedCheck']","[334.0, 1.0, 349.0, 327.0, 114.0, 111.0, 329.0, 327.0]","[334.0, 1.0, 1.0, 327.0, 114.0, 111.0, 329.0, 327.0]"
