,BetterCodeHub,Class,CoverityScan,SonarQube,endLines,startLines
0,['WRITE_SIMPLE_UNITS'],$block1,[],[],[9276.0],[9207.0]
1,"['SMALL_UNIT_INTERFACES', 'WRITE_CODE_ONCE', 'SEPARATE_CONCERNS_IN_MODULES']",AAlt,[],"['squid:S1199', 'squid:S00101', 'squid:S1182', 'code_smells:long_parameter_list', 'squid:S1319', 'common-java:DuplicatedBlocks', 'squid:S00116', 'squid:S00116', 'squid:S00117', 'squid:S00117', 'code_smells:long_method', 'squid:S00116', 'squid:S00117']","[31.0, 24.0, 168.0, 32.0, 1.0, 70.0, nan, 10.0, 11.0, 19.0, 20.0, 1.0, 12.0, 18.0, 78.0, 189.0]","[17.0, 24.0, 168.0, 32.0, 1.0, 70.0, nan, 10.0, 11.0, 19.0, 20.0, 1.0, 12.0, 18.0, 45.0, 1.0]"
2,"['SMALL_UNIT_INTERFACES', 'SEPARATE_CONCERNS_IN_MODULES']",AAltTransform,[],"['squid:S00117', 'squid:S00116', 'squid:S00116', 'squid:S00117', 'squid:S1199', 'squid:S1182', 'squid:S00101', 'squid:S1319', 'squid:S00116', 'code_smells:long_parameter_list', 'squid:S00117', 'code_smells:long_method']","[31.0, 20.0, 11.0, 12.0, 19.0, 24.0, 32.0, 168.0, 70.0, 10.0, 189.0, 1.0, 18.0, 1.0]","[17.0, 20.0, 11.0, 12.0, 19.0, 24.0, 32.0, 168.0, 70.0, 10.0, 1.0, 1.0, 18.0, 1.0]"
3,['WRITE_CODE_ONCE'],AAst,[],"['squid:S00116', 'squid:S1182', 'squid:S00117', 'squid:S00101', 'common-java:DuplicatedBlocks', 'squid:S1319', 'squid:S1199']","[10.0, 24.0, 16.0, 82.0, nan, 35.0, 18.0, 84.0]","[10.0, 24.0, 16.0, 82.0, nan, 35.0, 18.0, 35.0]"
4,"['SEPARATE_CONCERNS_IN_MODULES', 'WRITE_CODE_ONCE']",AAstAlt,[],"['squid:S1199', 'squid:S00101', 'squid:S00116', 'squid:S1182', 'common-java:DuplicatedBlocks', 'squid:S1319', 'squid:S00117', 'squid:S00116', 'squid:S00117']","[22.0, 125.0, 11.0, 28.0, 146.0, nan, 65.0, 17.0, 10.0, 73.0, 18.0]","[22.0, 125.0, 11.0, 28.0, 1.0, nan, 65.0, 17.0, 10.0, 40.0, 18.0]"
5,[],AAstProd,[],"['squid:S00116', 'squid:S00117', 'squid:S1182', 'squid:S00117', 'squid:S00116', 'squid:S00101', 'squid:S1199', 'common-java:DuplicatedBlocks', 'squid:S1319']","[11.0, 18.0, 28.0, 17.0, 10.0, 125.0, 22.0, nan, 65.0]","[11.0, 18.0, 28.0, 17.0, 10.0, 125.0, 22.0, nan, 65.0]"
6,['WRITE_CODE_ONCE'],ACharBasic,[],"['squid:S1182', 'squid:S00116', 'squid:S00117', 'common-java:DuplicatedBlocks']","[75.0, 21.0, 10.0, 16.0, nan]","[39.0, 21.0, 10.0, 16.0, nan]"
7,['WRITE_CODE_ONCE'],ACharChar,[],"['common-java:DuplicatedBlocks', 'squid:S1182', 'squid:S00117', 'squid:S00116']","[nan, 21.0, 75.0, 16.0, 10.0]","[nan, 21.0, 39.0, 16.0, 10.0]"
8,[],AConcat,[],"['squid:S1199', 'squid:S00117', 'squid:S1182', 'squid:S00101', 'squid:S1319', 'squid:S00116']","[18.0, 16.0, 24.0, 82.0, 35.0, 10.0]","[18.0, 16.0, 24.0, 82.0, 35.0, 10.0]"
9,[],ADecChar,[],"['squid:S1182', 'squid:S00116', 'squid:S00117']","[21.0, 10.0, 16.0]","[21.0, 10.0, 16.0]"
