,BetterCodeHub,Class,CoverityScan,SonarQube,endLines,startLines
0,"['WRITE_SHORT_UNITS', 'WRITE_SHORT_UNITS']",$block1,[],[],"[723.0, 949.0]","[98.0, 495.0]"
1,[],ASCIIReader,[],"['common-java:DuplicatedBlocks', 'squid:S1161', 'squid:S1161', 'squid:S00105', 'squid:S1161', 'squid:S1161', 'squid:S1161', 'squid:S1226', 'squid:S1161', 'squid:S1197']","[nan, 86.0, 148.0, nan, 189.0, 172.0, 155.0, 111.0, 135.0, 109.0]","[nan, 86.0, 148.0, nan, 189.0, 172.0, 155.0, 111.0, 135.0, 109.0]"
2,[],AbstractAdapterElement,['NP: Null pointer dereference'],"['squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck']","[0.0, 132.0, 64.0, 72.0, 124.0, 80.0, 112.0, 116.0, 120.0, 136.0, 43.0]","[0.0, 132.0, 64.0, 72.0, 124.0, 80.0, 112.0, 116.0, 120.0, 136.0, 43.0]"
3,"['SEPARATE_CONCERNS_IN_MODULES', 'WRITE_CLEAN_CODE']",AbstractAdapterNode,[],"['squid:S1188', 'squid:S1312', 'squid:S1132', 'squid:S1135', 'squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck', 'code_smells:complex_class', 'squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck']","[50.0, 387.0, 85.0, 175.0, 159.0, 175.0, 79.0, 67.0, 1.0, 349.0, 345.0, 63.0, 315.0, 311.0, 341.0, 285.0, 243.0, 214.0, 210.0, 71.0, 302.0]","[50.0, 1.0, 85.0, 175.0, 159.0, 175.0, 79.0, 67.0, 1.0, 349.0, 345.0, 63.0, 315.0, 311.0, 341.0, 285.0, 243.0, 214.0, 210.0, 71.0, 302.0]"
4,[],AbstractCRUDAction,[],"['squid:S1312', 'squid:S2131']","[39.0, 62.0]","[39.0, 62.0]"
5,['WRITE_CLEAN_CODE'],AbstractDirective,[],"['squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck', 'squid:RedundantThrowsDeclarationCheck', 'squid:CommentedOutCodeLine', 'code_smells:long_method']","[137.0, 96.0, 61.0, 72.0, 72.0, 1.0]","[137.0, 96.0, 61.0, 72.0, 72.0, 1.0]"
6,['WRITE_CODE_ONCE'],AbstractDoubleListTag,[],"['code_smells:long_method', 'common-java:DuplicatedBlocks', 'code_smells:complex_class']","[1.0, nan, 1.0, 70.0]","[1.0, nan, 1.0, 44.0]"
7,[],AbstractFieldValidatorDescription,[],"['code_smells:antisingleton', 'squid:S1312', 'squid:ClassVariableVisibilityCheck', 'squid:ClassVariableVisibilityCheck', 'squid:ClassVariableVisibilityCheck', 'squid:ClassVariableVisibilityCheck', 'squid:ClassVariableVisibilityCheck', 'code_smells:class_data_private']","[1.0, 32.0, 34.0, 36.0, 37.0, 38.0, 35.0, 1.0]","[1.0, 32.0, 34.0, 36.0, 37.0, 38.0, 35.0, 1.0]"
8,[],AbstractGxp,[],"['squid:S00112', 'squid:S1149', 'squid:S00112', 'squid:S00112', 'squid:S00112', 'squid:HiddenFieldCheck', 'squid:S1149', 'squid:S00112', 'squid:S00112', 'code_smells:long_method', 'squid:S00112', 'code_smells:complex_class', 'squid:S1166', 'squid:S134', 'squid:S1135', 'squid:S00112']","[238.0, 325.0, 88.0, 280.0, 179.0, 190.0, 293.0, 139.0, 135.0, 1.0, 253.0, 1.0, 316.0, 302.0, 335.0, 137.0]","[238.0, 325.0, 88.0, 280.0, 179.0, 190.0, 293.0, 139.0, 135.0, 1.0, 253.0, 1.0, 316.0, 302.0, 335.0, 137.0]"
9,[],AbstractMatcher,[],"['squid:ForLoopCounterChangedCheck', 'squid:CommentedOutCodeLine', 'code_smells:complex_class', 'squid:S134', 'squid:S1948', 'squid:S134', 'code_smells:long_method', 'squid:S1312', 'squid:S1948', 'squid:S1155', 'squid:EmptyStatementUsageCheck', 'squid:S1905', 'squid:S1066', 'squid:S1226', 'squid:S1948']","[208.0, 165.0, 1.0, 128.0, 236.0, 96.0, 1.0, 42.0, 52.0, 118.0, 52.0, 204.0, 96.0, 83.0, 231.0]","[208.0, 165.0, 1.0, 128.0, 236.0, 96.0, 1.0, 42.0, 52.0, 118.0, 52.0, 204.0, 96.0, 83.0, 231.0]"
10,[],AbstractMessageListHandler,[],['code_smells:long_method'],[1.0],[1.0]
11,"['WRITE_CODE_ONCE', 'WRITE_CODE_ONCE', 'WRITE_CODE_ONCE', 'WRITE_CODE_ONCE']",AbstractRemoteBean,[],"['squid:S1153', 'code_smells:complex_class', 'common-java:DuplicatedBlocks', 'squid:HiddenFieldCheck', 'squid:MethodCyclomaticComplexity', 'squid:ModifiersOrderCheck']","[183.0, 113.0, 127.0, 224.0, 1.0, nan, 118.0, 204.0, 69.0, 41.0]","[143.0, 96.0, 127.0, 198.0, 1.0, nan, 118.0, 132.0, 69.0, 41.0]"
12,['WRITE_CODE_ONCE'],AbstractRemoteTag,[],"['common-java:DuplicatedBlocks', 'code_smells:complex_class', 'code_smells:long_method']","[nan, 1.0, 141.0, 1.0]","[nan, 1.0, 108.0, 1.0]"
13,['SEPARATE_CONCERNS_IN_MODULES'],AbstractTagHandler,[],[],[98.0],[1.0]
14,[],AbstractTagTest,[],"['common-java:DuplicatedBlocks', 'squid:UselessImportCheck', 'common-java:DuplicatedBlocks', 'code_smells:long_method', 'code_smells:long_method']","[nan, 45.0, nan, 1.0, 1.0]","[nan, 45.0, nan, 1.0, 1.0]"
15,[],AbstractTest,[],"['squid:S1192', 'code_smells:long_method', 'squid:S1192', 'squid:S1135', 'squid:S00105', 'squid:S1186']","[146.0, 1.0, 146.0, 115.0, nan, 175.0]","[146.0, 1.0, 146.0, 115.0, nan, 175.0]"
16,[],AbstractUITag,[],"['code_smells:complex_class', 'common-java:DuplicatedBlocks']","[1.0, nan]","[1.0, nan]"
