,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,FastArrayList$SubList$SubListIter.remove,Unguarded write,Medium,CoverityScan,NaN,0.0,0.0
1,FixedSizeMap.keySet,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
2,ListOrderedMap.keySet,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
3,FastArrayList$SubList$SubListIter.add,Unguarded write,Medium,CoverityScan,NaN,0.0,0.0
4,,UrF: Unread field,Low,CoverityScan,NaN,0.0,0.0
5,FixedSizeSortedMap.keySet,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
6,TreeBidiMap$ViewIterator.doGetData,Arguments in wrong order,Medium,CoverityScan,NaN,0.0,0.0
7,StaticBucketMap$EntryIterator.hasNext,Check of thread-shared field evades lock acquisition,High,CoverityScan,NaN,0.0,0.0
8,FixedSizeSortedMap.entrySet,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
9,TreeList$AVLNode.rotateRight,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
10,FixedSizeMap.entrySet,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
11,FastHashMap$CollectionView.isEmpty,Thread deadlock,Medium,CoverityScan,NaN,0.0,0.0
12,FastArrayList$SubList.indexOf,Thread deadlock,Medium,CoverityScan,NaN,0.0,0.0
13,StaticBucketMap$EntryIterator.hasNext,Check of thread-shared field evades lock acquisition,High,CoverityScan,NaN,0.0,0.0
14,FastTreeMap$CollectionView$CollectionViewIterator.remove,Check of thread-shared field evades lock acquisition,High,CoverityScan,NaN,0.0,0.0
15,ExtendedProperties.getBoolean,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
16,ReferenceMap.remove,Volatile not atomically updated,High,CoverityScan,NaN,0.0,0.0
17,ListOrderedMap.entrySet,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
18,DoubleOrderedMap.doRedBlackDelete,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
19,TreeBidiMap.doRedBlackDelete,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
20,FastTreeMap$CollectionView.isEmpty,Thread deadlock,Medium,CoverityScan,NaN,0.0,0.0
21,ReferenceMap.put,Volatile not atomically updated,High,CoverityScan,NaN,0.0,0.0
22,FastArrayList$SubList.get,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
23,FastHashMap$CollectionView$CollectionViewIterator.remove,Check of thread-shared field evades lock acquisition,High,CoverityScan,NaN,0.0,0.0
24,TreeList$AVLNode.rotateLeft,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
25,TreeBidiMap.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,1441.0,1441.0
26,ComparatorUtils.java,squid:S1118,MAJOR,SonarQube,CODE_SMELL,49.0,49.0
27,ExtendedProperties.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1209.0,1209.0
