,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,AbstractCharList.clone,Failure to call super.clone(),Medium,CoverityScan,NaN,0.0,0.0
1,QuantileBin1D.compareWith,Value not atomically updated,Medium,CoverityScan,NaN,0.0,0.0
2,PrimeFinder.main,Division or modulo by float zero,Medium,CoverityScan,NaN,0.0,0.0
3,TestMatrix2D.doubleTest25,'Constant' variable guards dead code,Low,CoverityScan,NaN,0.0,0.0
4,BenchmarkMatrix2D.doubleBenchmark,Division or modulo by float zero,Medium,CoverityScan,NaN,0.0,0.0
5,BenchmarkKernel.run,Division or modulo by float zero,Medium,CoverityScan,NaN,0.0,0.0
6,CharArrayList.equals,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
7,LongArrayList.equals,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
8,AbstractFloatList.clone,Failure to call super.clone(),Medium,CoverityScan,NaN,0.0,0.0
9,AbstractDoubleList.equals,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
10,AbstractBooleanList.clone,Failure to call super.clone(),Medium,CoverityScan,NaN,0.0,0.0
11,RCDoubleMatrix2D.assign,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
12,Smp$1.run,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
13,BooleanArrayList.equals,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
14,AbstractDoubleList.clone,Failure to call super.clone(),Medium,CoverityScan,NaN,0.0,0.0
15,BenchmarkMatrix.runSpecial,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
16,AbstractLongList.clone,Failure to call super.clone(),Medium,CoverityScan,NaN,0.0,0.0
17,BenchmarkMatrix.run,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
18,AbstractShortList.clone,Failure to call super.clone(),Medium,CoverityScan,NaN,0.0,0.0
19,IntArrayList.equals,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
20,ObjectArrayList.equals,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
21,RandomSampler.main,Division or modulo by float zero,Medium,CoverityScan,NaN,0.0,0.0
22,BenchmarkMatrix.usage,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
23,BenchmarkMatrix$15.setParameters,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
24,FloatArrayList.equals,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
25,AbstractByteList.equals,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
26,QuantileFinderTest.observedEpsilonAtPhi,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
27,Gamma.nextDouble,Exception not thrown,Medium,CoverityScan,NaN,0.0,0.0
28,TestMatrix2D.doubleTest22,Result is not floating-point,Medium,CoverityScan,NaN,0.0,0.0
29,AbstractIntList.clone,Failure to call super.clone(),Medium,CoverityScan,NaN,0.0,0.0
30,BitMatrix.elements,Same on both sides,Medium,CoverityScan,NaN,0.0,0.0
31,Functions.demo1,Division or modulo by float zero,Medium,CoverityScan,NaN,0.0,0.0
32,AbstractShortList.equals,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
33,AbstractFloatList.equals,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
34,DoubleBufferSet.phi,Division or modulo by float zero,Medium,CoverityScan,NaN,0.0,0.0
35,IntFunctions$35.apply,Division or modulo by zero,Medium,CoverityScan,NaN,0.0,0.0
36,Histogram3D.internalSliceXZ,Infinite loop,Medium,CoverityScan,NaN,0.0,0.0
