,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,HtmlTableWriter.writeFormFields,WMI: Inefficient Map Iterator,Low,CoverityScan,NaN,0.0,0.0
1,Cell.compareTo,Eq: Problems with implementation of equals(),Low,CoverityScan,NaN,0.0,0.0
2,,CN: Bad implementation of cloneable idiom,Low,CoverityScan,NaN,0.0,0.0
3,HssfTableWriter.escapeColumnValue,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
4,SetPropertyTag.doEndTag,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
5,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
6,ExportDelegate.writeExport,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
7,LookupUtil.getProperty,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
8,,UuF: Unused field,Low,CoverityScan,NaN,0.0,0.0
9,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
10,HtmlTableWriter.writeFormFields,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
11,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
12,ColumnTag.doEndTag,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
13,I18nJstlAdapter.I18nJstlAdapter,Useless call,Medium,CoverityScan,NaN,0.0,0.0
14,ExcelHssfView.escapeColumnValue,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
15,PortletHref.addParameter,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
16,PostHref.equals,HE: Equal objects must have equal hashcodes,Low,CoverityScan,NaN,0.0,0.0
17,HtmlTableWriter.writeFormFields,NS: Suspicious use of non-short-circuit boolean operator,Low,CoverityScan,NaN,0.0,0.0
18,SimpleServletOutputStream.toString,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
19,ReportableListObject.compareTo,Eq: Problems with implementation of equals(),Low,CoverityScan,NaN,0.0,0.0
20,TableProperties.loadBuiltInProperties,Resource leak,High,CoverityScan,NaN,0.0,0.0
21,ExcelHssfView.doExport,REC: RuntimeException capture,Low,CoverityScan,NaN,0.0,0.0
22,TableWriterTemplate.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,227.0,227.0
23,TableWriterTemplate.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,241.0,241.0
24,TotalWrapperTemplate.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,99.0,99.0
25,TableWriterTemplate.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,255.0,255.0
26,TableWriterTemplate.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,458.0,458.0
27,PortletHref.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,498.0,498.0
28,TableWriterTemplate.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,473.0,473.0
29,TableWriterTemplate.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,487.0,487.0
30,TableWriterTemplate.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,501.0,501.0
31,ItextTableWriter.java,squid:S00105,MINOR,SonarQube,CODE_SMELL,,
32,HtmlTagUtil.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,43.0,43.0
33,HtmlTagUtil.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,67.0,67.0
34,HtmlTagUtil.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,118.0,118.0
35,HtmlTagUtil.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,128.0,128.0
36,MultipleHtmlAttribute.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,78.0,78.0
37,PostHref.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,150.0,150.0
38,HtmlAttributeMap.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,61.0,61.0
39,DefaultHref.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,297.0,297.0
40,Anchor.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,120.0,120.0
41,OptimizedIterationTest.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,76.0,76.0
42,OptimizedIteration3Test.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,73.0,73.0
43,Displ107Test.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,63.0,63.0
44,OptimizedIteration2Test.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,82.0,82.0
45,TestAll.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,90.0,90.0
46,DisplaytagCase.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,89.0,89.0
47,TldTest.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,269.0,269.0
48,TldTest.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,273.0,273.0
49,TldTest.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,219.0,219.0
50,ServletUnitHttpRequest.java,squid:S1244,CRITICAL,SonarQube,BUG,831.0,831.0
51,ServletUnitHttpRequest.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,68.0,68.0
52,ServletUnitHttpRequest.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,786.0,786.0
53,ServletUnitHttpRequest.java,squid:S00105,MINOR,SonarQube,CODE_SMELL,,
54,ServletUnitHttpRequest.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,681.0,681.0
55,ServletUnitHttpRequest.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,774.0,774.0
56,ServletUnitHttpRequest.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,79.0,79.0
57,ServletUnitHttpRequest.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,58.0,58.0
58,ServletUnitHttpRequest.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,485.0,485.0
59,ServletUnitHttpRequest.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,571.0,571.0
60,ServletUnitHttpRequest.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,580.0,580.0
61,ServletUnitHttpRequest.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,604.0,604.0
62,ServletUnitHttpRequest.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,606.0,606.0
