,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,FastGradientPaintContext.dispose,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
1,TagWriter.tagShowFrame,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
2,Byte4ByteDebugStreams.write,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
3,KunststoffTreeUI.KunststoffTreeUI,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
4,MP3Frame.readFrame,Unchecked return value,Medium,CoverityScan,NaN,0.0,0.0
5,Font.defineFont1,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
6,Shape.defineSymbol,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
7,Movie.write,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
8,ExtensionsClassLoader.getJars,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
9,Font.defineFont2,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
10,DrawToolBar.setEnabled,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
11,KunststoffTextAreaUI.paintBackground,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
12,Hex.main,Resource leak,High,CoverityScan,NaN,0.0,0.0
13,FontLoader.loadAdditionalFonts,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
14,DrawObjectFactory.saveFile,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
15,ExtensionsClassLoader.getClassLoader,Check of thread-shared field evades lock acquisition,High,CoverityScan,NaN,0.0,0.0
16,AbstractRed.AbstractRed,Dereference before null check,Medium,CoverityScan,NaN,0.0,0.0
17,DrawMenuBar.setEnabled,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
18,MovieClip.defineSymbol,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
19,GraphicsUtil.copyRaster,Missing break in switch,Medium,CoverityScan,NaN,0.0,0.0
20,MP3Helper.getSoundDefinition,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
21,DrawMenuBar.addGenericMenuItem,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
22,ActionParser.processRecords,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
23,ExtensionsClassLoader.getClassLoader,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
24,Shape.defineSymbol,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
25,RawHelper.main,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
