,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,ExitHookManager$INTSignalHandler.handle,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
1,Property$FilePropertyLookup.get,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
2,MergeProcessor._run,RV: Bad use of return value,Low,CoverityScan,NaN,0.0,0.0
3,ClassLoaderResolver.getCallerClass,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
4,ClassDef$ConstructorDescriptor.compareTo,Eq: Problems with implementation of equals(),Low,CoverityScan,NaN,0.0,0.0
5,InstrProcessorST.reset,RV: Bad use of return value,Low,CoverityScan,NaN,0.0,0.0
6,HTMLWriter.close,DE: Dropped or ignored exception,Low,CoverityScan,NaN,0.0,0.0
7,Logger.Logger,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
8,DataFactory.readCoverageData,DE: Dropped or ignored exception,Low,CoverityScan,NaN,0.0,0.0
9,InstrProcessorST.handleArchiveStart,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
10,MethodItem.getAggregate,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
11,,SIC: Inner class could be made static,Low,CoverityScan,NaN,0.0,0.0
12,,Eq: Problems with implementation of equals(),Low,CoverityScan,NaN,0.0,0.0
13,ReportGenerator.visit,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
14,DataFactory.writeMetaData,DE: Dropped or ignored exception,Low,CoverityScan,NaN,0.0,0.0
15,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
16,ClassDef.computeSUID,Risky cryptographic hashing function,Medium,CoverityScan,NaN,0.0,0.0
17,MethodDescriptor.readExternal,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
18,InstrProcessorST.handleArchiveStart,Dereference before null check,Medium,CoverityScan,NaN,0.0,0.0
19,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
20,ReportGenerator.embedSrcFile,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
21,ReportGenerator.visit,Dereference before null check,Medium,CoverityScan,NaN,0.0,0.0
22,Command.initialize,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
23,,UrF: Unread field,Low,CoverityScan,NaN,0.0,0.0
24,ReportGenerator.openOutFile,RV: Bad use of return value,Low,CoverityScan,NaN,0.0,0.0
25,OptsParser.parse,Unused value,Low,CoverityScan,NaN,0.0,0.0
