,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,ClassHash.computeHash,Risky cryptographic hashing function,Medium,CoverityScan,NaN,0.0,0.0
1,BugTreeModel.sendEvent,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
2,DismantleBytecode.visit,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
3,ProjectSettings.addFilters,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
4,FilterMatcher.setActive,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
5,IntAnnotation.toString,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
6,ClassParser.extractReferencedClasses,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
7,CommentsArea.setDesignationNonLeaf,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
8,TypeAnnotation.toString,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
9,DBStats.main,Division or modulo by zero,Medium,CoverityScan,NaN,0.0,0.0
10,Util$3.run,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
11,BetterCFGBuilder2.isMerge,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
12,CheckTypeQualifiers.checkDataflow,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
13,Footprint.pullData,Copy-paste error,Medium,CoverityScan,NaN,0.0,0.0
14,Path.acceptVisitor,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
15,DefinitelyNullSetAnalysis.edgeTransfer,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
16,ProjectSettings.addFilter,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
17,FindBugsTask.setAuxClasspathRef,Useless call,Medium,CoverityScan,NaN,0.0,0.0
18,MainFrame.addNotify,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
19,ViewFilter$FirstSeenFilter.show,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
20,CountClassVersions.main,Risky cryptographic hashing function,Medium,CoverityScan,NaN,0.0,0.0
21,NewFilterFromBug$1.actionPerformed,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
22,DBStats.main,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
23,Update.matchBugs,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
24,DerefFinder.getAnalysis,Using invalid iterator,Medium,CoverityScan,NaN,0.0,0.0
25,DBStats.main,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
26,DBCloud.getBugLink,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
27,DBCloud$PopulateBugs.execute,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
28,OpcodeStack$Item.getFieldAnnotation,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
29,CommentsArea.configureForCurrentCloud,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
30,ViewFilter.setEvaluation,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
31,LazyInit.reportMatch,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
32,InvalidJUnitTest.visit,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
33,IncompatibleTypes.getPriorityForAssumingCompatible,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
34,JavaScanner.next,Unused value,Low,CoverityScan,NaN,0.0,0.0
35,CommentsArea$2.actionPerformed,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
36,Path.acceptVisitorStartingFromLocation,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
37,BugTreeModel.getChildCount,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
38,Strings.initializeUnescapePattern,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
39,TypeFrameModelingVisitor.modelFieldLoad,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
40,DBCloud.getClassificationVariance,Division or modulo by float zero,Medium,CoverityScan,NaN,0.0,0.0
41,NavigableTextPane.offsetToY,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
42,DroppedException.visit,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
43,DBCloud$PopulateBugs.execute,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
44,ValueNumberFrameModelingVisitor.visitMONITORENTER,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
45,SortedBugCollection.progessMonitoredInputStream,Resource leak,High,CoverityScan,NaN,0.0,0.0
46,PackageMemberAnnotation.format,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
47,DBCloud.getClassificationDisagreement,Division or modulo by float zero,Medium,CoverityScan,NaN,0.0,0.0
48,BugInstance.getInstanceKeyNew,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
49,PatternMatcher$State.dominatedInstructionStateIterator,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
50,PreferencesFrame$6.actionPerformed,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
51,FindBugsFrame$69.run,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
52,MainFrame$5.actionPerformed,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
53,ObligationSet.toString,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
54,DBStats.main,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
55,FormatStringChecker.sawOpcode,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
56,SpringUtilities.makeGrid,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
57,DBCloud.insertPendingRecord,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
58,DBCloud.shutdown,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
59,Naming.checkSuper,Nesting level does not match indentation,Medium,CoverityScan,NaN,0.0,0.0
60,SpringUtilities.makeGrid,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
61,CommentsArea$6.run,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
62,FindDeadLocalStores.analyzeMethod,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
63,RecentMenu$LimitedArrayList.add,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
64,MethodHash.computeHash,Risky cryptographic hashing function,Medium,CoverityScan,NaN,0.0,0.0
65,MainFrame.setSourceTab,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
66,DBCloud.insertPendingRecord,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
67,StringAnnotation.toString,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
68,BugInstance.getInstanceKeyOld,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
69,SortedBugCollection.computeBugHashes,Risky cryptographic hashing function,Medium,CoverityScan,NaN,0.0,0.0
70,MainFrame.expandToFirstLeaf,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
71,LocalVariableAnnotation.toString,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
72,PreferencesFrame$7.actionPerformed,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
73,MainFrame.addNotify,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
74,DuplicateBranches.visitMethod,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
75,ViewFilter.setRank,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
76,NewFilterFrame$4.actionPerformed,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
77,FindSelfComparison.checkForSelfOperation,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
78,FindMaskedFields.report,Nesting level does not match indentation,Medium,CoverityScan,NaN,0.0,0.0
79,PackageMemberAnnotation.toString,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
80,SourceLineAnnotation.toString,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
81,WriteOnceProperties.main,Useless call,Medium,CoverityScan,NaN,0.0,0.0
82,ViewFilter.setClassification,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
83,TypeFrame.toString,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
84,IsNullValueAnalysis.transfer,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
85,MultithreadedInstanceAccess.visitMethod,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
86,NumberedParagraphView.getPreviousLineCount0,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
87,FileBugHash.FileBugHash,Risky cryptographic hashing function,Medium,CoverityScan,NaN,0.0,0.0
88,Noise$HashQueue.Noise$HashQueue,Risky cryptographic hashing function,Medium,CoverityScan,NaN,0.0,0.0
89,ViewFilter.setPackagesToDisplay,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
90,ViewFilter.setFirstSeen,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
91,PreferencesFrame$8.itemStateChanged,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
92,FindBugsFrame.getCurrentBugTree,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
93,FindUnsatisfiedObligation$MethodChecker.getAdjustedLeakCount,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
94,LoadOfKnownNullValue.analyzeMethod,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
95,AbstractFindBugsTask.setClasspathRef,Useless call,Medium,CoverityScan,NaN,0.0,0.0
96,RejarClassesForAnalysis.execute,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
97,UnreadFields.report,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
98,BCPMethodReturnCheck.reportMatch,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
99,DBCloud$StoreNewBug.execute,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
100,DBCloud$DatabaseSyncTask.storeFirstSeen,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
101,ConvertToARFF.main,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
102,RejarClassesForAnalysis.copyEntry,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
103,SourceDirectoryWizard.finshButtonActionPerformed,Call to an inherently dangerous function,Low,CoverityScan,NaN,0.0,0.0
104,Strings.initializeEscapeMap,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
105,CommentsArea.updateDesignationComboBox,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
106,DBCloud.getClassificationScore,Division or modulo by float zero,Medium,CoverityScan,NaN,0.0,0.0
107,LazyInit.reportMatch,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
108,MainFrame$15.actionPerformed,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
109,ProjectSettings.removeFilter,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
110,OpcodeStackScanner$Scanner.visitJavaClass,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
111,FilterPropertyDatabase.main,Resource leak,High,CoverityScan,NaN,0.0,0.0
112,UnionBugs.copyFile,Unchecked return value,Medium,CoverityScan,NaN,0.0,0.0
113,CountClassVersions.main,Resource leak,High,CoverityScan,NaN,0.0,0.0
114,InfiniteRecursiveLoop2.analyzeMethod,Using invalid iterator,Medium,CoverityScan,NaN,0.0,0.0
115,MergeSummarizeAndView.load,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
116,ConvertXmlToTextTask.checkParameters,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
117,DBCloud$DatabaseSyncTask.newBug,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
118,FindBugsFrame.copyActionPerformed,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
119,BugInstance.getInstanceHash,Risky cryptographic hashing function,Medium,CoverityScan,NaN,0.0,0.0
120,DBCloud$DatabaseSyncTask.storeLastSeen,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
121,DBCloud$PopulateBugs.execute,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
