,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,FileList.set,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
1,Movies$MovieScreen.updateView,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
2,Rule.toString,Bad choice of lock object,High,CoverityScan,NaN,0.0,0.0
3,Music$LyricsScreen.updateLyrics,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
4,BMPLoader.getPixelData,Unchecked return value,Medium,CoverityScan,NaN,0.0,0.0
5,iTunes$ImagesScreen.iTunes$ImagesScreen,Result is not floating-point,Medium,CoverityScan,NaN,0.0,0.0
6,TiVo.toString,Bad choice of lock object,High,CoverityScan,NaN,0.0,0.0
7,MusicOrganizer.getItems,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
8,Tools.getResourceAsImage,Ignoring number of bytes read,Medium,CoverityScan,NaN,0.0,0.0
9,Tools.ImageIORead,Resource leak,High,CoverityScan,NaN,0.0,0.0
10,VideoServer.getContainer,Bad choice of lock object,High,CoverityScan,NaN,0.0,0.0
11,NetInfo.runConsoleCommand,Bad choice of lock object,High,CoverityScan,NaN,0.0,0.0
12,LabelText.LabelText,Resource leak,High,CoverityScan,NaN,0.0,0.0
13,Shoutcast$PathScreen.handleKeyPress,Missing break in switch,Medium,CoverityScan,NaN,0.0,0.0
14,Jukebox$LyricsScreen.updateLyrics,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
15,FileList.getIndex,Resource leak,High,CoverityScan,NaN,0.0,0.0
16,DefaultApplication.getTrackerString,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
17,IMDB.cleanSpaces,Bad choice of lock object,High,CoverityScan,NaN,0.0,0.0
18,Users.updateApplications,Bad choice of lock object,High,CoverityScan,NaN,0.0,0.0
19,Configurator.save,Bad choice of lock object,High,CoverityScan,NaN,0.0,0.0
20,MusicOrganizer$ImagesScreen.MusicOrganizer$ImagesScreen,Result is not floating-point,Medium,CoverityScan,NaN,0.0,0.0
21,Mp3File.firstPass,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
22,VideoServer.getContainer,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
23,Shoutcast$LyricsScreen.updateLyrics,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
24,RecordedPanel$ShowTableData.getColumnName,Identical code for different branches,Medium,CoverityScan,NaN,0.0,0.0
25,Movies$6.reload,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
26,PlaylistParser.PlaylistParser,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
27,SkinDescriptor.getImage,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
28,PositionControl.mapPosition,Result is not floating-point,Medium,CoverityScan,NaN,0.0,0.0
29,PersistentValueManager.loadPersistentValue,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
30,Traffic$SlideshowScreen.showDescription,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
31,FileFilters$SuffixFilter.toString,Bad choice of lock object,High,CoverityScan,NaN,0.0,0.0
32,Tools.Tools,Risky cryptographic function,Medium,CoverityScan,NaN,0.0,0.0
33,HibernateUtil.initialize,Resource leak,High,CoverityScan,NaN,0.0,0.0
34,VideocastingThread.run,Unguarded write,Medium,CoverityScan,NaN,0.0,0.0
35,VideoServer.handle,Unchecked return value,Medium,CoverityScan,NaN,0.0,0.0
36,VideoServer.handle,Resource leak,High,CoverityScan,NaN,0.0,0.0
37,Photos$PhotosScreen.handleAction,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
38,Internet$FavoritesMenuScreen.createRow,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
39,TiVoPanel$ShowTableData.getColumnName,Identical code for different branches,Medium,CoverityScan,NaN,0.0,0.0
40,Tools.getResourceAsImage,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
41,MusicOrganizer$LyricsScreen.MusicOrganizer$LyricsScreen,Result is not floating-point,Medium,CoverityScan,NaN,0.0,0.0
42,Videocasting.getVideocast,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
43,JavaHMO.parseNameValues,Bad choice of lock object,High,CoverityScan,NaN,0.0,0.0
44,MacNetworkInfo.parse,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
45,DownloadedPanel$ShowTableData.getColumnName,Identical code for different branches,Medium,CoverityScan,NaN,0.0,0.0
46,AppHost.loadJarFile,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
47,HMEConfigurationPanel.save,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
48,NetworkServerManager.initialize,Resource leak,High,CoverityScan,NaN,0.0,0.0
49,AppManager.clean,Bad choice of lock object,High,CoverityScan,NaN,0.0,0.0
50,Shoutcast$ImagesScreen.Shoutcast$ImagesScreen,Result is not floating-point,Medium,CoverityScan,NaN,0.0,0.0
51,ScrollText.ScrollText,Resource leak,High,CoverityScan,NaN,0.0,0.0
52,RulesPanel.checkButtonStates,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
53,Traffic$TrafficMenuScreen.Traffic$TrafficMenuScreen,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
54,FileFilters$PositiveFilter.toString,Bad choice of lock object,High,CoverityScan,NaN,0.0,0.0
55,AppFactory.getImage,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
56,Internet$FavoritesMenuScreen.handleKeyPress,Missing break in switch,Medium,CoverityScan,NaN,0.0,0.0
57,DownloadThread.updateVideo,Indefinite wait,High,CoverityScan,NaN,0.0,0.0
58,Movies$ImagesScreen.Movies$ImagesScreen,Result is not floating-point,Medium,CoverityScan,NaN,0.0,0.0
