,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,TaskImpl$DurationChange.cacheDate,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
1,OptionsPageBuilder$1.focusGained,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
2,ResourceTreeTableModel.addResource,Useless call,Medium,CoverityScan,NaN,0.0,0.0
3,GanttTXTOpen.load,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
4,GanttXMLOpen$DefaultTagHandler.startElement,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
5,GanttXFIGSaver.setProjectPlotTimes,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
6,GanttTree2.copySelectedNode,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
7,GanttXFIGSaver.setProjectPlotTimes,Copy-paste error,Medium,CoverityScan,NaN,0.0,0.0
8,ViewSaver.writeColumns,Division or modulo by zero,Medium,CoverityScan,NaN,0.0,0.0
9,ResourceTreeTableModel.getNodeForAssigment,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
10,FileChooserPage.proposeOutputFile,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
11,GanttTree2$19.run,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
12,CustomColumnsValues.setValue,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
13,XMLCalendarOpen.setCalendars,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
14,GanttTree2.dragGestureRecognized,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
15,FileChooserPageBase.setActive,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
16,GanttXMLOpen$DefaultTagHandler.startElement,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
17,SpringUtilities.makeGrid,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
18,ChartComponentBase$ScrollViewInteraction.apply,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
19,ZoomManager.ZoomManager,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
20,GanttTree2.dragGestureRecognized,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
21,ResourceTreeTableModel.getValueAt,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
22,AssignmentSaver.save,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
23,RecalculateTaskScheduleAlgorithm.fulfilConstraints,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
24,TaskAllocationsPanel$1.actionPerformed,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
25,ChartModelBase$1.getOffsetStep,Division or modulo by float zero,Medium,CoverityScan,NaN,0.0,0.0
26,WebPublisher$3.run,Ignoring number of bytes read,Medium,CoverityScan,NaN,0.0,0.0
27,ProxyDocument.write,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
28,MainApplication.run,Indefinite wait,High,CoverityScan,NaN,0.0,0.0
29,GanttTree2.hideSelectedNodes,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
30,ProxyDocument.write,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
31,XMLCalendarOpen$DefaultTagHandler.startElement,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
32,ChartModelBase$2.getOffsetStep,Division or modulo by float zero,Medium,CoverityScan,NaN,0.0,0.0
33,GanttTree2.addObjectWithExpand,Dereference before null check,Medium,CoverityScan,NaN,0.0,0.0
34,RecalculateTaskScheduleAlgorithm.fulfilConstraints,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
35,RecalculateTaskCompletionPercentageAlgorithm.recalculateSupertaskCompletionPercentage,Division or modulo by zero,Medium,CoverityScan,NaN,0.0,0.0
36,HttpDocument.canWrite,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
37,GanttProject$1$TaskManagerConfigImpl.getProjectDocumentURL,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
38,SpringUtilities.makeGrid,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
39,AdjustTaskBoundsAlgorithm$AlgorithmImpl.recalculateSupertaskSchedule,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
40,TaskAllocationsPanel$BooleanRenderer.getTableCellRendererComponent,Dereference before null check,Medium,CoverityScan,NaN,0.0,0.0
41,ResourceTreeTable.deleteCustomColumn,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
42,GanttTXTOpen.load,Resource leak,High,CoverityScan,NaN,0.0,0.0
43,TaskTreeImageGenerator.getPrintableNodes,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
44,PrintPreview.PrintPreview,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
45,ZoomManager.ZoomManager,Result is not floating-point,Medium,CoverityScan,NaN,0.0,0.0
46,CommandLineExportApplication.export,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
47,TimeFrameImpl.getUnitCount,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
48,TaskDependenciesPanel$1.actionPerformed,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
49,GanttDialogPerson$3.getOptionLabel,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
50,VacationTagHandler.loadResource,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
51,PluginManager.getExtensions,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
52,GanttTree2.setEditingTask,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
53,HolidayTagHandler.loadHoliday,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
54,GanttXFIGSaver.setProjectPlotTimes,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
55,ResourceLoadGraphicArea$1.isAssignmentVisible,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
56,RecalculateTaskScheduleAlgorithm.fulfilConstraints,Unused value,Low,CoverityScan,NaN,0.0,0.0
57,GanttXFIGSaver.setProjectPlotTimes,Division or modulo by float zero,Medium,CoverityScan,NaN,0.0,0.0
58,ChartModelBase$1$AlternanceFactory.createAlternance,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
59,ResourceTreeTableModel.resourceAssignmentsChanged,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
60,GanttStatusBar$1.paint,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
61,XMLCalendarOpen.setCalendars,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
62,TaskImpl$MutatorImpl.setDuration,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
63,GanttTree2.insertClonedNode,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
64,DateParser.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,104.0,104.0
65,DateParser.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,130.0,130.0
66,DateParser.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,130.0,130.0
67,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,735.0,735.0
68,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,737.0,737.0
69,DateParser.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,213.0,213.0
70,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,739.0,739.0
71,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,743.0,743.0
72,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,744.0,744.0
73,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,748.0,748.0
74,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,755.0,755.0
75,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,759.0,759.0
76,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,763.0,763.0
77,UIFacadeImpl.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,379.0,379.0
78,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,767.0,767.0
79,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,772.0,772.0
80,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,777.0,777.0
81,TaskContainmentHierarchyFacadeImpl.java,squid:S00105,MINOR,SonarQube,CODE_SMELL,,
82,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,781.0,781.0
83,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,783.0,783.0
84,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,787.0,787.0
85,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,788.0,788.0
86,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,793.0,793.0
87,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,797.0,797.0
88,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,800.0,800.0
89,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,803.0,803.0
90,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,807.0,807.0
91,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,811.0,811.0
92,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,812.0,812.0
93,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,815.0,815.0
94,GanttProjectImpl.java,squid:S00105,MINOR,SonarQube,CODE_SMELL,,
95,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,818.0,818.0
96,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,822.0,822.0
97,TreeTableCellEditorImpl.java,squid:S00105,MINOR,SonarQube,CODE_SMELL,,
98,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,826.0,826.0
99,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,831.0,831.0
100,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,835.0,835.0
101,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,839.0,839.0
102,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,843.0,843.0
103,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,849.0,849.0
104,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,853.0,853.0
105,ResourceLoadGraphicArea.java,squid:S00105,MINOR,SonarQube,CODE_SMELL,,
106,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,857.0,857.0
107,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,863.0,863.0
108,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,869.0,869.0
109,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,873.0,873.0
110,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,877.0,877.0
111,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,882.0,882.0
112,ResourceChartTabContentPanel.java,squid:S00105,MINOR,SonarQube,CODE_SMELL,,
113,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,886.0,886.0
114,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,889.0,889.0
115,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,893.0,893.0
116,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,898.0,898.0
117,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,903.0,903.0
118,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,910.0,910.0
119,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,914.0,914.0
120,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,918.0,918.0
121,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,921.0,921.0
122,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,925.0,925.0
123,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,930.0,930.0
124,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,936.0,936.0
125,ResourceTreeTableModel.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,452.0,452.0
126,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,942.0,942.0
127,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,952.0,952.0
128,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,963.0,963.0
129,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,969.0,969.0
130,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,971.0,971.0
131,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,972.0,972.0
132,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,975.0,975.0
133,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,978.0,978.0
134,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,981.0,981.0
135,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,984.0,984.0
136,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,987.0,987.0
137,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,990.0,990.0
138,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,993.0,993.0
139,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,996.0,996.0
140,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,999.0,999.0
141,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1000.0,1000.0
142,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1003.0,1003.0
143,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1006.0,1006.0
144,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1009.0,1009.0
145,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1012.0,1012.0
146,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1020.0,1020.0
147,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1027.0,1027.0
148,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1164.0,1164.0
149,GanttOptions.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1170.0,1170.0
150,GanttOptions.java,squid:S00105,MINOR,SonarQube,CODE_SMELL,,
151,GanttOptions.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,554.0,554.0
152,GanttPreviousStateTask.java,squid:S00105,MINOR,SonarQube,CODE_SMELL,,
153,Mediator.java,squid:S1118,MAJOR,SonarQube,CODE_SMELL,22.0,22.0
154,GanttResourcePanel.java,squid:S00105,MINOR,SonarQube,CODE_SMELL,,
155,GanttCalendar.java,squid:S00105,MINOR,SonarQube,CODE_SMELL,,
156,IGanttProject.java,squid:S00105,MINOR,SonarQube,CODE_SMELL,,
157,GanttPreviousState.java,squid:S00105,MINOR,SonarQube,CODE_SMELL,,
158,GanttPreviousState.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,197.0,197.0
159,GanttTreeTableModel.java,squid:S00105,MINOR,SonarQube,CODE_SMELL,,
160,GanttTreeTableModel.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,70.0,70.0
161,GanttTreeTableModel.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,342.0,342.0
162,GanttTreeTableModel.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,500.0,500.0
163,GanttTreeTable.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1086.0,1086.0
164,GanttTreeTable.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1088.0,1088.0
165,GanttTreeTable.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1090.0,1090.0
166,GanttTreeTable.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1092.0,1092.0
167,GanttTreeTable.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1094.0,1094.0
168,GanttTreeTable.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1096.0,1096.0
169,GanttTreeTable.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1098.0,1098.0
170,GanttTreeTable.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,1100.0,1100.0
