,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,JDBCSpoolRepository.store,Unguarded write,Medium,CoverityScan,NaN,0.0,0.0
1,NNTPHandler.doLAST,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
2,MimeMessageWrapper.getDataHandler,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
3,MimeMessageWrapper.getMatchingHeaderLines,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
4,MimeMessageWrapper.getMatchingHeaders,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
5,MimeMessageWrapper.setText,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
6,AbstractStorageQuota.getPrimaryName,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
7,MimeMessageJDBCSource.getSourceId,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
8,MimeMessageWrapper.addRecipients,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
9,MimeMessageWrapper.getRawInputStream,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
10,MimeMessageWrapper.isSet,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
11,MimeMessageWrapper.setRecipients,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
12,NNTPGroupImpl.collectArticleRangeInfo,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
13,FileRegexMatcher.init,Resource leak,High,CoverityScan,NaN,0.0,0.0
14,MimeMessageWrapper.getDescription,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
15,NNTPArticleImpl.getHeader,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
16,PoolConnEntry.getStatus,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
17,CommandListservManager.service,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
18,PoolConnEntry.getLastActivity,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
19,ServerConnection$ClientConnectionRunner.dispose,Data race condition,Medium,CoverityScan,NaN,0.0,0.0
20,AbstractRedirect.buildAlteredMessage,Missing break in switch,Medium,CoverityScan,NaN,0.0,0.0
21,MimeMessageWrapper.addHeader,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
22,MimeMessageWrapper.setDescription,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
