,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,MkDirAction.modifyTarget,RV: Bad use of return value,Low,CoverityScan,NaN,0.0,0.0
1,AttachmentPropertyPopulator.createNewInstance,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
2,ServerInfo.listThreadDump,STCAL: Static use of type Calendar or DateFormat,Medium,CoverityScan,NaN,0.0,0.0
3,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
4,FileReadAction.safeCloseStream,Bad choice of lock object,High,CoverityScan,NaN,0.0,0.0
5,ServerInfo$ThreadCPU.compareTo,Eq: Problems with implementation of equals(),Low,CoverityScan,NaN,0.0,0.0
6,TypedManagedDeploymentCreator.build,WMI: Inefficient Map Iterator,Low,CoverityScan,NaN,0.0,0.0
7,AbstractFileWriteAction.safeCleanup,RV: Bad use of return value,Low,CoverityScan,NaN,0.0,0.0
8,ServerInfo.getVMArguments,SBSC: String concatenation in loop using + operator,Low,CoverityScan,NaN,0.0,0.0
9,ServerInfo.outputJdk5ThreadMXBeanInfo,Bx: Questionable Boxing of primitive value,Low,CoverityScan,NaN,0.0,0.0
10,AbstractProfileService.internalValidateContext,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
11,FileUtil.createTempDir,RV: Bad use of return value,Low,CoverityScan,NaN,0.0,0.0
12,VFSDeploymentScannerImpl.scan,Using invalid iterator,Medium,CoverityScan,NaN,0.0,0.0
13,HDScanner.isScanEnabled,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
14,AttachmentPropertyPopulator.processManagedProperty,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
15,FileUtil.localMove,RV: Bad use of return value,Low,CoverityScan,NaN,0.0,0.0
16,ClusteredDeploymentRepositoryFactory.createDeploymentRepository,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
17,AbstractAttachmentStore$HashGenerator.getDigest,Risky cryptographic hashing function,Medium,CoverityScan,NaN,0.0,0.0
18,ClusteredDeploymentRepository.addDeploymentContent,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
19,FileUtil.localMove,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
20,AbstractAttachmentStore$HashGenerator.internalCreateHash,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
21,,SIC: Inner class could be made static,Low,CoverityScan,NaN,0.0,0.0
22,VFSScanner.scan,JLM: Synchronization on java.util.concurrent objects,Medium,CoverityScan,NaN,0.0,0.0
23,FileUtil.createTempFile,RV: Bad use of return value,Low,CoverityScan,NaN,0.0,0.0
24,AbstractLocalContentChangeAction.doRollbackFromPrepared,RV: Bad use of return value,Low,CoverityScan,NaN,0.0,0.0
25,AbstractAttachmentStore.createDeployment,WMI: Inefficient Map Iterator,Low,CoverityScan,NaN,0.0,0.0
26,HDScanner.scan,Dereference before null check,Medium,CoverityScan,NaN,0.0,0.0
27,DirectoryTimestampUpdateAction.doPrepare,RV: Bad use of return value,Low,CoverityScan,NaN,0.0,0.0
28,ProfileServiceBootstrap.start,DLS: Dead local store,Low,CoverityScan,NaN,0.0,0.0
29,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
30,DirectoryTimestampUpdateAction.doRollbackFromRollbackOnly,RV: Bad use of return value,Low,CoverityScan,NaN,0.0,0.0
31,AbstractLocalContentChangeAction.doPrepare,RV: Bad use of return value,Low,CoverityScan,NaN,0.0,0.0
32,RepositoryItemMetadata.setDirectory,Volatile not atomically updated,High,CoverityScan,NaN,0.0,0.0
33,ProfileContext.ProfileContext,UR: Uninitialized read of field in constructor,Medium,CoverityScan,NaN,0.0,0.0
34,AbstractProfileDeployment.toString,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
35,ServerInfo.outputJdk6ThreadMXBeanInfo,Dereference before null check,Medium,CoverityScan,NaN,0.0,0.0
36,AbstractLocalContentManager.updateContentMetadata,Unguarded write,Medium,CoverityScan,NaN,0.0,0.0
37,ClusteredDeploymentRepositoryFactory.createDeploymentRepository,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
38,AbstractPersistenceFactory.resetComponent,DLS: Dead local store,Low,CoverityScan,NaN,0.0,0.0
39,RepositoryItemMetadata.compareTo,ES: Checking String equality using == or !=,Low,CoverityScan,NaN,0.0,0.0
40,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
41,HDScanner.setDeployer,Unguarded write,Medium,CoverityScan,NaN,0.0,0.0
42,FileUtil.localMove,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
43,AbstractValuePersistence.createPropertiesValue,WMI: Inefficient Map Iterator,Low,CoverityScan,NaN,0.0,0.0
44,AbstractLocalContentChangeAction.safeCleanup,RV: Bad use of return value,Low,CoverityScan,NaN,0.0,0.0
45,DirectoryTimestampUpdateAction.doRollbackFromPrepared,RV: Bad use of return value,Low,CoverityScan,NaN,0.0,0.0
46,AbstractFileWriteAction.safeCloseStream,Bad choice of lock object,High,CoverityScan,NaN,0.0,0.0
47,AbstractLocalContentChangeAction.doRollbackFromRollbackOnly,RV: Bad use of return value,Low,CoverityScan,NaN,0.0,0.0
48,AbstractContentModificationGenerator$OwnedItem.compareTo,Eq: Problems with implementation of equals(),Low,CoverityScan,NaN,0.0,0.0
