,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,VisioExporter.export,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
1,VertexCoversTest.createRandomGraph,RV: Bad use of return value,Medium,CoverityScan,NaN,0.0,0.0
2,PerformanceDemo.main,Unchecked return value,Medium,CoverityScan,NaN,0.0,0.0
3,GraphReader.GraphReader,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
4,AbstractBaseGraph$DirectedSpecifics.edgesOf,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
5,SimpleDirectedGraphTest.verifyReversal,ES: Checking String equality using == or !=,Low,CoverityScan,NaN,0.0,0.0
6,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
7,VertexDegreeEquivalenceComparator$InOutDegrees.equals,NP: Null pointer dereference,Low,CoverityScan,NaN,0.0,0.0
8,EdmondsKarpMaximumFlowTest.runTest,WMI: Inefficient Map Iterator,Low,CoverityScan,NaN,0.0,0.0
9,GraphReader.readNodeCount,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
10,SimpleDirectedGraphTest.testAddEdgeObjectObject,Copy-paste error,Medium,CoverityScan,NaN,0.0,0.0
11,,UwF: Unwritten field,Medium,CoverityScan,NaN,0.0,0.0
12,EdmondsKarpMaximumFlow.breadthFirstSearch,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
13,GmlExporter.setPrintLabels,RC: Questionable use of reference equality rather than calling equals,Low,CoverityScan,NaN,0.0,0.0
14,GraphOrdering$LabelsEdge.equals,BC: Bad casts of object references,Low,CoverityScan,NaN,0.0,0.0
15,DepthFirstIteratorTest.testBug1169182,SBSC: String concatenation in loop using + operator,Low,CoverityScan,NaN,0.0,0.0
16,GmlExporter.exportEdges,RC: Questionable use of reference equality rather than calling equals,Low,CoverityScan,NaN,0.0,0.0
17,,UwF: Unwritten field,Medium,CoverityScan,NaN,0.0,0.0
18,GenericGraphsTest$EquivVertex.equals,Eq: Problems with implementation of equals(),Medium,CoverityScan,NaN,0.0,0.0
19,AbstractExhaustiveIsomorphismInspector.findNextIsomorphicGraph,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
20,,UrF: Unread field,Low,CoverityScan,NaN,0.0,0.0
21,VertexDegreeEquivalenceComparator$InOutDegrees.equals,BC: Bad casts of object references,Low,CoverityScan,NaN,0.0,0.0
22,GraphOrdering$LabelsEdge.equals,NP: Null pointer dereference,Low,CoverityScan,NaN,0.0,0.0
23,GraphReader.skipComments,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
24,VertexDegreeEquivalenceComparator$InOutDegrees.equals,HE: Equal objects must have equal hashcodes,Low,CoverityScan,NaN,0.0,0.0
25,CloneTest$BrokenVertex.equals,HE: Equal objects must have equal hashcodes,Low,CoverityScan,NaN,0.0,0.0
26,TouchgraphPanel.initialize,UR: Uninitialized read of field in constructor,Medium,CoverityScan,NaN,0.0,0.0
27,GmlExporter.exportVertices,RC: Questionable use of reference equality rather than calling equals,Low,CoverityScan,NaN,0.0,0.0
28,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
29,EulerianCircuit.isEulerian,IM: Questionable integer math,Low,CoverityScan,NaN,0.0,0.0
30,SimpleDirectedGraphTest.testInDegreeOf,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
31,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
32,,SIC: Inner class could be made static,Low,CoverityScan,NaN,0.0,0.0
33,AbstractExhaustiveIsomorphismInspector.AbstractExhaustiveIsomorphismInspector,Arguments in wrong order,Medium,CoverityScan,NaN,0.0,0.0
34,DirectedAcyclicGraph.removeVertex,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
35,ClassBasedEdgeFactory.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,86.0,86.0
36,ClassBasedVertexFactory.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,74.0,74.0
37,AbstractGraphIteratorTest.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,60.0,60.0
38,SerializationTest.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,104.0,104.0
39,AllUtilTests.java,squid:S1118,MAJOR,SonarQube,CODE_SMELL,46.0,46.0
40,EdgeTopologyCompare.java,squid:S1118,MAJOR,SonarQube,CODE_SMELL,47.0,47.0
41,IsomorphismInspectorTest.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,573.0,573.0
42,Graphs.java,squid:S1118,MAJOR,SonarQube,CODE_SMELL,58.0,58.0
43,AbstractBaseGraph.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,353.0,353.0
44,DefaultListenableGraph.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,235.0,235.0
45,AbstractGraph.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,200.0,200.0
46,ClosestFirstIterator.java,squid:S1244,CRITICAL,SonarQube,BUG,279.0,279.0
47,RankingPathElementList.java,squid:S1244,CRITICAL,SonarQube,BUG,179.0,179.0
48,ChromaticNumber.java,squid:S1118,MAJOR,SonarQube,CODE_SMELL,60.0,60.0
49,EulerianCircuit.java,squid:S1118,MAJOR,SonarQube,CODE_SMELL,58.0,58.0
50,HamiltonianCycle.java,squid:S1118,MAJOR,SonarQube,CODE_SMELL,55.0,55.0
51,VertexCovers.java,squid:S1118,MAJOR,SonarQube,CODE_SMELL,63.0,63.0
