,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,GridFilesystemTest$cd.execute,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
1,FD_ALL.stopHeartbeatSender,Unguarded write,Medium,CoverityScan,NaN,0.0,0.0
2,ModClusterAdvertizeListener.main,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
3,PropertiesToXML.fileToString,Resource leak,High,CoverityScan,NaN,0.0,0.0
4,ConnectionTableNIO.run,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
5,UtilTest._testMessage,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
6,SFC.handleViewChange,Unguarded write,Medium,CoverityScan,NaN,0.0,0.0
7,StateTransferTest$StateTransferApplication.getState,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
8,NakReceiverWindowStressTest.processMessage,Unchecked return value,Medium,CoverityScan,NaN,0.0,0.0
9,BSH$1.run,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
10,TP$DefaultBundler.send,Unguarded write,Medium,CoverityScan,NaN,0.0,0.0
11,UDP$PacketReceiver.run,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
12,X509Token.setCertificate,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
13,Profiler.dump,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
14,SFC.down,Unguarded write,Medium,CoverityScan,NaN,0.0,0.0
15,ConnectionTable.getConnection,Copy-paste error,Medium,CoverityScan,NaN,0.0,0.0
16,BasicConnectionTable$Connection.readPeerAddress,Value not atomically updated,Medium,CoverityScan,NaN,0.0,0.0
17,MergeTest.mergeHelper,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
18,Multiplexer.up,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
19,FD.getPingDest,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
20,SFC.down,Unguarded write,Medium,CoverityScan,NaN,0.0,0.0
21,S3_PING$Base64.encodeObject,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
22,GraphPanel.update,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
23,TP$DefaultBundler$BundlingTimer.run,Unguarded write,Medium,CoverityScan,NaN,0.0,0.0
24,DISCARD.dumpStats,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
25,PropertiesToXML.convertToDocbookTable,Dereference before null check,Medium,CoverityScan,NaN,0.0,0.0
26,AckCollector.AckCollector,Dereference before null check,Medium,CoverityScan,NaN,0.0,0.0
27,NakackTest$ReceiverPeer.getNumberOfReceivedMessages,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
28,SimulatorTest$ReceiverPeer.getNumberOfReceivedMessages,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
29,GroupRequest.responsesComplete,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
30,MergeTest.injectMergeEvent,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
31,AckMcastSenderWindow.init,Unguarded write,Medium,CoverityScan,NaN,0.0,0.0
32,RelayTest.handleInput,Unchecked return value,Medium,CoverityScan,NaN,0.0,0.0
33,Merger.merge,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
34,DrawApplet.go,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
35,SMACK.down,Unguarded write,Medium,CoverityScan,NaN,0.0,0.0
36,PerformanceTestGenerator.generateFile,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
37,STABLE.handleRegularMessage,Unguarded write,Medium,CoverityScan,NaN,0.0,0.0
