,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,RulesTree$TreeNodeRenderer.getTreeCellRendererComponent,Copy-paste error,Medium,CoverityScan,NaN,0.0,0.0
1,CPD.add,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
2,FileFinder.scanDirectory,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
3,ClassListPanel.main,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
4,ExtractMethodRefactoring.prescan,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
5,EMParameterFinder.run,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
6,UndoStack.load,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
7,Repackage.load,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
8,SelectedRules.SelectedRules,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
9,PackageLoader.loadPositions,Resource leak,High,CoverityScan,NaN,0.0,0.0
10,MethodNamingConventionsRule.visit,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
11,FileCopy.run,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
12,FileSettings.save,Resource leak,High,CoverityScan,NaN,0.0,0.0
13,Navigator$JavaParserThread.run,Indefinite wait,High,CoverityScan,NaN,0.0,0.0
14,RenameParameterDialog.RenameParameterDialog,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
15,FileCopy.run,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
16,PrintData.popCurrentClassName,Value not atomically updated,Medium,CoverityScan,NaN,0.0,0.0
17,ImportsType.query,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
18,Summarize.run,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
19,CVSUtil$CVSEntry.setTimestamp,Dereference before null check,Medium,CoverityScan,NaN,0.0,0.0
20,RenameFieldVisitor.visit,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
21,SelectedPanel.SelectedPanel,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
22,PropertiesFile.save,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
23,AddClassRefactoring.transform,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
