,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,,SIC: Inner class could be made static,Low,CoverityScan,NaN,0.0,0.0
1,Repository.equals,HE: Equal objects must have equal hashcodes,Low,CoverityScan,NaN,0.0,0.0
2,LifecycleMappingsXpp3Reader.getBooleanValue,UPM: Private method is never called,Low,CoverityScan,NaN,0.0,0.0
3,DefaultModelBuilder.build,SBSC: String concatenation in loop using + operator,Low,CoverityScan,NaN,0.0,0.0
4,DefaultRepositoryMetadataManager.updateSnapshotMetadata,WMI: Inefficient Map Iterator,Low,CoverityScan,NaN,0.0,0.0
5,ProfilesXpp3Reader.getDateValue,UPM: Private method is never called,Low,CoverityScan,NaN,0.0,0.0
6,LegacyRepositorySystem.injectProxy,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
7,Settings.flushActiveProxy,Unguarded write,Medium,CoverityScan,NaN,0.0,0.0
8,CLIManager.displayHelp,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
9,PluginVersionResolutionException.format,SBSC: String concatenation in loop using + operator,Low,CoverityScan,NaN,0.0,0.0
10,PluginDescriptorXpp3Reader.getBooleanValue,UPM: Private method is never called,Low,CoverityScan,NaN,0.0,0.0
11,MavenToolchainsXpp3Reader.getBooleanValue,UPM: Private method is never called,Low,CoverityScan,NaN,0.0,0.0
12,,Eq: Problems with implementation of equals(),Low,CoverityScan,NaN,0.0,0.0
13,ExpressionDocumenter.load,Resource leak,High,CoverityScan,NaN,0.0,0.0
14,DefaultWagonManager.verifyChecksum,RV: Bad use of return value,Low,CoverityScan,NaN,0.0,0.0
15,MojoDescriptor.compareObjects,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
16,DefaultUpdateCheckManager.writeLastUpdated,Bad choice of lock object,Medium,CoverityScan,NaN,0.0,0.0
17,,UwF: Unwritten field,Medium,CoverityScan,NaN,0.0,0.0
18,MavenXpp3ReaderEx.getBooleanValue,UPM: Private method is never called,Low,CoverityScan,NaN,0.0,0.0
19,ManagedVersionMap.toString,WMI: Inefficient Map Iterator,Low,CoverityScan,NaN,0.0,0.0
20,,UuF: Unused field,Low,CoverityScan,NaN,0.0,0.0
21,,UwF: Unwritten field,Medium,CoverityScan,NaN,0.0,0.0
22,ThreadOutputMuxer.ThreadOutputMuxer,SC: Constructor invokes Thread.start(),Medium,CoverityScan,NaN,0.0,0.0
23,LifecycleStarter.execute,REC: RuntimeException capture,Low,CoverityScan,NaN,0.0,0.0
24,DefaultClasspathTransformation.transform,DLS: Dead local store,Low,CoverityScan,NaN,0.0,0.0
25,ThreadOutputMuxer.setThisModuleComplete,NN: Naked notify,Medium,CoverityScan,NaN,0.0,0.0
26,DefaultBuildPluginManager.executeMojo,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
27,NoPluginFoundForPrefixException.format,SBSC: String concatenation in loop using + operator,Low,CoverityScan,NaN,0.0,0.0
28,DefaultWagonManager.getProxy,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
29,MavenXpp3Reader.getBooleanValue,UPM: Private method is never called,Low,CoverityScan,NaN,0.0,0.0
30,PluginParameterExpressionEvaluator.PluginParameterExpressionEvaluator,Dereference before null check,Medium,CoverityScan,NaN,0.0,0.0
31,MetadataResolutionResult.addError,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
32,AbstractStringBasedModelInterpolator.getInterpolator,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
33,PluginDescriptor.getLifecycleMapping,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
34,MojoDescriptorCreator.getMojoDescriptor,SBSC: String concatenation in loop using + operator,Low,CoverityScan,NaN,0.0,0.0
35,Repository.equals,HE: Equal objects must have equal hashcodes,Low,CoverityScan,NaN,0.0,0.0
36,,Eq: Problems with implementation of equals(),Low,CoverityScan,NaN,0.0,0.0
37,DefaultArtifactResolver.resolve,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
38,DefaultToolchain.matchesRequirements,WMI: Inefficient Map Iterator,Low,CoverityScan,NaN,0.0,0.0
39,ThreadOutputMuxer.ThreadOutputMuxer,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
40,MavenToolchainsXpp3Reader.parsePersistedToolchains,DLS: Dead local store,Low,CoverityScan,NaN,0.0,0.0
41,DefaultRepositoryLayout.pathOfRepositoryMetadata,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
42,ThreadLockedArtifact.compareTo,Eq: Problems with implementation of equals(),Low,CoverityScan,NaN,0.0,0.0
43,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
44,,Eq: Problems with implementation of equals(),Low,CoverityScan,NaN,0.0,0.0
45,DefaultJavaToolChain.findTool,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
46,DefaultWagonManager.putRemoteFile,WMI: Inefficient Map Iterator,Low,CoverityScan,NaN,0.0,0.0
47,DefaultWagonManager.getAuthenticationInfo,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
48,,SIC: Inner class could be made static,Low,CoverityScan,NaN,0.0,0.0
49,DefaultPluginManager.getPluginDescriptorForPrefix,REC: RuntimeException capture,Low,CoverityScan,NaN,0.0,0.0
50,MetadataGraphEdge.equals,HE: Equal objects must have equal hashcodes,Low,CoverityScan,NaN,0.0,0.0
51,,Eq: Problems with implementation of equals(),Low,CoverityScan,NaN,0.0,0.0
52,ParamdocXpp3Reader.getDateValue,UPM: Private method is never called,Low,CoverityScan,NaN,0.0,0.0
53,MavenCli.populateRequest,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
54,PluginDescriptor.equals,NP: Null pointer dereference,Low,CoverityScan,NaN,0.0,0.0
55,SettingsXpp3Reader.getBooleanValue,UPM: Private method is never called,Low,CoverityScan,NaN,0.0,0.0
56,DefaultModelBuilder.importDependencyManagement,SBSC: String concatenation in loop using + operator,Low,CoverityScan,NaN,0.0,0.0
57,,UrF: Unread field,Low,CoverityScan,NaN,0.0,0.0
58,PluginDescriptor.equals,BC: Bad casts of object references,Low,CoverityScan,NaN,0.0,0.0
59,MavenCli.logging,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
60,ParamdocXpp3Reader.getBooleanValue,UPM: Private method is never called,Low,CoverityScan,NaN,0.0,0.0
61,SettingsBuildingException.SettingsBuildingException,Dereference before null check,Medium,CoverityScan,NaN,0.0,0.0
62,ConcurrentBuildLogger.toGraph,WMI: Inefficient Map Iterator,Low,CoverityScan,NaN,0.0,0.0
63,SettingsXpp3Reader.parseTrackableBase,DLS: Dead local store,Low,CoverityScan,NaN,0.0,0.0
64,DefaultWagonManager.getRemoteFile,RV: Bad use of return value,Low,CoverityScan,NaN,0.0,0.0
65,DefaultModelBuilder.checkPluginVersions,WMI: Inefficient Map Iterator,Low,CoverityScan,NaN,0.0,0.0
66,DefaultRepositoryMetadataManager.resolve,RV: Bad use of return value,Low,CoverityScan,NaN,0.0,0.0
67,ExpressionDocumenter.initializeDocLoader,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
68,AbstractRepositoryMetadata.updateRepositoryMetadata,RV: Bad use of return value,Low,CoverityScan,NaN,0.0,0.0
69,DefaultLegacyArtifactCollector.recurse,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
70,DefaultUpdateCheckManager.touch,RV: Bad use of return value,Low,CoverityScan,NaN,0.0,0.0
71,DefaultMavenPluginManager.getConfiguredMojo,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
72,DefaultProjectBuildingHelper.selectProjectRealm,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
73,,SS: Unread field should be static,Low,CoverityScan,NaN,0.0,0.0
74,AbstractStringBasedModelInterpolator.initialize,Unguarded write,Medium,CoverityScan,NaN,0.0,0.0
75,,UuF: Unused field,Low,CoverityScan,NaN,0.0,0.0
76,LoggingRepositoryListener.artifactDescriptorInvalid,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
77,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
78,MavenToolchainsXpp3Reader.getDateValue,UPM: Private method is never called,Low,CoverityScan,NaN,0.0,0.0
79,DefaultUpdateCheckManager.read,Bad choice of lock object,Medium,CoverityScan,NaN,0.0,0.0
80,ProfilesXpp3Reader.getBooleanValue,UPM: Private method is never called,Low,CoverityScan,NaN,0.0,0.0
81,LifecycleWeaveBuilder.build,WMI: Inefficient Map Iterator,Low,CoverityScan,NaN,0.0,0.0
82,,Eq: Problems with implementation of equals(),Low,CoverityScan,NaN,0.0,0.0
