,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,BattleArmor.locations,Unused value,Low,CoverityScan,NaN,0.0,0.0
1,BipedMech.getWalkMP,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
2,Server.handle,REC: RuntimeException capture,Low,CoverityScan,NaN,0.0,0.0
3,EntityListFile.saveTo,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
4,Server.damageEntity,Result is not floating-point,Medium,CoverityScan,NaN,0.0,0.0
5,MechDisplay$ExtraPanel.onResize,Result is not floating-point,Medium,CoverityScan,NaN,0.0,0.0
6,HmvFile.HmvFile,Ignoring number of bytes read,Medium,CoverityScan,NaN,0.0,0.0
7,ArtilleryWeaponIndirectHomingHandler.convertHomingShotToEntityTarget,Value not atomically updated,Medium,CoverityScan,NaN,0.0,0.0
8,MapSettings.clone,CN: Bad implementation of cloneable idiom,Low,CoverityScan,NaN,0.0,0.0
9,PlanetaryConditions.clone,CN: Bad implementation of cloneable idiom,Low,CoverityScan,NaN,0.0,0.0
10,BoardView1$13.gamePhaseChange,Missing break in switch,Medium,CoverityScan,NaN,0.0,0.0
11,MechDisplay$PilotPanel.onResize,ICAST: Casting from integer values,Medium,CoverityScan,NaN,0.0,0.0
12,Server.filterPastReports,DLS: Dead local store,Low,CoverityScan,NaN,0.0,0.0
13,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
14,Server.resolveKickAttack,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
15,FlamerHeatHandler.calcDamagePerHit,Unused value,Low,CoverityScan,NaN,0.0,0.0
16,MovementDisplay.removeLastStep,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
17,MapSettings.loadStringParameter,IP: Ignored parameter,Medium,CoverityScan,NaN,0.0,0.0
18,Entity.equals,HE: Equal objects must have equal hashcodes,Low,CoverityScan,NaN,0.0,0.0
19,CriticalSlot.equals,HE: Equal objects must have equal hashcodes,Low,CoverityScan,NaN,0.0,0.0
20,Server.handle,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
21,Server.sendSaveGame,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
22,,UrF: Unread field,Low,CoverityScan,NaN,0.0,0.0
23,ManeuverChoiceDialog.initialize,'Constant' variable guards dead code,Low,CoverityScan,NaN,0.0,0.0
24,Server.handle,Missing break in switch,Medium,CoverityScan,NaN,0.0,0.0
25,EquipmentType.equals,HE: Equal objects must have equal hashcodes,Low,CoverityScan,NaN,0.0,0.0
26,MovePath.removeLastStep,Value not atomically updated,Medium,CoverityScan,NaN,0.0,0.0
27,Server.applyBuildingDamage,WMI: Inefficient Map Iterator,Low,CoverityScan,NaN,0.0,0.0
28,,UwF: Unwritten field,Low,CoverityScan,NaN,0.0,0.0
29,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
30,Entity.getArmorRemainingPercent,Division or modulo by float zero,Medium,CoverityScan,NaN,0.0,0.0
31,Engine.getWeightEngine,DLS: Dead local store,Low,CoverityScan,NaN,0.0,0.0
32,BattleArmor.locations,Unused value,Low,CoverityScan,NaN,0.0,0.0
33,RACWeapon.getCorrectHandler,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
34,ChatterBox2.draw,Value not atomically updated,Medium,CoverityScan,NaN,0.0,0.0
35,WeaponAttackAction.toHit,ICAST: Casting from integer values,Medium,CoverityScan,NaN,0.0,0.0
36,MovementDisplay.currentMove,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
37,EquipmentType.equals,Eq: Problems with implementation of equals(),Medium,CoverityScan,NaN,0.0,0.0
38,Server.resolveProtoAttack,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
39,FighterSquadron.getArmorRemainingPercent,Division or modulo by float zero,Medium,CoverityScan,NaN,0.0,0.0
40,BotConfiguration.BotConfiguration,Resource leak,High,CoverityScan,NaN,0.0,0.0
41,MechSummaryCache.block,Indefinite wait,High,CoverityScan,NaN,0.0,0.0
42,BoardView1.drawRuler,Unguarded write,Medium,CoverityScan,NaN,0.0,0.0
43,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
44,Server.applyCriticalHit,Missing break in switch,Medium,CoverityScan,NaN,0.0,0.0
45,PicMap.setContentMargins,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
46,MiniMap.paintRoads,ICAST: Casting from integer values,Medium,CoverityScan,NaN,0.0,0.0
47,FighterSquadron.hasTargComp,Division or modulo by float zero,Medium,CoverityScan,NaN,0.0,0.0
48,MechSelectorDialog.run,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
49,EquipmentType.writeEquipmentExtendedDatabase,FE: Test for floating point equality,Low,CoverityScan,NaN,0.0,0.0
50,Compute.getECCMFieldSize,Copy-paste error,Medium,CoverityScan,NaN,0.0,0.0
51,ChatLounge.refreshCamos,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
