,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,SensitiveInput.main,USELESS_STRING: Useless/non-informative string generated,Medium,CoverityScan,NaN,0.0,0.0
1,QSAdminShell.getInstance,LI: Unsynchronized Lazy Initialization,Medium,CoverityScan,NaN,0.0,0.0
2,MyString.getSystemInfo,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
3,ByteBufferOutputStream.isDataAvailableForWrite,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
4,BasicClientHandler.getBufferedWriter,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
5,QuickServer.stopServer,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
6,Authenticator.validate,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
7,SensitiveInput.loadPassword,NN: Naked notify,Medium,CoverityScan,NaN,0.0,0.0
8,QSAdminShell.QSAdminShell,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
9,ByteBufferOutputStream.isDataAvailableForWrite,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
10,NonBlockingClientHandler.returnThread,Volatile not atomically updated,High,CoverityScan,NaN,0.0,0.0
11,QSAdminShell.connect,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
12,SimpleCommandSet.getSimpleCommands,REC: RuntimeException capture,Low,CoverityScan,NaN,0.0,0.0
13,QSAdminMain.sendCommunicationSilent,Information exposure to log file,Low,CoverityScan,NaN,0.0,0.0
14,QSAdminMain.doLogin,Information exposure to log file,Low,CoverityScan,NaN,0.0,0.0
15,Authenticator.handleAuthentication,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
16,ByteBufferOutputStream.flush,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
17,QSAdminGUI$4.actionPerformed,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
18,ByteBufferInputStream.dumpContent,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
19,QuickServer.stopServer,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
20,ClientThread.run,Indefinite wait,High,CoverityScan,NaN,0.0,0.0
21,TextFile.read,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
22,QSAdminAPI.logon,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
23,NonBlockingClientHandler.closeConnection,Check of thread-shared field evades lock acquisition,High,CoverityScan,NaN,0.0,0.0
