,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,StmtRegistry.getMethodCoverage,Dereference before null check,Medium,CoverityScan,NaN,0.0,0.0
1,StmtRegistry.getMethodCoverage,Dereference before null check,Medium,CoverityScan,NaN,0.0,0.0
2,Registry.splitClassName,Unintended regular expression,Medium,CoverityScan,NaN,0.0,0.0
3,QuiltTest.setProperties,Value not atomically updated,Medium,CoverityScan,NaN,0.0,0.0
4,CallTest.execTest,Resource leak,High,CoverityScan,NaN,0.0,0.0
5,GraphAction.xform,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
6,Textui.handleArgs,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
7,QuiltTest.clone,Failure to call super.clone(),Medium,CoverityScan,NaN,0.0,0.0
8,StmtRegistry.getReport,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
9,ForkTest.execTest,Value not atomically updated,Medium,CoverityScan,NaN,0.0,0.0
10,Vertex.above,Dereference before null check,Medium,CoverityScan,NaN,0.0,0.0
11,BinaryConnector.checkTarget,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
12,StmtRegistry.getMethodCoverage,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
13,Vertex.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,151.0,151.0
14,QuiltTest.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,61.0,61.0
15,QuiltTest.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,134.0,134.0
16,QuiltTest.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,151.0,151.0
17,QuiltTest.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,196.0,196.0
18,Msg.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,67.0,67.0
19,Msg.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,68.0,68.0
20,BaseTestRunner.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,57.0,57.0
21,QuiltTask.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,231.0,231.0
22,BatchTest.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,24.0,24.0
23,BatchTest.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,60.0,60.0
24,TaskControl.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,45.0,45.0
25,TaskControl.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,51.0,51.0
26,TaskControl.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,97.0,97.0
27,TaskControl.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,147.0,147.0
28,TaskControl.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,160.0,160.0
29,TaskControl.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,167.0,167.0
30,TaskControl.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,220.0,220.0
31,Scheduler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,23.0,23.0
32,Scheduler.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,28.0,28.0
33,SummaryAttribute.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,38.0,38.0
34,SummaryAttribute.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,38.0,38.0
35,SummaryAttribute.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,39.0,39.0
36,SummaryAttribute.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,39.0,39.0
37,SummaryAttribute.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,41.0,41.0
38,SummaryAttribute.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,41.0,41.0
39,SummaryAttribute.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,42.0,42.0
40,ForkTest.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,121.0,121.0
41,ForkTest.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,142.0,142.0
42,TestRunner.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,28.0,28.0
43,MockTestRunner.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,20.0,20.0
44,Textui.java,squid:S1147,CRITICAL,SonarQube,CODE_SMELL,61.0,61.0
45,Textui.java,squid:S1147,CRITICAL,SonarQube,CODE_SMELL,128.0,128.0
46,Textui.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,81.0,81.0
47,Textui.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,139.0,139.0
48,Textui.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,198.0,198.0
49,SummaryFormatter.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,39.0,39.0
50,BriefFormatter.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,33.0,33.0
51,XMLFormatter.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,91.0,91.0
52,XMLFormatter.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,93.0,93.0
53,FmtSelector.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,72.0,72.0
54,FmtSelector.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,74.0,74.0
55,PlainFormatter.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,25.0,25.0
56,PlainFormatter.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,26.0,26.0
57,PlainFormatter.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,37.0,37.0
58,ClassFactory.java,squid:S00105,MINOR,SonarQube,CODE_SMELL,,
59,CodeVertex.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,229.0,229.0
60,CodeVertex.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,249.0,249.0
61,GraphTalker.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,34.0,34.0
62,QuiltClassLoader.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,160.0,160.0
63,QuiltClassLoader.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,172.0,172.0
64,QuiltClassLoader.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,69.0,69.0
65,QuiltClassLoader.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,74.0,74.0
66,QuiltClassLoader.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,82.0,82.0
67,QuiltClassLoader.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,88.0,88.0
68,QuiltClassLoader.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,104.0,104.0
69,QuiltClassLoader.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,106.0,106.0
70,QuiltClassLoader.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,108.0,108.0
71,QuiltClassLoader.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,110.0,110.0
72,QuiltClassLoader.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,296.0,296.0
73,QuiltClassLoader.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,377.0,377.0
74,QuiltClassLoader.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,397.0,397.0
75,QuiltClassLoader.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,552.0,552.0
76,QuiltClassLoader.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,593.0,593.0
77,ClassTransformer.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,23.0,23.0
78,ClassTransformer.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,53.0,53.0
79,BytecodeCollector.java,squid:UnusedPrivateMethod,MAJOR,SonarQube,CODE_SMELL,261.0,261.0
80,BytecodeCollector.java,squid:S00105,MINOR,SonarQube,CODE_SMELL,,
81,MethodTransformer.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,25.0,25.0
82,MethodTransformer.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,50.0,50.0
83,MethodAction.java,squid:UnusedPrivateMethod,MAJOR,SonarQube,CODE_SMELL,38.0,38.0
84,CounterVertex.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,48.0,48.0
85,CounterVertex.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,62.0,62.0
86,ClassAction.java,squid:UnusedPrivateMethod,MAJOR,SonarQube,CODE_SMELL,152.0,152.0
87,ClassAction.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,143.0,143.0
88,StmtRegistry.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,49.0,49.0
89,StmtRegistry.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,51.0,51.0
90,StmtRegistry.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,80.0,80.0
