,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,StartDerbyTask.execute,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
1,SQLScriptRunner.SQLScriptRunner,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
2,SQLScriptRunner.runScript,Resource leak,High,CoverityScan,NaN,0.0,0.0
3,StartDerbyTask.execute,DE: Dropped or ignored exception,Low,CoverityScan,NaN,0.0,0.0
4,DerbyLifeCycle.start,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
5,StartDerbyTask.main,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
6,DerbyLifeCycle.start,DE: Dropped or ignored exception,Low,CoverityScan,NaN,0.0,0.0
7,DateUtil.parseWeblogURLDateString,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
8,StartDerbyTask.execute,Resource leak,High,CoverityScan,NaN,0.0,0.0
9,SQLScriptRunner.SQLScriptRunner,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
10,StopDerbyTask.execute,Resource leak,High,CoverityScan,NaN,0.0,0.0
11,DerbyLifeCycle.DerbyLifeCycle,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
12,DerbyLifeCycle.stop,DE: Dropped or ignored exception,Low,CoverityScan,NaN,0.0,0.0
13,GeneratePlanetTask.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,93.0,93.0
14,GeneratePlanetTask.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,102.0,102.0
15,PlanetTask.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,35.0,35.0
16,StaticPlanetModel.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,52.0,52.0
17,StaticPlanetModel.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,57.0,57.0
18,DatabaseProvider.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,117.0,117.0
19,DatabaseProvider.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,118.0,118.0
20,GuicePlanetProvider.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,56.0,56.0
21,GuicePlanetProvider.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,78.0,78.0
22,MultiPlanetURLStrategy.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,45.0,45.0
23,MultiPlanetURLStrategy.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,65.0,65.0
24,MultiPlanetURLStrategy.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,88.0,88.0
25,MultiPlanetURLStrategy.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,106.0,106.0
26,MultiPlanetURLStrategy.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,124.0,124.0
27,RomeFeedFetcher.java,squid:S1132,MAJOR,SonarQube,CODE_SMELL,213.0,213.0
28,RomeFeedFetcher.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,267.0,267.0
29,SingleThreadedFeedUpdater.java,squid:UnusedPrivateMethod,MAJOR,SonarQube,CODE_SMELL,177.0,177.0
30,SingleThreadedFeedUpdater.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,100.0,100.0
31,JPAPropertiesManagerImpl.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,138.0,138.0
32,JPAPlanetManagerImpl.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,120.0,120.0
33,JPAPlanetManagerImpl.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,145.0,145.0
34,JPAPlanetManagerImpl.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,146.0,146.0
35,JPAPlanetManagerImpl.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,151.0,151.0
36,JPAPlanetManagerImpl.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,152.0,152.0
37,JPAPlanetManagerImpl.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,254.0,254.0
38,JPAPlanetManagerImpl.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,255.0,255.0
39,JPAPlanetManagerImpl.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,264.0,264.0
40,JPAPlanetManagerImpl.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,274.0,274.0
41,Utilities.java,squid:UnusedPrivateMethod,MAJOR,SonarQube,CODE_SMELL,627.0,627.0
42,Utilities.java,squid:S1118,MAJOR,SonarQube,CODE_SMELL,32.0,32.0
43,Utilities.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,106.0,106.0
44,Utilities.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,119.0,119.0
45,Utilities.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,147.0,147.0
46,Utilities.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,691.0,691.0
47,Utilities.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,720.0,720.0
48,Utilities.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,107.0,107.0
49,Utilities.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,174.0,174.0
50,Utilities.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,191.0,191.0
51,Utilities.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,410.0,410.0
52,Utilities.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,629.0,629.0
53,Utilities.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,630.0,630.0
54,Utilities.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,692.0,692.0
55,Utilities.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,788.0,788.0
56,Utilities.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,814.0,814.0
57,URLUtilities.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,53.0,53.0
58,URLUtilities.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,74.0,74.0
59,URLUtilities.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,94.0,94.0
60,URLUtilities.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,112.0,112.0
61,URLUtilities.java,squid:S1149,MAJOR,SonarQube,CODE_SMELL,162.0,162.0
62,MailUtil.java,squid:S00105,MINOR,SonarQube,CODE_SMELL,,
63,MailUtil.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,70.0,70.0
64,MailUtil.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,140.0,140.0
65,MailUtil.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,80.0,80.0
66,MailUtil.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,92.0,92.0
67,MailUtil.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,104.0,104.0
68,MailUtil.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,190.0,190.0
69,MailUtil.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,224.0,224.0
70,MailUtil.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,225.0,225.0
71,MailUtil.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,223.0,223.0
72,MailUtil.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,280.0,280.0
73,MailUtil.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,281.0,281.0
74,MailUtil.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,282.0,282.0
75,MailUtil.java,squid:S00122,MINOR,SonarQube,CODE_SMELL,311.0,311.0
76,Technorati.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,59.0,59.0
77,Technorati.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,66.0,66.0
78,Technorati.java,squid:S00112,MAJOR,SonarQube,CODE_SMELL,70.0,70.0
