,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
1,JakartaMultiPartRequest.getFilesystemName,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
2,ActionComponent.executeAction,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
3,DelegatingSettings.getImpl,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
4,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
5,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
6,BeanAdapter.getPropertyDescriptors,Data race condition,Medium,CoverityScan,NaN,0.0,0.0
7,StrutsRequestWrapper.getAttribute,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
8,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
9,SessionMap.entrySet,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
10,,Eq: Problems with implementation of equals(),Low,CoverityScan,NaN,0.0,0.0
11,ServletDispatcherResult.doExecute,Dereference before null check,Medium,CoverityScan,NaN,0.0,0.0
12,AbstractAdapterElement.getAttributeNS,NP: Null pointer dereference,Medium,CoverityScan,NaN,0.0,0.0
13,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
14,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
15,StrutsServlet.service,Thread unsafe modification in singleton,Medium,CoverityScan,NaN,0.0,0.0
16,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
17,FileUploadInterceptor.intercept,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
18,DefaultActionMapper.parseNameAndNamespace,Dereference before null check,Medium,CoverityScan,NaN,0.0,0.0
19,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
20,FastByteArrayOutputStream.toString,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
