,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,TShortDoubleHashMapDecorator$1.add,UMAC: Uncallable method of anonymous class,Medium,CoverityScan,NaN,0.0,0.0
1,TFloatHashSetDecorator.equals,Eq: Problems with implementation of equals(),Low,CoverityScan,NaN,0.0,0.0
2,TDoubleFloatHashMapDecorator$1.add,UMAC: Uncallable method of anonymous class,Medium,CoverityScan,NaN,0.0,0.0
3,TIntIntHashMapDecorator$1.add,UMAC: Uncallable method of anonymous class,Medium,CoverityScan,NaN,0.0,0.0
4,TDoubleShortHashMapDecorator$1.add,UMAC: Uncallable method of anonymous class,Medium,CoverityScan,NaN,0.0,0.0
5,TByteLongHashMapDecorator$1.add,UMAC: Uncallable method of anonymous class,Medium,CoverityScan,NaN,0.0,0.0
6,Main$4.ours,Useless call,Medium,CoverityScan,NaN,0.0,0.0
7,TLongDoubleHashMapDecorator$1.add,UMAC: Uncallable method of anonymous class,Medium,CoverityScan,NaN,0.0,0.0
8,THashMap$Entry.setValue,SA: Useless self-operation,Medium,CoverityScan,NaN,0.0,0.0
9,TShortLongHashMapDecorator$1.add,UMAC: Uncallable method of anonymous class,Medium,CoverityScan,NaN,0.0,0.0
10,TByteShortHashMapDecorator$1.add,UMAC: Uncallable method of anonymous class,Medium,CoverityScan,NaN,0.0,0.0
11,TFloatDoubleHashMapDecorator$1.add,UMAC: Uncallable method of anonymous class,Medium,CoverityScan,NaN,0.0,0.0
12,TShortHashSetDecorator.clone,CN: Bad implementation of cloneable idiom,Low,CoverityScan,NaN,0.0,0.0
13,TFloatIntHashMapDecorator$1.add,UMAC: Uncallable method of anonymous class,Medium,CoverityScan,NaN,0.0,0.0
14,Generate.writeFile,RV: Bad use of return value,Low,CoverityScan,NaN,0.0,0.0
15,TByteByteHashMapDecorator$1.add,UMAC: Uncallable method of anonymous class,Medium,CoverityScan,NaN,0.0,0.0
16,XMLReporter.XMLReporter,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
17,Main$5.theirs,Useless call,Medium,CoverityScan,NaN,0.0,0.0
18,TIntByteHashMapDecorator$1.add,UMAC: Uncallable method of anonymous class,Medium,CoverityScan,NaN,0.0,0.0
19,TFloatFloatHashMapDecorator$1.add,UMAC: Uncallable method of anonymous class,Medium,CoverityScan,NaN,0.0,0.0
20,Generate.writeFile,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
21,TShortHashSetDecorator.equals,Eq: Problems with implementation of equals(),Low,CoverityScan,NaN,0.0,0.0
22,Generate.writeFile,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
23,TIntDoubleHashMapDecorator$1.add,UMAC: Uncallable method of anonymous class,Medium,CoverityScan,NaN,0.0,0.0
24,TObjectShortHashMapDecorator$1.add,UMAC: Uncallable method of anonymous class,Medium,CoverityScan,NaN,0.0,0.0
25,TByteHashSetDecorator.clone,CN: Bad implementation of cloneable idiom,Low,CoverityScan,NaN,0.0,0.0
26,TLongLongHashMapDecorator$1.add,UMAC: Uncallable method of anonymous class,Medium,CoverityScan,NaN,0.0,0.0
27,TShortShortHashMapDecorator$1.add,UMAC: Uncallable method of anonymous class,Medium,CoverityScan,NaN,0.0,0.0
28,TObjectLongHashMapDecorator$1.add,UMAC: Uncallable method of anonymous class,Medium,CoverityScan,NaN,0.0,0.0
29,TIntShortHashMapDecorator$1.add,UMAC: Uncallable method of anonymous class,Medium,CoverityScan,NaN,0.0,0.0
30,TObjectLongHashMap.equals,HE: Equal objects must have equal hashcodes,Low,CoverityScan,NaN,0.0,0.0
31,TShortByteHashMapDecorator$1.add,UMAC: Uncallable method of anonymous class,Medium,CoverityScan,NaN,0.0,0.0
32,TObjectDoubleHashMapDecorator$1.add,UMAC: Uncallable method of anonymous class,Medium,CoverityScan,NaN,0.0,0.0
33,TShortFloatHashMapDecorator$1.add,UMAC: Uncallable method of anonymous class,Medium,CoverityScan,NaN,0.0,0.0
34,Generate.readFile,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
35,MemoryUsage$MemoryComparator.compare,ICAST: Casting from integer values,Medium,CoverityScan,NaN,0.0,0.0
36,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
37,Main$4.theirs,Useless call,Medium,CoverityScan,NaN,0.0,0.0
38,Generate.writeFile,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
