,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,,Se: Incorrect definition of Serializable class,Low,CoverityScan,NaN,0.0,0.0
1,C45PruneableClassifierTreeG.findGraft,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
2,ClassPanel.main,Resource leak,High,CoverityScan,NaN,0.0,0.0
3,LibSVM.listOptions,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
4,Version.isOlder,RV: Bad use of return value,Medium,CoverityScan,NaN,0.0,0.0
5,SingleClassifierEnhancer.getCapabilities,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
6,Version.Version,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
7,IBk.crossValidate,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
8,GUIChooser$5.actionPerformed,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
9,DiscreteEstimatorBayes.toString,SBSC: String concatenation in loop using + operator,Low,CoverityScan,NaN,0.0,0.0
10,KernelEvaluation.equals,HE: Equal objects must have equal hashcodes,Low,CoverityScan,NaN,0.0,0.0
11,,UrF: Unread field,Low,CoverityScan,NaN,0.0,0.0
12,NDConditionalEstimator.toString,SBSC: String concatenation in loop using + operator,Low,CoverityScan,NaN,0.0,0.0
13,AddValues.getLabels,SBSC: String concatenation in loop using + operator,Low,CoverityScan,NaN,0.0,0.0
14,CheckEstimator.getOptions,BC: Bad casts of object references,Low,CoverityScan,NaN,0.0,0.0
15,CheckKernel.correctBuildInitialisation,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
16,SerializedModelSaver.saveBinary,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
17,BinC45Split.handleNumericAttribute,FE: Test for floating point equality,Low,CoverityScan,NaN,0.0,0.0
18,Memory.showOutOfMemory,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
19,Filter.filterFile,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
20,Filter.stop,Call to an inherently dangerous function,Low,CoverityScan,NaN,0.0,0.0
21,FindWithCapabilities.setFilename,Resource leak,High,CoverityScan,NaN,0.0,0.0
22,AssociatorEvaluation.evaluate,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
23,Plot2D.paintAxis,Division or modulo by zero,Medium,CoverityScan,NaN,0.0,0.0
24,sIB.sIB_InitT,Arguments in wrong order,Medium,CoverityScan,NaN,0.0,0.0
25,,SIC: Inner class could be made static,Low,CoverityScan,NaN,0.0,0.0
26,Rule.clone,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
27,PreprocessPanel$18.actionPerformed,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
28,Estimator.setGeneralOptions,Dm: Dubious method used,Low,CoverityScan,NaN,0.0,0.0
29,CVParameterSelection.buildClassifier,BC: Bad casts of object references,Low,CoverityScan,NaN,0.0,0.0
30,Explorer.notifyCapabilitiesFilterListener,EC: Comparing incompatible types for equality,Medium,CoverityScan,NaN,0.0,0.0
31,Stemming.useStemmer,Resource leak,High,CoverityScan,NaN,0.0,0.0
32,CheckGOE.checkToolTips,REC: RuntimeException capture,Low,CoverityScan,NaN,0.0,0.0
33,CostSensitiveASEvaluation.getCapabilities,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
34,AttributeLocator.equals,HE: Equal objects must have equal hashcodes,Low,CoverityScan,NaN,0.0,0.0
35,ArffTableModel.addUndoPoint,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
