,Function,Issue,Severity/Impact,Tool,Type,endLine,startLine
0,FunctionCall.findConstructors,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
1,QName.QName,Dereference before null check,Medium,CoverityScan,NaN,0.0,0.0
2,WriterToUTF8Buffered.write,Wrong operator used,Medium,CoverityScan,NaN,0.0,0.0
3,ListingErrorHandler.getSourceLine,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
4,DefaultConnectionPool.testConnection,Value not atomically updated,Medium,CoverityScan,NaN,0.0,0.0
5,DOMHelper.isNodeAfter,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
6,SourceTreeManager.removeDocumentFromCache,Value not atomically updated,Medium,CoverityScan,NaN,0.0,0.0
7,TransformerImpl.transformIdentity,Value not atomically updated,Medium,CoverityScan,NaN,0.0,0.0
8,WalkerFactory.createDefaultStepPattern,Dead default in switch,Low,CoverityScan,NaN,0.0,0.0
9,SQLDocument.getNewDocument,Value not atomically updated,Medium,CoverityScan,NaN,0.0,0.0
10,Redirect.write,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
11,SQLQueryParser.inlineParser,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
12,DTMManagerDefault.release,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
13,SerializerSwitcher.switchSerializerIfHTML,Logically dead code,Medium,CoverityScan,NaN,0.0,0.0
14,FunctionCall.findMethods,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
15,ObjectFactory.lookUpFactoryClass,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
16,QName.QName,Value not atomically updated,Medium,CoverityScan,NaN,0.0,0.0
17,TransformSnapshotImpl.TransformSnapshotImpl,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
18,ProcessorLRE.startElement,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
19,DocumentCache.getStatistics,Unguarded read,Medium,CoverityScan,NaN,0.0,0.0
20,SAX2DTM2.startElement,Dereference after null check,Medium,CoverityScan,NaN,0.0,0.0
21,ObjectVector.clone,Failure to call super.clone(),Medium,CoverityScan,NaN,0.0,0.0
22,ElemAttribute.resolvePrefix,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
23,ObjectFactory.lookUpFactoryClass,Explicit null dereferenced,Medium,CoverityScan,NaN,0.0,0.0
24,TemplatesImpl.newTransformer,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
25,Encodings.loadEncodingInfo,Resource leak on an exceptional path,Low,CoverityScan,NaN,0.0,0.0
26,CallTemplate.getCalleeTemplate,Dereference null return value,Medium,CoverityScan,NaN,0.0,0.0
27,ProcessorLRE.startElement,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
28,ToUnknownStream.reset,Missing call to superclass,Medium,CoverityScan,NaN,0.0,0.0
