"creationDate","updateDate","closeDate","type","rule","component","severity","project","startLine","endLine","resolution","status","message","effort","debt","author"
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S1149","QC:axion:src/org/axiondb/BinaryBranchWhereNode.java","MAJOR","QC:axion","113","113","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S1149","QC:axion:src/org/axiondb/ColumnIdentifier.java","MAJOR","QC:axion","238","238","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S1149","QC:axion:src/org/axiondb/ConstraintViolationException.java","MAJOR","QC:axion","59","59","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S1149","QC:axion:src/org/axiondb/LeafWhereNode.java","MAJOR","QC:axion","133","133","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S1149","QC:axion:src/org/axiondb/NotWhereNode.java","MAJOR","QC:axion","85","85","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S00112","QC:axion:src/org/axiondb/RowComparator.java","MAJOR","QC:axion","106","106","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S1149","QC:axion:src/org/axiondb/TableIdentifier.java","MAJOR","QC:axion","105","105","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S1149","QC:axion:src/org/axiondb/constraints/CheckConstraint.java","MAJOR","QC:axion","96","96","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S1132","QC:axion:src/org/axiondb/engine/BaseDatabase.java","MAJOR","QC:axion","361","361","null","OPEN","Move the ""readonly"" string literal on the left side of this string comparison.","10","10min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S00122","QC:axion:src/org/axiondb/engine/BaseDatabase.java","MINOR","QC:axion","395","395","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S00122","QC:axion:src/org/axiondb/engine/BaseDiskTable.java","MINOR","QC:axion","180","180","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S00122","QC:axion:src/org/axiondb/engine/BaseDiskTable.java","MINOR","QC:axion","262","262","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S00122","QC:axion:src/org/axiondb/engine/BaseDiskTable.java","MINOR","QC:axion","306","306","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S00122","QC:axion:src/org/axiondb/engine/BaseDiskTable.java","MINOR","QC:axion","325","325","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S00122","QC:axion:src/org/axiondb/engine/BaseDiskTable.java","MINOR","QC:axion","343","343","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S00122","QC:axion:src/org/axiondb/engine/BaseTable.java","MINOR","QC:axion","218","218","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S00105","QC:axion:src/org/axiondb/engine/rowiterators/SimpleJoinedRowIterator.java","MINOR","QC:axion","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S00122","QC:axion:src/org/axiondb/engine/Databases.java","MINOR","QC:axion","110","110","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S00122","QC:axion:src/org/axiondb/engine/rowiterators/AbstractFilteringRowIterator.java","MINOR","QC:axion","166","166","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S00122","QC:axion:src/org/axiondb/engine/DiskDatabase.java","MINOR","QC:axion","113","113","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S00122","QC:axion:src/org/axiondb/engine/DiskDatabase.java","MINOR","QC:axion","224","224","null","OPEN","At most one statement is allowed per line, but 3 statements were found on this line.","1","1min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S00122","QC:axion:src/org/axiondb/engine/DiskDatabase.java","MINOR","QC:axion","256","256","null","OPEN","At most one statement is allowed per line, but 3 statements were found on this line.","1","1min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S1149","QC:axion:src/org/axiondb/event/ConstraintEvent.java","MAJOR","QC:axion","72","72","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S1149","QC:axion:src/org/axiondb/event/ColumnEvent.java","MAJOR","QC:axion","69","69","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S00122","QC:axion:src/org/axiondb/engine/DiskSystemTable.java","MINOR","QC:axion","128","128","null","OPEN","At most one statement is allowed per line, but 3 statements were found on this line.","1","1min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S00122","QC:axion:src/org/axiondb/engine/DiskSystemTable.java","MINOR","QC:axion","127","127","null","OPEN","At most one statement is allowed per line, but 3 statements were found on this line.","1","1min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S00122","QC:axion:src/org/axiondb/functions/Base64EncodeFunction.java","MINOR","QC:axion","110","110","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S1149","QC:axion:src/org/axiondb/functions/ConcatFunction.java","MAJOR","QC:axion","76","76","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S00122","QC:axion:src/org/axiondb/engine/IntArrayIndex.java","MINOR","QC:axion","86","86","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-06-29T08:19:04Z","2017-06-29T08:19:04Z","","CODE_SMELL","squid:S00122","QC:axion:src/org/axiondb/engine/IntArrayIndexLoader.java","MINOR","QC:axion","151","151","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
