"creationDate","updateDate","closeDate","type","rule","component","severity","project","startLine","endLine","resolution","status","message","effort","debt","author"
"2017-07-03T12:27:04Z","2017-07-03T12:27:04Z","","CODE_SMELL","squid:UnusedPrivateMethod","QC:colt:src/cern/jet/random/Normal.java","MAJOR","QC:colt","140","140","null","OPEN","Remove this unused private ""xstaticSetRandomGenerator"" method.","5","5min",""
"2017-07-03T12:27:04Z","2017-07-03T12:27:04Z","","BUG","squid:S1244","QC:colt:src/cern/jet/random/Normal.java","CRITICAL","QC:colt","78","78","null","OPEN","Equality tests should not be made with floating point values.","5","5min",""
"2017-07-03T12:27:04Z","2017-07-03T12:27:04Z","","BUG","squid:S1244","QC:colt:src/cern/jet/random/Normal.java","CRITICAL","QC:colt","78","78","null","OPEN","Equality tests should not be made with floating point values.","5","5min",""
"2017-07-03T12:27:04Z","2017-07-03T12:27:04Z","","BUG","squid:S1244","QC:colt:src/cern/jet/random/Normal.java","CRITICAL","QC:colt","113","113","null","OPEN","Equality tests should not be made with floating point values.","5","5min",""
"2017-07-03T12:27:04Z","2017-07-03T12:27:04Z","","BUG","squid:S1244","QC:colt:src/cern/jet/random/Normal.java","CRITICAL","QC:colt","113","113","null","OPEN","Equality tests should not be made with floating point values.","5","5min",""
"2017-07-03T12:27:04Z","2017-07-03T12:27:04Z","","CODE_SMELL","squid:S00105","QC:colt:src/cern/jet/random/Normal.java","MINOR","QC:colt","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T12:27:04Z","2017-07-03T12:27:04Z","","CODE_SMELL","squid:UnusedPrivateMethod","QC:colt:src/cern/jet/random/Binomial.java","MAJOR","QC:colt","68","68","null","OPEN","Remove this unused private ""cdfSlow"" method.","5","5min",""
"2017-07-03T12:27:04Z","2017-07-03T12:27:04Z","","CODE_SMELL","squid:UnusedPrivateMethod","QC:colt:src/cern/jet/random/Binomial.java","MAJOR","QC:colt","311","311","null","OPEN","Remove this unused private ""xstaticSetRandomGenerator"" method.","5","5min",""
"2017-07-03T12:27:04Z","2017-07-03T12:27:04Z","","BUG","squid:S1244","QC:colt:src/cern/jet/random/Binomial.java","CRITICAL","QC:colt","128","128","null","OPEN","Equality tests should not be made with floating point values.","5","5min",""
"2017-07-03T12:27:04Z","2017-07-03T12:27:04Z","","BUG","squid:S1244","QC:colt:src/cern/jet/random/Binomial.java","CRITICAL","QC:colt","231","231","null","OPEN","Equality tests should not be made with floating point values.","5","5min",""
"2017-07-03T12:27:04Z","2017-07-03T12:27:04Z","","CODE_SMELL","squid:S00105","QC:colt:src/cern/jet/random/Binomial.java","MINOR","QC:colt","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T12:27:04Z","2017-07-03T12:27:04Z","","CODE_SMELL","squid:S00122","QC:colt:src/cern/jet/random/Binomial.java","MINOR","QC:colt","69","69","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T12:27:04Z","2017-07-03T12:27:04Z","","CODE_SMELL","squid:S00122","QC:colt:src/cern/jet/random/Binomial.java","MINOR","QC:colt","72","72","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T12:27:04Z","2017-07-03T12:27:04Z","","CODE_SMELL","squid:S00122","QC:colt:src/cern/jet/random/Binomial.java","MINOR","QC:colt","137","137","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T12:27:04Z","2017-07-03T12:27:04Z","","CODE_SMELL","squid:S00122","QC:colt:src/cern/jet/random/Binomial.java","MINOR","QC:colt","153","153","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T12:27:04Z","2017-07-03T12:27:04Z","","CODE_SMELL","squid:S00122","QC:colt:src/cern/jet/random/Binomial.java","MINOR","QC:colt","154","154","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T12:27:04Z","2017-07-03T12:27:04Z","","CODE_SMELL","squid:S00122","QC:colt:src/cern/jet/random/Binomial.java","MINOR","QC:colt","193","193","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T12:27:04Z","2017-07-03T12:27:04Z","","CODE_SMELL","squid:S00122","QC:colt:src/cern/jet/random/Binomial.java","MINOR","QC:colt","197","197","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
