"creationDate","updateDate","closeDate","type","rule","component","severity","project","startLine","endLine","resolution","status","message","effort","debt","author"
"2017-07-04T03:37:31Z","2017-07-04T03:37:31Z","","CODE_SMELL","squid:S00105","QC:findbugs:src/java/edu/umd/cs/findbugs/props/PriorityAdjustment.java","MINOR","QC:findbugs","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-04T03:37:31Z","2017-07-04T03:37:31Z","","CODE_SMELL","squid:S00105","QC:findbugs:src/java/edu/umd/cs/findbugs/props/WarningProperty.java","MINOR","QC:findbugs","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-04T03:37:31Z","2017-07-04T03:37:31Z","","CODE_SMELL","squid:S00105","QC:findbugs:src/java/edu/umd/cs/findbugs/props/AbstractWarningProperty.java","MINOR","QC:findbugs","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-04T03:37:31Z","2017-07-04T03:37:31Z","","CODE_SMELL","squid:S1118","QC:findbugs:src/java/edu/umd/cs/findbugs/props/WarningPropertyUtil.java","MAJOR","QC:findbugs","46","46","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-04T03:37:31Z","2017-07-04T03:37:31Z","","CODE_SMELL","squid:S00105","QC:findbugs:src/java/edu/umd/cs/findbugs/props/WarningPropertyUtil.java","MINOR","QC:findbugs","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-04T03:37:31Z","2017-07-04T03:37:31Z","","CODE_SMELL","squid:S00122","QC:findbugs:src/java/edu/umd/cs/findbugs/props/WarningPropertyUtil.java","MINOR","QC:findbugs","146","146","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-04T03:37:31Z","2017-07-04T03:37:31Z","","CODE_SMELL","squid:S00122","QC:findbugs:src/java/edu/umd/cs/findbugs/props/WarningPropertyUtil.java","MINOR","QC:findbugs","148","148","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-04T03:37:31Z","2017-07-04T03:37:31Z","","CODE_SMELL","squid:S00122","QC:findbugs:src/java/edu/umd/cs/findbugs/props/WarningPropertyUtil.java","MINOR","QC:findbugs","150","150","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-04T03:37:31Z","2017-07-04T03:37:31Z","","CODE_SMELL","squid:S00122","QC:findbugs:src/java/edu/umd/cs/findbugs/props/WarningPropertyUtil.java","MINOR","QC:findbugs","152","152","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-04T03:37:31Z","2017-07-04T03:37:31Z","","CODE_SMELL","squid:S00105","QC:findbugs:src/java/edu/umd/cs/findbugs/props/GeneralWarningProperty.java","MINOR","QC:findbugs","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-04T03:37:31Z","2017-07-04T03:37:31Z","","CODE_SMELL","squid:S00105","QC:findbugs:src/java/edu/umd/cs/findbugs/props/WarningPropertySet.java","MINOR","QC:findbugs","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
