"creationDate","updateDate","closeDate","type","rule","component","severity","project","startLine","endLine","resolution","status","message","effort","debt","author"
"2017-07-03T09:56:59Z","2017-07-03T09:56:59Z","","BUG","squid:S1244","QC:freecol:src/net/sf/freecol/client/gui/i18n/DualNumberRule.java","CRITICAL","QC:freecol","35","35","null","OPEN","Equality tests should not be made with floating point values.","5","5min",""
"2017-07-03T09:56:59Z","2017-07-03T09:56:59Z","","BUG","squid:S1244","QC:freecol:src/net/sf/freecol/client/gui/panel/PreCombatDialog.java","CRITICAL","QC:freecol","132","132","null","OPEN","Equality tests should not be made with floating point values.","5","5min",""
"2017-07-03T09:56:59Z","2017-07-03T09:56:59Z","","CODE_SMELL","squid:S00105","QC:freecol:src/net/sf/freecol/client/gui/panel/ChoiceItem.java","MINOR","QC:freecol","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T09:56:59Z","2017-07-03T09:56:59Z","","CODE_SMELL","squid:S1149","QC:freecol:src/net/sf/freecol/client/gui/panel/ReportTradePanel.java","MAJOR","QC:freecol","176","176","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T09:56:59Z","2017-07-03T09:56:59Z","","CODE_SMELL","squid:S00105","QC:freecol:src/net/sf/freecol/client/gui/panel/SelectAmountDialog.java","MINOR","QC:freecol","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T09:56:59Z","2017-07-03T09:56:59Z","","CODE_SMELL","squid:S1132","QC:freecol:src/net/sf/freecol/FreeCol.java","MAJOR","QC:freecol","422","422","null","OPEN","Move the """" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:56:59Z","2017-07-03T09:56:59Z","","CODE_SMELL","squid:S00122","QC:freecol:src/net/sf/freecol/client/gui/panel/SelectAmountDialog.java","MINOR","QC:freecol","77","77","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:56:59Z","2017-07-03T09:56:59Z","","CODE_SMELL","squid:S1149","QC:freecol:src/net/sf/freecol/client/gui/panel/SelectAmountDialog.java","MAJOR","QC:freecol","71","71","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T09:56:59Z","2017-07-03T09:56:59Z","","CODE_SMELL","squid:S00105","QC:freecol:src/net/sf/freecol/client/gui/panel/MapEditorTransformPanel.java","MINOR","QC:freecol","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T09:56:59Z","2017-07-03T09:56:59Z","","CODE_SMELL","squid:S00122","QC:freecol:src/net/sf/freecol/FreeCol.java","MINOR","QC:freecol","175","175","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:56:59Z","2017-07-03T09:56:59Z","","CODE_SMELL","squid:S00122","QC:freecol:src/net/sf/freecol/FreeCol.java","MINOR","QC:freecol","360","360","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:56:59Z","2017-07-03T09:56:59Z","","CODE_SMELL","squid:S00122","QC:freecol:src/net/sf/freecol/FreeCol.java","MINOR","QC:freecol","367","367","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:56:59Z","2017-07-03T09:56:59Z","","CODE_SMELL","squid:S00122","QC:freecol:src/net/sf/freecol/FreeCol.java","MINOR","QC:freecol","373","373","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:56:59Z","2017-07-03T09:56:59Z","","CODE_SMELL","squid:S1147","QC:freecol:src/net/sf/freecol/FreeCol.java","CRITICAL","QC:freecol","386","386","null","OPEN","Remove this call to ""exit"" or ensure it is really required.","30","30min",""
"2017-07-03T09:56:59Z","2017-07-03T09:56:59Z","","CODE_SMELL","squid:S1147","QC:freecol:src/net/sf/freecol/FreeCol.java","CRITICAL","QC:freecol","672","672","null","OPEN","Remove this call to ""exit"" or ensure it is really required.","30","30min",""
"2017-07-03T09:56:59Z","2017-07-03T09:56:59Z","","CODE_SMELL","squid:S1147","QC:freecol:src/net/sf/freecol/FreeCol.java","CRITICAL","QC:freecol","703","703","null","OPEN","Remove this call to ""exit"" or ensure it is really required.","30","30min",""
"2017-07-03T09:56:59Z","2017-07-03T09:56:59Z","","CODE_SMELL","squid:S1147","QC:freecol:src/net/sf/freecol/FreeCol.java","CRITICAL","QC:freecol","722","722","null","OPEN","Remove this call to ""exit"" or ensure it is really required.","30","30min",""
"2017-07-03T09:56:59Z","2017-07-03T09:56:59Z","","CODE_SMELL","squid:S1147","QC:freecol:src/net/sf/freecol/FreeCol.java","CRITICAL","QC:freecol","937","937","null","OPEN","Remove this call to ""exit"" or ensure it is really required.","30","30min",""
"2017-07-03T09:56:59Z","2017-07-03T09:56:59Z","","CODE_SMELL","squid:S1118","QC:freecol:src/net/sf/freecol/common/model/mission/MissionManager.java","MAJOR","QC:freecol","36","36","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-03T09:56:59Z","2017-07-03T09:56:59Z","","CODE_SMELL","squid:S00122","QC:freecol:src/net/sf/freecol/common/model/mission/CompoundMission.java","MINOR","QC:freecol","137","137","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:56:59Z","2017-07-03T09:56:59Z","","CODE_SMELL","squid:S00122","QC:freecol:src/net/sf/freecol/client/gui/panel/ColonyPanel.java","MINOR","QC:freecol","463","463","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:56:59Z","2017-07-03T09:56:59Z","","CODE_SMELL","squid:S00122","QC:freecol:src/net/sf/freecol/common/model/pathfinding/CostDeciders.java","MINOR","QC:freecol","42","42","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
