"creationDate","updateDate","closeDate","type","rule","component","severity","project","startLine","endLine","resolution","status","message","effort","debt","author"
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/goback/BroadcastThread.java","MAJOR","QC:galleon","94","94","null","OPEN","Move the ""Linux"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S00105","QC:galleon:src/org/lnicholls/galleon/goback/BroadcastThread.java","MINOR","QC:galleon","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S00105","QC:galleon:src/org/lnicholls/galleon/goback/Beacon.java","MINOR","QC:galleon","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1149","QC:galleon:src/org/lnicholls/galleon/goback/Beacon.java","MAJOR","QC:galleon","159","159","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S00105","QC:galleon:src/org/lnicholls/galleon/goback/ListenThread.java","MINOR","QC:galleon","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S00112","QC:galleon:src/org/lnicholls/galleon/goback/ConnectionHandler.java","MAJOR","QC:galleon","45","45","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S00105","QC:galleon:src/org/lnicholls/galleon/goback/ItemURL.java","MINOR","QC:galleon","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1149","QC:galleon:src/org/lnicholls/galleon/goback/ItemURL.java","MAJOR","QC:galleon","160","160","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/goback/VideoServer.java","MAJOR","QC:galleon","688","688","null","OPEN","Move the ""/"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/goback/VideoServer.java","MAJOR","QC:galleon","1004","1004","null","OPEN","Move the ""GalleonRecordings"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/goback/VideoServer.java","MAJOR","QC:galleon","1726","1726","null","OPEN","Move the ""0"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S00105","QC:galleon:src/org/lnicholls/galleon/goback/VideoServer.java","MINOR","QC:galleon","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1149","QC:galleon:src/org/lnicholls/galleon/goback/VideoServer.java","MAJOR","QC:galleon","690","690","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1149","QC:galleon:src/org/lnicholls/galleon/goback/VideoServer.java","MAJOR","QC:galleon","1239","1239","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1149","QC:galleon:src/org/lnicholls/galleon/goback/VideoServer.java","MAJOR","QC:galleon","1840","1840","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1149","QC:galleon:src/org/lnicholls/galleon/skins/SkinLoader.java","MAJOR","QC:galleon","323","323","null","OPEN","Replace the synchronized class ""Hashtable"" by an unsynchronized one such as ""HashMap"".","20","20min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/iTunes/iTunes.java","MAJOR","QC:galleon","539","539","null","OPEN","Move the ""play"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/iTunes/iTunes.java","MAJOR","QC:galleon","839","839","null","OPEN","Move the ""play"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/jabber/Jabber.java","MAJOR","QC:galleon","804","804","null","OPEN","Move the ""icon.png"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S00105","QC:galleon:src/org/lnicholls/galleon/apps/jabber/Jabber.java","MINOR","QC:galleon","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1149","QC:galleon:src/org/lnicholls/galleon/apps/jabber/Jabber.java","MAJOR","QC:galleon","416","416","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:UnusedPrivateMethod","QC:galleon:src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java","MAJOR","QC:galleon","2740","2740","null","OPEN","Remove this unused private ""removeLeading"" method.","5","5min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S00105","QC:galleon:src/org/lnicholls/galleon/apps/iTunes/iTunesConfiguration.java","MINOR","QC:galleon","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java","MAJOR","QC:galleon","361","361","null","OPEN","Move the ""push"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java","MAJOR","QC:galleon","395","395","null","OPEN","Move the ""play"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java","MAJOR","QC:galleon","739","739","null","OPEN","Move the ""push"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java","MAJOR","QC:galleon","1449","1449","null","OPEN","Move the ""play"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java","MAJOR","QC:galleon","1449","1449","null","OPEN","Move the ""push"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java","MAJOR","QC:galleon","2534","2534","null","OPEN","Move the ""artist"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java","MAJOR","QC:galleon","2542","2542","null","OPEN","Move the ""date"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java","MAJOR","QC:galleon","2550","2550","null","OPEN","Move the ""genre"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java","MAJOR","QC:galleon","2554","2554","null","OPEN","Move the ""bitRate"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java","MAJOR","QC:galleon","2562","2562","null","OPEN","Move the ""rating"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S00105","QC:galleon:src/org/lnicholls/galleon/apps/iTunes/PlaylistParser.java","MINOR","QC:galleon","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java","MAJOR","QC:galleon","2588","2588","null","OPEN","Move the ""artist"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java","MAJOR","QC:galleon","2596","2596","null","OPEN","Move the ""date"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java","MAJOR","QC:galleon","2604","2604","null","OPEN","Move the ""genre"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java","MAJOR","QC:galleon","2612","2612","null","OPEN","Move the ""duration"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java","MAJOR","QC:galleon","2620","2620","null","OPEN","Move the ""playCount"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java","MAJOR","QC:galleon","3852","3852","null","OPEN","Move the ""RecentlyPlayed"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java","MAJOR","QC:galleon","4004","4004","null","OPEN","Move the ""ABC-XYZ"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java","MAJOR","QC:galleon","4012","4012","null","OPEN","Move the ""0-9"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java","MAJOR","QC:galleon","4020","4020","null","OPEN","Move the ""Duration"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java","MAJOR","QC:galleon","4030","4030","null","OPEN","Move the ""PlayCount"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1149","QC:galleon:src/org/lnicholls/galleon/apps/iTunes/PlaylistParser.java","MAJOR","QC:galleon","1013","1013","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1149","QC:galleon:src/org/lnicholls/galleon/apps/iTunes/PlaylistParser.java","MAJOR","QC:galleon","1507","1507","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1149","QC:galleon:src/org/lnicholls/galleon/apps/iTunes/PlaylistParser.java","MAJOR","QC:galleon","1545","1545","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S00105","QC:galleon:src/org/lnicholls/galleon/apps/musicOrganizer/MusicOrganizer.java","MINOR","QC:galleon","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T21:54:29Z","2017-07-03T21:54:29Z","","CODE_SMELL","squid:S1132","QC:galleon:src/org/lnicholls/galleon/apps/traffic/Traffic.java","MAJOR","QC:galleon","359","359","null","OPEN","Move the ""push"" string literal on the left side of this string comparison.","10","10min",""
