"creationDate","updateDate","closeDate","type","rule","component","severity","project","startLine","endLine","resolution","status","message","effort","debt","author"
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/ExceptionConverter.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/List.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/RomanList.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S1132","QC:itext:core/com/itextpdf/text/Jpeg.java","MAJOR","QC:itext","260","260","null","OPEN","Move the ""Adobe"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S1132","QC:itext:core/com/itextpdf/text/Jpeg.java","MAJOR","QC:itext","274","274","null","OPEN","Move the ""ICC_PROFILE"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/Jpeg.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/ZapfDingbatsList.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/DocumentException.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/Paragraph.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/DocListener.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/ImgTemplate.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/Element.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/Jpeg2000.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00122","QC:itext:core/com/itextpdf/text/Jpeg2000.java","MINOR","QC:itext","226","226","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/TextElementArray.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S1118","QC:itext:core/com/itextpdf/text/SpecialSymbol.java","MAJOR","QC:itext","62","62","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/SpecialSymbol.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/Annotation.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S1118","QC:itext:core/com/itextpdf/text/Utilities.java","MAJOR","QC:itext","64","64","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/Utilities.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S1149","QC:itext:core/com/itextpdf/text/Utilities.java","MAJOR","QC:itext","73","73","null","OPEN","Replace the synchronized class ""Hashtable"" by an unsynchronized one such as ""HashMap"".","20","20min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S1149","QC:itext:core/com/itextpdf/text/Utilities.java","MAJOR","QC:itext","115","115","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/MarkedSection.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/RectangleReadOnly.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S1149","QC:itext:core/com/itextpdf/text/RectangleReadOnly.java","MAJOR","QC:itext","340","340","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/Document.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/LargeElement.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/MarkedObject.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S1118","QC:itext:core/com/itextpdf/text/PageSize.java","MAJOR","QC:itext","55","55","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/PageSize.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00112","QC:itext:core/com/itextpdf/text/PageSize.java","MAJOR","QC:itext","228","228","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00112","QC:itext:core/com/itextpdf/text/PageSize.java","MAJOR","QC:itext","237","237","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/Chapter.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/Chunk.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00122","QC:itext:core/com/itextpdf/text/Chunk.java","MINOR","QC:itext","861","861","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S1149","QC:itext:core/com/itextpdf/text/Chunk.java","MAJOR","QC:itext","98","98","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S1149","QC:itext:core/com/itextpdf/text/Chunk.java","MAJOR","QC:itext","327","327","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/ImgWMF.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/ImgRaw.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","BUG","squid:S1244","QC:itext:core/com/itextpdf/text/Font.java","CRITICAL","QC:itext","288","288","null","OPEN","Equality tests should not be made with floating point values.","5","5min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","BUG","squid:S1244","QC:itext:core/com/itextpdf/text/Font.java","CRITICAL","QC:itext","420","420","null","OPEN","Equality tests should not be made with floating point values.","5","5min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","BUG","squid:S1244","QC:itext:core/com/itextpdf/text/Font.java","CRITICAL","QC:itext","730","730","null","OPEN","Equality tests should not be made with floating point values.","5","5min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","BUG","squid:S1244","QC:itext:core/com/itextpdf/text/Font.java","CRITICAL","QC:itext","746","746","null","OPEN","Equality tests should not be made with floating point values.","5","5min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/Font.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00122","QC:itext:core/com/itextpdf/text/Font.java","MINOR","QC:itext","743","743","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/ImgJBIG2.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/Phrase.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00122","QC:itext:core/com/itextpdf/text/Phrase.java","MINOR","QC:itext","270","270","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00122","QC:itext:core/com/itextpdf/text/Phrase.java","MINOR","QC:itext","323","323","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S1149","QC:itext:core/com/itextpdf/text/Phrase.java","MAJOR","QC:itext","481","481","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S1149","QC:itext:core/com/itextpdf/text/Phrase.java","MAJOR","QC:itext","577","577","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/Anchor.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/FontFactoryImp.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00122","QC:itext:core/com/itextpdf/text/FontFactoryImp.java","MINOR","QC:itext","198","198","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00122","QC:itext:core/com/itextpdf/text/FontFactoryImp.java","MINOR","QC:itext","162","162","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00122","QC:itext:core/com/itextpdf/text/FontFactoryImp.java","MINOR","QC:itext","174","174","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00122","QC:itext:core/com/itextpdf/text/FontFactoryImp.java","MINOR","QC:itext","175","175","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00122","QC:itext:core/com/itextpdf/text/FontFactoryImp.java","MINOR","QC:itext","293","293","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00122","QC:itext:core/com/itextpdf/text/FontFactoryImp.java","MINOR","QC:itext","294","294","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00122","QC:itext:core/com/itextpdf/text/FontFactoryImp.java","MINOR","QC:itext","295","295","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S1149","QC:itext:core/com/itextpdf/text/FontFactoryImp.java","MAJOR","QC:itext","68","68","null","OPEN","Replace the synchronized class ""Hashtable"" by an unsynchronized one such as ""HashMap"".","20","20min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S1149","QC:itext:core/com/itextpdf/text/FontFactoryImp.java","MAJOR","QC:itext","78","78","null","OPEN","Replace the synchronized class ""Hashtable"" by an unsynchronized one such as ""HashMap"".","20","20min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/Meta.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S1149","QC:itext:core/com/itextpdf/text/Meta.java","MAJOR","QC:itext","69","69","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S1149","QC:itext:core/com/itextpdf/text/Meta.java","MAJOR","QC:itext","155","155","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/FontProvider.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/Header.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S1149","QC:itext:core/com/itextpdf/text/Header.java","MAJOR","QC:itext","64","64","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/DocWriter.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00122","QC:itext:core/com/itextpdf/text/DocWriter.java","MINOR","QC:itext","392","392","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S1118","QC:itext:core/com/itextpdf/text/ElementTags.java","MAJOR","QC:itext","50","50","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/ElementTags.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00122","QC:itext:core/com/itextpdf/text/ElementTags.java","MINOR","QC:itext","483","483","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/GreekList.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S1132","QC:itext:core/com/itextpdf/text/Image.java","MAJOR","QC:itext","284","284","null","OPEN","Move the ""file"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S1132","QC:itext:core/com/itextpdf/text/Image.java","MAJOR","QC:itext","303","303","null","OPEN","Move the ""file"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","CODE_SMELL","squid:S00105","QC:itext:core/com/itextpdf/text/Image.java","MINOR","QC:itext","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T14:44:27Z","2017-07-03T14:44:27Z","","BUG","squid:S1244","QC:itext:core/com/itextpdf/text/Rectangle.java","CRITICAL","QC:itext","572","572","null","OPEN","Equality tests should not be made with floating point values.","5","5min",""
