"creationDate","updateDate","closeDate","type","rule","component","severity","project","startLine","endLine","resolution","status","message","effort","debt","author"
"2017-07-03T15:02:17Z","2017-07-03T15:02:17Z","","CODE_SMELL","squid:S00105","QC:jFin_DateMath:src/main/java/org/jfin/date/BusinessDayConvention.java","MINOR","QC:jFin_DateMath","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:02:17Z","2017-07-03T15:02:17Z","","CODE_SMELL","squid:S00105","QC:jFin_DateMath:src/main/java/org/jfin/date/Initialisable.java","MINOR","QC:jFin_DateMath","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:02:17Z","2017-07-03T15:02:17Z","","CODE_SMELL","squid:S00105","QC:jFin_DateMath:src/main/java/org/jfin/date/Tenor.java","MINOR","QC:jFin_DateMath","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:02:17Z","2017-07-03T15:02:17Z","","CODE_SMELL","squid:S00105","QC:jFin_DateMath:src/main/java/org/jfin/date/ScheduleException.java","MINOR","QC:jFin_DateMath","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:02:17Z","2017-07-03T15:02:17Z","","CODE_SMELL","squid:S00105","QC:jFin_DateMath:src/main/java/org/jfin/date/TypedScheduleGenerator.java","MINOR","QC:jFin_DateMath","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:02:17Z","2017-07-03T15:02:17Z","","CODE_SMELL","squid:S00105","QC:jFin_DateMath:src/main/java/org/jfin/date/ScheduleCutter.java","MINOR","QC:jFin_DateMath","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:02:17Z","2017-07-03T15:02:17Z","","CODE_SMELL","squid:S00105","QC:jFin_DateMath:src/main/java/org/jfin/date/Period.java","MINOR","QC:jFin_DateMath","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:02:17Z","2017-07-03T15:02:17Z","","CODE_SMELL","squid:S1149","QC:jFin_DateMath:src/main/java/org/jfin/date/util/jfinLoggingFormatter.java","MAJOR","QC:jFin_DateMath","40","40","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T15:02:17Z","2017-07-03T15:02:17Z","","CODE_SMELL","squid:S00105","QC:jFin_DateMath:src/main/java/org/jfin/date/util/ISDADateFormat.java","MINOR","QC:jFin_DateMath","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:02:17Z","2017-07-03T15:02:17Z","","CODE_SMELL","squid:S1132","QC:jFin_DateMath:src/example/java/DaycountFractionCalculator.java","MAJOR","QC:jFin_DateMath","74","74","null","OPEN","Move the ""AFB"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T15:02:17Z","2017-07-03T15:02:17Z","","CODE_SMELL","squid:S1132","QC:jFin_DateMath:src/example/java/DaycountFractionCalculator.java","MAJOR","QC:jFin_DateMath","90","90","null","OPEN","Move the ""ACT365"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T15:02:17Z","2017-07-03T15:02:17Z","","CODE_SMELL","squid:S00112","QC:jFin_DateMath:src/example/java/DaycountFractionCalculator.java","MAJOR","QC:jFin_DateMath","96","96","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T15:02:17Z","2017-07-03T15:02:17Z","","CODE_SMELL","squid:S00105","QC:jFin_DateMath:src/test/java/org/jfin/date/test/holiday/BadHolidayCalendarFactory2.java","MINOR","QC:jFin_DateMath","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:02:17Z","2017-07-03T15:02:17Z","","CODE_SMELL","squid:S1132","QC:jFin_DateMath:src/test/java/org/jfin/date/test/holiday/HolidayCalendarFactoryTestImpl.java","MAJOR","QC:jFin_DateMath","44","44","null","OPEN","Move the ""NyB"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T15:02:17Z","2017-07-03T15:02:17Z","","CODE_SMELL","squid:S00105","QC:jFin_DateMath:src/test/java/org/jfin/date/test/holiday/HolidayCalendarSetTest.java","MINOR","QC:jFin_DateMath","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:02:17Z","2017-07-03T15:02:17Z","","CODE_SMELL","squid:S00105","QC:jFin_DateMath:src/test/java/org/jfin/date/test/holiday/LondonHolidayCalendar.java","MINOR","QC:jFin_DateMath","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:02:17Z","2017-07-03T15:02:17Z","","CODE_SMELL","squid:S00105","QC:jFin_DateMath:src/test/java/org/jfin/date/test/holiday/HolidayCalendarTest.java","MINOR","QC:jFin_DateMath","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:02:17Z","2017-07-03T15:02:17Z","","CODE_SMELL","squid:S00105","QC:jFin_DateMath:src/test/java/org/jfin/date/test/ScheduleGenerator2Test.java","MINOR","QC:jFin_DateMath","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:02:17Z","2017-07-03T15:02:17Z","","CODE_SMELL","squid:S00105","QC:jFin_DateMath:src/test/java/org/jfin/date/test/TypedScheduleGeneratorAccessorTest.java","MINOR","QC:jFin_DateMath","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
