"creationDate","updateDate","closeDate","type","rule","component","severity","project","startLine","endLine","resolution","status","message","effort","debt","author"
"2017-07-03T09:18:05Z","2017-07-03T09:18:05Z","","CODE_SMELL","squid:S1132","QC:james:proposals/sasl/src/java/org/apache/james/smtpserver/SMTPHandler.java","MAJOR","QC:james","238","238","null","OPEN","Move the ""HELO"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:18:05Z","2017-07-03T09:18:05Z","","CODE_SMELL","squid:S1132","QC:james:proposals/sasl/src/java/org/apache/james/smtpserver/SMTPHandler.java","MAJOR","QC:james","242","242","null","OPEN","Move the ""AUTH"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:18:05Z","2017-07-03T09:18:05Z","","CODE_SMELL","squid:S1132","QC:james:proposals/sasl/src/java/org/apache/james/smtpserver/SMTPHandler.java","MAJOR","QC:james","246","246","null","OPEN","Move the ""RCPT"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:18:05Z","2017-07-03T09:18:05Z","","CODE_SMELL","squid:S1132","QC:james:proposals/sasl/src/java/org/apache/james/smtpserver/SMTPHandler.java","MAJOR","QC:james","250","250","null","OPEN","Move the ""RSET"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:18:05Z","2017-07-03T09:18:05Z","","CODE_SMELL","squid:S1132","QC:james:proposals/sasl/src/java/org/apache/james/smtpserver/SMTPHandler.java","MAJOR","QC:james","254","254","null","OPEN","Move the ""QUIT"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:18:05Z","2017-07-03T09:18:05Z","","CODE_SMELL","squid:S1132","QC:james:proposals/sasl/src/java/org/apache/james/smtpserver/SMTPHandler.java","MAJOR","QC:james","345","345","null","OPEN","Move the ""LOGIN"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:18:05Z","2017-07-03T09:18:05Z","","CODE_SMELL","squid:S1132","QC:james:proposals/sasl/src/java/org/apache/james/smtpserver/SMTPHandler.java","MAJOR","QC:james","436","436","null","OPEN","Move the ""TO"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:18:05Z","2017-07-03T09:18:05Z","","CODE_SMELL","squid:S00112","QC:james:proposals/sasl/src/java/org/apache/james/smtpserver/SMTPHandler.java","MAJOR","QC:james","313","313","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:18:05Z","2017-07-03T09:18:05Z","","CODE_SMELL","squid:S00122","QC:james:proposals/sasl/src/java/org/apache/james/smtpserver/SMTPHandler.java","MINOR","QC:james","217","217","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:18:05Z","2017-07-03T09:18:05Z","","CODE_SMELL","squid:S1149","QC:james:proposals/sasl/src/java/org/apache/james/smtpserver/SMTPHandler.java","MAJOR","QC:james","370","370","null","OPEN","Replace the synchronized class ""Hashtable"" by an unsynchronized one such as ""HashMap"".","20","20min",""
"2017-07-03T09:18:05Z","2017-07-03T09:18:05Z","","CODE_SMELL","squid:S1149","QC:james:proposals/imap/java/org/apache/james/imapserver/CommandStore.java","MAJOR","QC:james","106","106","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
