"creationDate","updateDate","closeDate","type","rule","component","severity","project","startLine","endLine","resolution","status","message","effort","debt","author"
"2017-07-03T09:20:23Z","2017-07-03T09:20:23Z","","CODE_SMELL","squid:S00112","QC:jasml:doc/SimpleClass.java","MAJOR","QC:jasml","11","11","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:20:23Z","2017-07-03T09:20:23Z","","CODE_SMELL","squid:S00105","QC:jasml:src/com/jasml/decompiler/JavaClassParser.java","MINOR","QC:jasml","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T09:20:23Z","2017-07-03T09:20:23Z","","CODE_SMELL","squid:S00105","QC:jasml:src/com/jasml/decompiler/SourceCodeBuilderConfiguration.java","MINOR","QC:jasml","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T09:20:23Z","2017-07-03T09:20:23Z","","CODE_SMELL","squid:S00105","QC:jasml:src/com/jasml/decompiler/SourceCodeBuilder.java","MINOR","QC:jasml","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T09:20:23Z","2017-07-03T09:20:23Z","","CODE_SMELL","squid:S1149","QC:jasml:src/com/jasml/decompiler/SourceCodeBuilder.java","MAJOR","QC:jasml","71","71","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T09:20:23Z","2017-07-03T09:20:23Z","","CODE_SMELL","squid:S1149","QC:jasml:src/com/jasml/decompiler/SourceCodeBuilder.java","MAJOR","QC:jasml","94","94","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T09:20:23Z","2017-07-03T09:20:23Z","","CODE_SMELL","squid:S1149","QC:jasml:src/com/jasml/decompiler/SourceCodeBuilder.java","MAJOR","QC:jasml","105","105","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T09:20:23Z","2017-07-03T09:20:23Z","","CODE_SMELL","squid:S1149","QC:jasml:src/com/jasml/decompiler/SourceCodeBuilder.java","MAJOR","QC:jasml","141","141","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T09:20:23Z","2017-07-03T09:20:23Z","","CODE_SMELL","squid:S1149","QC:jasml:src/com/jasml/decompiler/SourceCodeBuilder.java","MAJOR","QC:jasml","177","177","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T09:20:23Z","2017-07-03T09:20:23Z","","CODE_SMELL","squid:S1149","QC:jasml:src/com/jasml/decompiler/SourceCodeBuilder.java","MAJOR","QC:jasml","464","464","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
