"creationDate","updateDate","closeDate","type","rule","component","severity","project","startLine","endLine","resolution","status","message","effort","debt","author"
"2017-07-03T09:21:08Z","2017-07-03T09:21:08Z","","CODE_SMELL","squid:S00112","QC:jgrapht:src/org/jgrapht/graph/ClassBasedEdgeFactory.java","MAJOR","QC:jgrapht","86","86","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:21:08Z","2017-07-03T09:21:08Z","","CODE_SMELL","squid:S00112","QC:jgrapht:src/org/jgrapht/graph/ClassBasedVertexFactory.java","MAJOR","QC:jgrapht","74","74","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:21:08Z","2017-07-03T09:21:08Z","","CODE_SMELL","squid:S1149","QC:jgrapht:testsrc/org/jgrapht/traverse/AbstractGraphIteratorTest.java","MAJOR","QC:jgrapht","60","60","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T09:21:08Z","2017-07-03T09:21:08Z","","CODE_SMELL","squid:S00112","QC:jgrapht:testsrc/org/jgrapht/graph/SerializationTest.java","MAJOR","QC:jgrapht","104","104","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:21:08Z","2017-07-03T09:21:08Z","","CODE_SMELL","squid:S1118","QC:jgrapht:testsrc/org/jgrapht/util/AllUtilTests.java","MAJOR","QC:jgrapht","46","46","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-03T09:21:08Z","2017-07-03T09:21:08Z","","CODE_SMELL","squid:S1118","QC:jgrapht:testsrc/org/jgrapht/experimental/isomorphism/EdgeTopologyCompare.java","MAJOR","QC:jgrapht","47","47","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-03T09:21:08Z","2017-07-03T09:21:08Z","","CODE_SMELL","squid:S00112","QC:jgrapht:testsrc/org/jgrapht/experimental/isomorphism/IsomorphismInspectorTest.java","MAJOR","QC:jgrapht","573","573","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:21:08Z","2017-07-03T09:21:08Z","","CODE_SMELL","squid:S1118","QC:jgrapht:src/org/jgrapht/Graphs.java","MAJOR","QC:jgrapht","58","58","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-03T09:21:08Z","2017-07-03T09:21:08Z","","CODE_SMELL","squid:S00112","QC:jgrapht:src/org/jgrapht/graph/AbstractBaseGraph.java","MAJOR","QC:jgrapht","353","353","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:21:08Z","2017-07-03T09:21:08Z","","CODE_SMELL","squid:S00112","QC:jgrapht:src/org/jgrapht/graph/DefaultListenableGraph.java","MAJOR","QC:jgrapht","235","235","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
