"creationDate","updateDate","closeDate","type","rule","component","severity","project","startLine","endLine","resolution","status","message","effort","debt","author"
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","BUG","squid:S1244","QC:jmeter:src/jorphan/org/apache/jorphan/gui/RateRenderer.java","CRITICAL","QC:jmeter","48","48","null","OPEN","Equality tests should not be made with floating point values.","5","5min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1118","QC:jmeter:src/jorphan/org/apache/jorphan/gui/GuiUtils.java","MAJOR","QC:jmeter","28","28","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1149","QC:jmeter:src/jorphan/org/apache/jorphan/gui/JTreeTable.java","MAJOR","QC:jmeter","63","63","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1149","QC:jmeter:src/jorphan/org/apache/jorphan/gui/JTreeTable.java","MAJOR","QC:jmeter","63","63","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00122","QC:jmeter:src/core/org/apache/jmeter/samplers/DataStrippingSampleSender.java","MINOR","QC:jmeter","66","66","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1118","QC:jmeter:src/jorphan/org/apache/jorphan/reflect/ClassTools.java","MAJOR","QC:jmeter","30","30","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","BUG","squid:S1244","QC:jmeter:src/core/org/apache/jmeter/testelement/property/NumberProperty.java","CRITICAL","QC:jmeter","65","65","null","OPEN","Equality tests should not be made with floating point values.","5","5min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00122","QC:jmeter:src/jorphan/org/apache/jorphan/reflect/ClassFinder.java","MINOR","QC:jmeter","544","544","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00112","QC:jmeter:src/core/org/apache/jmeter/testbeans/gui/TestBeanGUI.java","MAJOR","QC:jmeter","183","183","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00112","QC:jmeter:src/core/org/apache/jmeter/testbeans/gui/TestBeanGUI.java","MAJOR","QC:jmeter","186","186","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00112","QC:jmeter:src/core/org/apache/jmeter/testbeans/gui/TestBeanGUI.java","MAJOR","QC:jmeter","218","218","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00122","QC:jmeter:src/jorphan/org/apache/jorphan/util/JOrphanUtils.java","MINOR","QC:jmeter","490","490","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1118","QC:jmeter:src/jorphan/org/apache/jorphan/util/Converter.java","MAJOR","QC:jmeter","31","31","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1118","QC:jmeter:src/jorphan/org/apache/jorphan/util/HeapDumper.java","MAJOR","QC:jmeter","42","42","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00112","QC:jmeter:src/jorphan/org/apache/jorphan/util/HeapDumper.java","MAJOR","QC:jmeter","88","88","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00112","QC:jmeter:src/core/org/apache/jmeter/testbeans/gui/GenericTestBeanCustomizer.java","MAJOR","QC:jmeter","205","205","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1149","QC:jmeter:src/jorphan/org/apache/commons/cli/avalon/CLArgsParser.java","MAJOR","QC:jmeter","68","68","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1149","QC:jmeter:src/jorphan/org/apache/commons/cli/avalon/CLArgsParser.java","MAJOR","QC:jmeter","71","71","null","OPEN","Replace the synchronized class ""Hashtable"" by an unsynchronized one such as ""HashMap"".","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1149","QC:jmeter:src/jorphan/org/apache/commons/cli/avalon/CLArgsParser.java","MAJOR","QC:jmeter","248","248","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1149","QC:jmeter:src/jorphan/org/apache/commons/cli/avalon/CLArgsParser.java","MAJOR","QC:jmeter","268","268","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00112","QC:jmeter:src/core/org/apache/jmeter/testbeans/gui/WrapperEditor.java","MAJOR","QC:jmeter","238","238","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1132","QC:jmeter:src/core/org/apache/jmeter/NewDriver.java","MAJOR","QC:jmeter","202","202","null","OPEN","Move the ""report"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00112","QC:jmeter:src/core/org/apache/jmeter/testbeans/BeanInfoSupport.java","MAJOR","QC:jmeter","102","102","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1132","QC:jmeter:src/core/org/apache/jmeter/JMeter.java","MAJOR","QC:jmeter","1083","1083","null","OPEN","Move the ""Shutdown"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1118","QC:jmeter:src/core/org/apache/jmeter/testbeans/TestBeanHelper.java","MAJOR","QC:jmeter","49","49","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00112","QC:jmeter:src/core/org/apache/jmeter/testbeans/TestBeanHelper.java","MAJOR","QC:jmeter","163","163","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00122","QC:jmeter:src/core/org/apache/jmeter/JMeter.java","MINOR","QC:jmeter","369","369","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00122","QC:jmeter:src/core/org/apache/jmeter/JMeter.java","MINOR","QC:jmeter","402","402","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1147","QC:jmeter:src/core/org/apache/jmeter/JMeter.java","CRITICAL","QC:jmeter","390","390","null","OPEN","Remove this call to ""exit"" or ensure it is really required.","30","30min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","BUG","squid:S1244","QC:jmeter:src/core/org/apache/jmeter/visualizers/RunningSample.java","CRITICAL","QC:jmeter","172","172","null","OPEN","Equality tests should not be made with floating point values.","5","5min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1149","QC:jmeter:src/core/org/apache/jmeter/visualizers/CachingStatCalculator.java","MAJOR","QC:jmeter","31","31","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1132","QC:jmeter:src/jorphan/org/apache/jorphan/logging/LoggingManager.java","MAJOR","QC:jmeter","125","125","null","OPEN","Move the ""thread_suffix"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00122","QC:jmeter:src/core/org/apache/jmeter/engine/StandardJMeterEngine.java","MINOR","QC:jmeter","350","350","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1147","QC:jmeter:src/core/org/apache/jmeter/engine/StandardJMeterEngine.java","CRITICAL","QC:jmeter","294","294","null","OPEN","Remove this call to ""exit"" or ensure it is really required.","30","30min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1147","QC:jmeter:src/core/org/apache/jmeter/engine/StandardJMeterEngine.java","CRITICAL","QC:jmeter","595","595","null","OPEN","Remove this call to ""exit"" or ensure it is really required.","30","30min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1132","QC:jmeter:src/core/org/apache/jmeter/engine/util/CompoundVariable.java","MAJOR","QC:jmeter","81","81","null","OPEN","Move the ""__StringFromFile"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1132","QC:jmeter:src/core/org/apache/jmeter/gui/GuiPackage.java","MAJOR","QC:jmeter","163","163","null","OPEN","Move the """" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1132","QC:jmeter:src/core/org/apache/jmeter/gui/GuiPackage.java","MAJOR","QC:jmeter","169","169","null","OPEN","Move the """" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00112","QC:jmeter:src/core/org/apache/jmeter/gui/GuiPackage.java","MAJOR","QC:jmeter","311","311","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00112","QC:jmeter:src/core/org/apache/jmeter/gui/GuiPackage.java","MAJOR","QC:jmeter","323","323","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1149","QC:jmeter:src/core/org/apache/jmeter/save/CSVSaveService.java","MAJOR","QC:jmeter","645","645","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1149","QC:jmeter:src/core/org/apache/jmeter/save/CSVSaveService.java","MAJOR","QC:jmeter","664","664","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1132","QC:jmeter:src/core/org/apache/jmeter/save/SaveService.java","MAJOR","QC:jmeter","220","220","null","OPEN","Move the ""_version"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1132","QC:jmeter:src/core/org/apache/jmeter/save/SaveService.java","MAJOR","QC:jmeter","223","223","null","OPEN","Move the ""_file_version"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1132","QC:jmeter:src/core/org/apache/jmeter/save/SaveService.java","MAJOR","QC:jmeter","234","234","null","OPEN","Move the ""mapping"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1118","QC:jmeter:src/core/org/apache/jmeter/save/SaveService.java","MAJOR","QC:jmeter","63","63","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00112","QC:jmeter:src/core/org/apache/jmeter/save/SaveService.java","MAJOR","QC:jmeter","462","462","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00122","QC:jmeter:src/core/org/apache/jmeter/save/SaveService.java","MINOR","QC:jmeter","134","134","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00122","QC:jmeter:src/core/org/apache/jmeter/save/SaveService.java","MINOR","QC:jmeter","135","135","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00122","QC:jmeter:src/core/org/apache/jmeter/save/converters/SampleSaveConfigurationConverter.java","MINOR","QC:jmeter","85","85","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00122","QC:jmeter:src/core/org/apache/jmeter/save/converters/SampleSaveConfigurationConverter.java","MINOR","QC:jmeter","88","88","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00122","QC:jmeter:src/core/org/apache/jmeter/save/converters/SampleSaveConfigurationConverter.java","MINOR","QC:jmeter","93","93","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00122","QC:jmeter:src/core/org/apache/jmeter/save/converters/SampleSaveConfigurationConverter.java","MINOR","QC:jmeter","94","94","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1147","QC:jmeter:src/core/org/apache/jmeter/gui/action/ExitCommand.java","CRITICAL","QC:jmeter","67","67","null","OPEN","Remove this call to ""exit"" or ensure it is really required.","30","30min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1147","QC:jmeter:src/core/org/apache/jmeter/gui/action/ExitCommand.java","CRITICAL","QC:jmeter","71","71","null","OPEN","Remove this call to ""exit"" or ensure it is really required.","30","30min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00112","QC:jmeter:src/core/org/apache/jmeter/gui/action/Load.java","MAJOR","QC:jmeter","152","152","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1118","QC:jmeter:src/core/org/apache/jmeter/samplers/SampleSenderFactory.java","MAJOR","QC:jmeter","27","27","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1132","QC:jmeter:src/core/org/apache/jmeter/samplers/SampleSaveConfiguration.java","MAJOR","QC:jmeter","307","307","null","OPEN","Move the ""\\t"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00112","QC:jmeter:src/core/org/apache/jmeter/samplers/SampleSaveConfiguration.java","MAJOR","QC:jmeter","470","470","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1132","QC:jmeter:src/core/org/apache/jmeter/gui/action/Save.java","MAJOR","QC:jmeter","107","107","null","OPEN","Move the """" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00112","QC:jmeter:src/junit/test/DummyAnnotatedTest.java","MAJOR","QC:jmeter","66","66","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1132","QC:jmeter:src/core/org/apache/jmeter/util/JMeterUtils.java","MAJOR","QC:jmeter","742","742","null","OPEN","Move the ""true"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1132","QC:jmeter:src/core/org/apache/jmeter/util/JMeterUtils.java","MAJOR","QC:jmeter","742","742","null","OPEN","Move the ""t"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1132","QC:jmeter:src/core/org/apache/jmeter/util/JMeterUtils.java","MAJOR","QC:jmeter","744","744","null","OPEN","Move the ""false"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1149","QC:jmeter:src/core/org/apache/jmeter/util/JMeterUtils.java","MAJOR","QC:jmeter","81","81","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1149","QC:jmeter:src/core/org/apache/jmeter/util/JMeterUtils.java","MAJOR","QC:jmeter","610","610","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1149","QC:jmeter:src/core/org/apache/jmeter/util/JMeterUtils.java","MAJOR","QC:jmeter","662","662","null","OPEN","Replace the synchronized class ""Hashtable"" by an unsynchronized one such as ""HashMap"".","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1149","QC:jmeter:src/core/org/apache/jmeter/util/JMeterUtils.java","MAJOR","QC:jmeter","677","677","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1149","QC:jmeter:src/core/org/apache/jmeter/util/JMeterUtils.java","MAJOR","QC:jmeter","828","828","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1149","QC:jmeter:src/core/org/apache/jmeter/util/JMeterUtils.java","MAJOR","QC:jmeter","887","887","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1149","QC:jmeter:src/core/org/apache/jmeter/util/JMeterUtils.java","MAJOR","QC:jmeter","925","925","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00112","QC:jmeter:src/core/org/apache/jmeter/util/SSLManager.java","MAJOR","QC:jmeter","209","209","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00112","QC:jmeter:src/core/org/apache/jmeter/util/SSLManager.java","MAJOR","QC:jmeter","225","225","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S00122","QC:jmeter:src/protocol/mail/org/apache/jmeter/protocol/mail/sampler/MailFileFolder.java","MINOR","QC:jmeter","130","130","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1132","QC:jmeter:src/protocol/mail/org/apache/jmeter/protocol/mail/sampler/gui/MailReaderSamplerGui.java","MAJOR","QC:jmeter","300","300","null","OPEN","Move the ""pop3"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:29:06Z","2017-07-03T09:29:06Z","","CODE_SMELL","squid:S1132","QC:jmeter:src/protocol/mail/org/apache/jmeter/protocol/mail/sampler/gui/MailReaderSamplerGui.java","MAJOR","QC:jmeter","300","300","null","OPEN","Move the ""pop3s"" string literal on the left side of this string comparison.","10","10min",""
