"creationDate","updateDate","closeDate","type","rule","component","severity","project","startLine","endLine","resolution","status","message","effort","debt","author"
"2017-07-03T09:34:46Z","2017-07-03T09:34:46Z","","CODE_SMELL","squid:S00122","QC:jparse:jparse/JavaParser.java","MINOR","QC:jparse","474","474","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:34:46Z","2017-07-03T09:34:46Z","","CODE_SMELL","squid:S00122","QC:jparse:jparse/JavaParser.java","MINOR","QC:jparse","561","561","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:34:46Z","2017-07-03T09:34:46Z","","CODE_SMELL","squid:S00122","QC:jparse:jparse/JavaParser.java","MINOR","QC:jparse","4520","4520","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T09:34:46Z","2017-07-03T09:34:46Z","","CODE_SMELL","squid:S00122","QC:jparse:jparse/JavaParser.java","MINOR","QC:jparse","5321","5321","null","OPEN","At most one statement is allowed per line, but 3 statements were found on this line.","1","1min",""
"2017-07-03T09:34:46Z","2017-07-03T09:34:46Z","","CODE_SMELL","squid:S1149","QC:jparse:jparse/JavaParser.java","MAJOR","QC:jparse","451","451","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T09:34:46Z","2017-07-03T09:34:46Z","","CODE_SMELL","squid:S1149","QC:jparse:jparse/JavaParser.java","MAJOR","QC:jparse","516","516","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T09:34:46Z","2017-07-03T09:34:46Z","","CODE_SMELL","squid:S00105","QC:jparse:jparse/MethAST.java","MINOR","QC:jparse","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T09:34:46Z","2017-07-03T09:34:46Z","","CODE_SMELL","squid:S1149","QC:jparse:jparse/MethAST.java","MAJOR","QC:jparse","212","212","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T09:34:46Z","2017-07-03T09:34:46Z","","CODE_SMELL","squid:S1149","QC:jparse:jparse/MethAST.java","MAJOR","QC:jparse","467","467","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T09:34:46Z","2017-07-03T09:34:46Z","","CODE_SMELL","squid:S00105","QC:jparse:jparse/SourceType.java","MINOR","QC:jparse","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T09:34:46Z","2017-07-03T09:34:46Z","","CODE_SMELL","squid:S1149","QC:jparse:jparse/SourceType.java","MAJOR","QC:jparse","217","217","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
