"creationDate","updateDate","closeDate","type","rule","component","severity","project","startLine","endLine","resolution","status","message","effort","debt","author"
"2017-07-03T15:47:44Z","2017-07-03T15:47:44Z","","CODE_SMELL","squid:S00105","QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/DrawnIconVertexDemo.java","MINOR","QC:jung","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:47:44Z","2017-07-03T15:47:44Z","","CODE_SMELL","squid:S00105","QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/AnnotationsDemo.java","MINOR","QC:jung","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:47:44Z","2017-07-03T15:47:44Z","","CODE_SMELL","squid:S00105","QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/GraphZoomScrollPaneDemo.java","MINOR","QC:jung","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:47:44Z","2017-07-03T15:47:44Z","","CODE_SMELL","squid:S00105","QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/L2RTreeLayoutDemo.java","MINOR","QC:jung","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:47:44Z","2017-07-03T15:47:44Z","","CODE_SMELL","squid:S00105","QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/ClusteringDemo.java","MINOR","QC:jung","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:47:44Z","2017-07-03T15:47:44Z","","CODE_SMELL","squid:S00105","QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/ImageEdgeLabelDemo.java","MINOR","QC:jung","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:47:44Z","2017-07-03T15:47:44Z","","CODE_SMELL","squid:S00105","QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/LensDemo.java","MINOR","QC:jung","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:47:44Z","2017-07-03T15:47:44Z","","CODE_SMELL","squid:S00105","QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/LensVertexImageShaperDemo.java","MINOR","QC:jung","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:47:44Z","2017-07-03T15:47:44Z","","CODE_SMELL","squid:S00105","QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/VertexLabelPositionDemo.java","MINOR","QC:jung","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:47:44Z","2017-07-03T15:47:44Z","","CODE_SMELL","squid:S00105","QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/BalloonLayoutDemo.java","MINOR","QC:jung","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:47:44Z","2017-07-03T15:47:44Z","","CODE_SMELL","squid:S00122","QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/BalloonLayoutDemo.java","MINOR","QC:jung","243","243","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T15:47:44Z","2017-07-03T15:47:44Z","","CODE_SMELL","squid:S00105","QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/EdgeLabelDemo.java","MINOR","QC:jung","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:47:44Z","2017-07-03T15:47:44Z","","CODE_SMELL","squid:S00105","QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/VertexLabelAsShapeDemo.java","MINOR","QC:jung","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:47:44Z","2017-07-03T15:47:44Z","","CODE_SMELL","squid:S00105","QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/PluggableRendererDemo.java","MINOR","QC:jung","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:47:44Z","2017-07-03T15:47:44Z","","CODE_SMELL","squid:S00105","QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/MultiViewDemo.java","MINOR","QC:jung","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:47:44Z","2017-07-03T15:47:44Z","","CODE_SMELL","squid:S00105","QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/SatelliteViewDemo.java","MINOR","QC:jung","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:47:44Z","2017-07-03T15:47:44Z","","CODE_SMELL","squid:S00105","QC:jung:jung-samples-2.0.1-sources/edu/uci/ics/jung/samples/MinimumSpanningTreeDemo.java","MINOR","QC:jung","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
