"creationDate","updateDate","closeDate","type","rule","component","severity","project","startLine","endLine","resolution","status","message","effort","debt","author"
"2017-07-03T11:43:11Z","2017-07-03T11:43:11Z","","CODE_SMELL","squid:S00112","QC:maven:maven-core/src/test/java/org/apache/maven/lifecycle/internal/stub/ProjectDependencyGraphStub.java","MAJOR","QC:maven","181","181","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T11:43:11Z","2017-07-03T11:43:11Z","","CODE_SMELL","squid:S1132","QC:maven:maven-core/src/main/java/org/apache/maven/plugin/PluginParameterExpressionEvaluator.java","MAJOR","QC:maven","232","232","null","OPEN","Move the ""repositorySystemSession"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T11:43:11Z","2017-07-03T11:43:11Z","","CODE_SMELL","squid:S1132","QC:maven:maven-core/src/main/java/org/apache/maven/plugin/PluginParameterExpressionEvaluator.java","MAJOR","QC:maven","264","264","null","OPEN","Move the ""plugin"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T11:43:11Z","2017-07-03T11:43:11Z","","CODE_SMELL","squid:S00105","QC:maven:maven-core/src/test/java/org/apache/maven/project/PomConstructionTest.java","MINOR","QC:maven","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T11:43:11Z","2017-07-03T11:43:11Z","","CODE_SMELL","squid:S00112","QC:maven:maven-core/src/test/java/org/apache/maven/project/PomConstructionTest.java","MAJOR","QC:maven","839","839","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T11:43:11Z","2017-07-03T11:43:11Z","","CODE_SMELL","squid:S1132","QC:maven:maven-core/src/main/java/org/apache/maven/plugin/internal/WagonExcluder.java","MAJOR","QC:maven","73","73","null","OPEN","Move the ""org.apache.maven"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T11:43:11Z","2017-07-03T11:43:11Z","","CODE_SMELL","squid:S00105","QC:maven:maven-core/src/test/java/org/apache/maven/project/LegacyLocalRepositoryManager.java","MINOR","QC:maven","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T11:43:11Z","2017-07-03T11:43:11Z","","CODE_SMELL","squid:S00112","QC:maven:maven-core/src/test/java/org/apache/maven/settings/PomConstructionWithSettingsTest.java","MAJOR","QC:maven","96","96","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T11:43:11Z","2017-07-03T11:43:11Z","","CODE_SMELL","squid:S1132","QC:maven:maven-core/src/test/java/org/apache/maven/plugin/PluginManagerTest.java","MAJOR","QC:maven","254","254","null","OPEN","Move the ""org.apache.maven.its.mng3586"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T11:43:11Z","2017-07-03T11:43:11Z","","CODE_SMELL","squid:S1132","QC:maven:maven-core/src/test/java/org/apache/maven/plugin/PluginManagerTest.java","MAJOR","QC:maven","254","254","null","OPEN","Move the ""tools"" string literal on the left side of this string comparison.","10","10min",""
