"creationDate","updateDate","closeDate","type","rule","component","severity","project","startLine","endLine","resolution","status","message","effort","debt","author"
"2017-07-03T17:55:46Z","2017-07-03T17:55:46Z","","CODE_SMELL","squid:S1149","QC:megamek:src/megamek/common/MMShuffle.java","MAJOR","QC:megamek","94","94","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T17:55:46Z","2017-07-03T17:55:46Z","","CODE_SMELL","squid:S1149","QC:megamek:src/megamek/common/MMShuffle.java","MAJOR","QC:megamek","120","120","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T17:55:46Z","2017-07-03T17:55:46Z","","CODE_SMELL","squid:S1149","QC:megamek:src/megamek/common/GameReports.java","MAJOR","QC:megamek","31","31","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T17:55:46Z","2017-07-03T17:55:46Z","","CODE_SMELL","squid:S1149","QC:megamek:src/megamek/common/GameReports.java","MAJOR","QC:megamek","37","37","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T17:55:46Z","2017-07-03T17:55:46Z","","CODE_SMELL","squid:S1149","QC:megamek:src/megamek/common/GameReports.java","MAJOR","QC:megamek","55","55","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T17:55:46Z","2017-07-03T17:55:46Z","","CODE_SMELL","squid:S1149","QC:megamek:src/megamek/common/GameReports.java","MAJOR","QC:megamek","71","71","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T17:55:46Z","2017-07-03T17:55:46Z","","CODE_SMELL","squid:S1149","QC:megamek:src/megamek/common/GameReports.java","MAJOR","QC:megamek","79","79","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T17:55:46Z","2017-07-03T17:55:46Z","","CODE_SMELL","squid:S00105","QC:megamek:src/megamek/common/FighterSquadron.java","MINOR","QC:megamek","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T17:55:46Z","2017-07-03T17:55:46Z","","CODE_SMELL","squid:S1149","QC:megamek:src/megamek/common/FighterSquadron.java","MAJOR","QC:megamek","36","36","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T17:55:46Z","2017-07-03T17:55:46Z","","CODE_SMELL","squid:S1149","QC:megamek:src/megamek/common/FighterSquadron.java","MAJOR","QC:megamek","130","130","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T17:55:46Z","2017-07-03T17:55:46Z","","CODE_SMELL","squid:S1149","QC:megamek:src/megamek/common/TargetRoll.java","MAJOR","QC:megamek","107","107","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T17:55:46Z","2017-07-03T17:55:46Z","","BUG","squid:S1244","QC:megamek:src/megamek/common/MechSummaryComparator.java","CRITICAL","QC:megamek","56","56","null","OPEN","Equality tests should not be made with floating point values.","5","5min",""
"2017-07-03T17:55:46Z","2017-07-03T17:55:46Z","","CODE_SMELL","squid:S1132","QC:megamek:src/megamek/common/Terrain.java","MAJOR","QC:megamek","89","89","null","OPEN","Move the ""*"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T17:55:46Z","2017-07-03T17:55:46Z","","CODE_SMELL","squid:S1132","QC:megamek:src/megamek/common/XMLStreamParser.java","MAJOR","QC:megamek","747","747","null","OPEN","Move the ""true"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T17:55:46Z","2017-07-03T17:55:46Z","","CODE_SMELL","squid:S1132","QC:megamek:src/megamek/common/XMLStreamParser.java","MAJOR","QC:megamek","812","812","null","OPEN","Move the ""true"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T17:55:46Z","2017-07-03T17:55:46Z","","CODE_SMELL","squid:S1132","QC:megamek:src/megamek/common/XMLStreamParser.java","MAJOR","QC:megamek","853","853","null","OPEN","Move the ""immobile"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T17:55:46Z","2017-07-03T17:55:46Z","","CODE_SMELL","squid:S1132","QC:megamek:src/megamek/common/XMLStreamParser.java","MAJOR","QC:megamek","1252","1252","null","OPEN","Move the ""true"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T17:55:46Z","2017-07-03T17:55:46Z","","CODE_SMELL","squid:S1132","QC:megamek:src/megamek/common/XMLStreamParser.java","MAJOR","QC:megamek","1263","1263","null","OPEN","Move the ""true"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T17:55:46Z","2017-07-03T17:55:46Z","","CODE_SMELL","squid:S1132","QC:megamek:src/megamek/common/XMLStreamParser.java","MAJOR","QC:megamek","1275","1275","null","OPEN","Move the ""true"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T17:55:46Z","2017-07-03T17:55:46Z","","CODE_SMELL","squid:S1149","QC:megamek:src/megamek/common/XMLStreamParser.java","MAJOR","QC:megamek","46","46","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T17:55:46Z","2017-07-03T17:55:46Z","","CODE_SMELL","squid:S1149","QC:megamek:src/megamek/common/XMLStreamParser.java","MAJOR","QC:megamek","51","51","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T17:55:46Z","2017-07-03T17:55:46Z","","CODE_SMELL","squid:S1149","QC:megamek:src/megamek/common/XMLStreamParser.java","MAJOR","QC:megamek","57","57","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
