"creationDate","updateDate","closeDate","type","rule","component","severity","project","startLine","endLine","resolution","status","message","effort","debt","author"
"2017-07-03T11:44:53Z","2017-07-03T11:44:53Z","","CODE_SMELL","squid:S1118","QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/db/SchemaConverterFactory.java","MAJOR","QC:openjms","59","59","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-03T11:44:53Z","2017-07-03T11:44:53Z","","CODE_SMELL","squid:S00112","QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/db/Descriptor.java","MAJOR","QC:openjms","150","150","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T11:44:53Z","2017-07-03T11:44:53Z","","CODE_SMELL","squid:S1118","QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/db/SchemaHelper.java","MAJOR","QC:openjms","68","68","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-03T11:44:53Z","2017-07-03T11:44:53Z","","CODE_SMELL","squid:S1149","QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/db/RDBMSTool.java","MAJOR","QC:openjms","207","207","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T11:44:53Z","2017-07-03T11:44:53Z","","CODE_SMELL","squid:S1149","QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/db/RDBMSTool.java","MAJOR","QC:openjms","307","307","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T11:44:53Z","2017-07-03T11:44:53Z","","CODE_SMELL","squid:S1118","QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/migration/proxy/MessageHandlerFactory.java","MAJOR","QC:openjms","62","62","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-03T11:44:53Z","2017-07-03T11:44:53Z","","CODE_SMELL","squid:S1149","QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/migration/master/MasterConsumerStore.java","MAJOR","QC:openjms","188","188","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T11:44:53Z","2017-07-03T11:44:53Z","","CODE_SMELL","squid:S1132","QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/migration/Importer.java","MAJOR","QC:openjms","160","160","null","OPEN","Move the ""1.0"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T11:44:53Z","2017-07-03T11:44:53Z","","CODE_SMELL","squid:S1118","QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/migration/MigrationHelper.java","MAJOR","QC:openjms","60","60","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-03T11:44:53Z","2017-07-03T11:44:53Z","","CODE_SMELL","squid:S00105","QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/admin/QueryDialog.java","MINOR","QC:openjms","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T11:44:53Z","2017-07-03T11:44:53Z","","CODE_SMELL","squid:S1132","QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/admin/CreateLogonDialog.java","MAJOR","QC:openjms","261","261","null","OPEN","Move the """" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T11:44:53Z","2017-07-03T11:44:53Z","","CODE_SMELL","squid:S1132","QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/admin/CreateLogonDialog.java","MAJOR","QC:openjms","265","265","null","OPEN","Move the """" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T11:44:53Z","2017-07-03T11:44:53Z","","CODE_SMELL","squid:S1132","QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/admin/ChangePasswordDialog.java","MAJOR","QC:openjms","279","279","null","OPEN","Move the """" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T11:44:53Z","2017-07-03T11:44:53Z","","CODE_SMELL","squid:S1132","QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/admin/ChangePasswordDialog.java","MAJOR","QC:openjms","284","284","null","OPEN","Move the """" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T11:44:53Z","2017-07-03T11:44:53Z","","CODE_SMELL","squid:S00105","QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/admin/OfflineConnection.java","MINOR","QC:openjms","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T11:44:53Z","2017-07-03T11:44:53Z","","CODE_SMELL","squid:UnusedPrivateMethod","QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/admin/OpenJMSQueueFolder.java","MAJOR","QC:openjms","160","160","null","OPEN","Remove this unused private ""refresh"" method.","5","5min",""
"2017-07-03T11:44:53Z","2017-07-03T11:44:53Z","","CODE_SMELL","squid:UnusedPrivateMethod","QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/admin/OpenJMSQueueFolder.java","MAJOR","QC:openjms","188","188","null","OPEN","Remove this unused private ""getInstanceSelected"" method.","5","5min",""
"2017-07-03T11:44:53Z","2017-07-03T11:44:53Z","","CODE_SMELL","squid:S00105","QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/admin/OpenJMSQueueFolder.java","MINOR","QC:openjms","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T11:44:53Z","2017-07-03T11:44:53Z","","CODE_SMELL","squid:S00105","QC:openjms:modules/tools/src/main/java/org/exolab/jms/tools/admin/CreateQueueDialog.java","MINOR","QC:openjms","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
