"creationDate","updateDate","closeDate","type","rule","component","severity","project","startLine","endLine","resolution","status","message","effort","debt","author"
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S00105","QC:sablecc:src/org/sablecc/sablecc/InternalTransformationsToGrammar.java","MINOR","QC:sablecc","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S00112","QC:sablecc:src/org/sablecc/sablecc/node/TArrow.java","MAJOR","QC:sablecc","33","33","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S1149","QC:sablecc:src/org/sablecc/sablecc/IntSet.java","MAJOR","QC:sablecc","300","300","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S00112","QC:sablecc:src/org/sablecc/sablecc/node/TStar.java","MAJOR","QC:sablecc","33","33","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S1132","QC:sablecc:src/org/sablecc/sablecc/GenAnalyses.java","MAJOR","QC:sablecc","44","44","null","OPEN","Move the """" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S00112","QC:sablecc:src/org/sablecc/sablecc/node/TComma.java","MAJOR","QC:sablecc","33","33","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S1132","QC:sablecc:src/org/sablecc/sablecc/GenAnalyses.java","MAJOR","QC:sablecc","209","209","null","OPEN","Move the """" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S1132","QC:sablecc:src/org/sablecc/sablecc/GenAnalyses.java","MAJOR","QC:sablecc","339","339","null","OPEN","Move the """" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S00112","QC:sablecc:src/org/sablecc/sablecc/GenAnalyses.java","MAJOR","QC:sablecc","40","40","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S00112","QC:sablecc:src/org/sablecc/sablecc/GenAnalyses.java","MAJOR","QC:sablecc","50","50","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S00112","QC:sablecc:src/org/sablecc/sablecc/GenAnalyses.java","MAJOR","QC:sablecc","146","146","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S00112","QC:sablecc:src/org/sablecc/sablecc/GenAnalyses.java","MAJOR","QC:sablecc","203","203","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S00112","QC:sablecc:src/org/sablecc/sablecc/GenAnalyses.java","MAJOR","QC:sablecc","258","258","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S00112","QC:sablecc:src/org/sablecc/sablecc/GenAnalyses.java","MAJOR","QC:sablecc","333","333","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S1132","QC:sablecc:src/org/sablecc/sablecc/GenerateAlternativeCodeForParser.java","MAJOR","QC:sablecc","124","124","null","OPEN","Move the ""null"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S1132","QC:sablecc:src/org/sablecc/sablecc/GenerateAlternativeCodeForParser.java","MAJOR","QC:sablecc","169","169","null","OPEN","Move the ""null"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S1132","QC:sablecc:src/org/sablecc/sablecc/GenerateAlternativeCodeForParser.java","MAJOR","QC:sablecc","233","233","null","OPEN","Move the ""null"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S1132","QC:sablecc:src/org/sablecc/sablecc/GenerateAlternativeCodeForParser.java","MAJOR","QC:sablecc","383","383","null","OPEN","Move the ""null"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S1132","QC:sablecc:src/org/sablecc/sablecc/GenerateAlternativeCodeForParser.java","MAJOR","QC:sablecc","565","565","null","OPEN","Move the ""null"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S00112","QC:sablecc:src/org/sablecc/sablecc/node/THelpers.java","MAJOR","QC:sablecc","33","33","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S00112","QC:sablecc:src/org/sablecc/sablecc/GenerateAlternativeCodeForParser.java","MAJOR","QC:sablecc","139","139","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S00112","QC:sablecc:src/org/sablecc/sablecc/GenerateAlternativeCodeForParser.java","MAJOR","QC:sablecc","252","252","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S00112","QC:sablecc:src/org/sablecc/sablecc/GenerateAlternativeCodeForParser.java","MAJOR","QC:sablecc","339","339","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S00112","QC:sablecc:src/org/sablecc/sablecc/GenerateAlternativeCodeForParser.java","MAJOR","QC:sablecc","395","395","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S00112","QC:sablecc:src/org/sablecc/sablecc/GenerateAlternativeCodeForParser.java","MAJOR","QC:sablecc","588","588","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S1149","QC:sablecc:src/org/sablecc/sablecc/LR0Item.java","MAJOR","QC:sablecc","63","63","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S1149","QC:sablecc:src/org/sablecc/sablecc/Production.java","MAJOR","QC:sablecc","20","20","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S1149","QC:sablecc:src/org/sablecc/sablecc/Production.java","MAJOR","QC:sablecc","100","100","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S00112","QC:sablecc:src/org/sablecc/sablecc/AddEventualEmptyTransformationToProductions.java","MAJOR","QC:sablecc","76","76","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S1149","QC:sablecc:src/org/sablecc/sablecc/Grammar.java","MAJOR","QC:sablecc","576","576","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S1149","QC:sablecc:src/org/sablecc/sablecc/NFA.java","MAJOR","QC:sablecc","279","279","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S1149","QC:sablecc:src/org/sablecc/sablecc/NFA.java","MAJOR","QC:sablecc","316","316","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S1149","QC:sablecc:src/org/sablecc/sablecc/CharSet.java","MAJOR","QC:sablecc","16","16","null","OPEN","Replace the synchronized class ""Vector"" by an unsynchronized one such as ""ArrayList"" or ""LinkedList"".","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S1149","QC:sablecc:src/org/sablecc/sablecc/CharSet.java","MAJOR","QC:sablecc","165","165","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S1149","QC:sablecc:src/org/sablecc/sablecc/DFA.java","MAJOR","QC:sablecc","24","24","null","OPEN","Replace the synchronized class ""Hashtable"" by an unsynchronized one such as ""HashMap"".","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S1149","QC:sablecc:src/org/sablecc/sablecc/DFA.java","MAJOR","QC:sablecc","319","319","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S1149","QC:sablecc:src/org/sablecc/sablecc/DFA.java","MAJOR","QC:sablecc","343","343","null","OPEN","Replace the synchronized class ""StringBuffer"" by an unsynchronized one such as ""StringBuilder"".","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S00112","QC:sablecc:src/org/sablecc/sablecc/ResolveAstIds.java","MAJOR","QC:sablecc","294","294","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S00112","QC:sablecc:src/org/sablecc/sablecc/ResolveAstIds.java","MAJOR","QC:sablecc","308","308","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S00112","QC:sablecc:src/org/sablecc/sablecc/ResolveAstIds.java","MAJOR","QC:sablecc","322","322","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S1149","QC:sablecc:src/org/sablecc/sablecc/analysis/AnalysisAdapter.java","MAJOR","QC:sablecc","10","10","null","OPEN","Replace the synchronized class ""Hashtable"" by an unsynchronized one such as ""HashMap"".","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S00112","QC:sablecc:src/org/sablecc/sablecc/node/TSemicolon.java","MAJOR","QC:sablecc","33","33","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S00112","QC:sablecc:src/org/sablecc/sablecc/node/TProductionSpecifier.java","MAJOR","QC:sablecc","33","33","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T09:36:49Z","2017-07-03T09:36:49Z","","CODE_SMELL","squid:S00112","QC:sablecc:src/org/sablecc/sablecc/node/TPackage.java","MAJOR","QC:sablecc","33","33","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
