"creationDate","updateDate","closeDate","type","rule","component","severity","project","startLine","endLine","resolution","status","message","effort","debt","author"
"2017-07-03T12:04:40Z","2017-07-03T12:04:40Z","","CODE_SMELL","squid:S00122","QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/TapestryFilter.java","MINOR","QC:tapestry","129","129","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T12:04:40Z","2017-07-03T12:04:40Z","","CODE_SMELL","squid:S1118","QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/MetaDataConstants.java","MAJOR","QC:tapestry","25","25","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-03T12:04:40Z","2017-07-03T12:04:40Z","","CODE_SMELL","squid:S00122","QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/corelib/components/Form.java","MINOR","QC:tapestry","221","221","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T12:04:40Z","2017-07-03T12:04:40Z","","CODE_SMELL","squid:S1118","QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/SymbolConstants.java","MAJOR","QC:tapestry","22","22","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-03T12:04:40Z","2017-07-03T12:04:40Z","","CODE_SMELL","squid:S00122","QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/corelib/components/Form.java","MINOR","QC:tapestry","326","326","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T12:04:40Z","2017-07-03T12:04:40Z","","CODE_SMELL","squid:S00122","QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/corelib/components/Form.java","MINOR","QC:tapestry","403","403","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T12:04:40Z","2017-07-03T12:04:40Z","","CODE_SMELL","squid:S00122","QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/corelib/components/Form.java","MINOR","QC:tapestry","372","372","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T12:04:40Z","2017-07-03T12:04:40Z","","CODE_SMELL","squid:S00122","QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/corelib/components/GridPager.java","MINOR","QC:tapestry","129","129","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T12:04:40Z","2017-07-03T12:04:40Z","","CODE_SMELL","squid:S00112","QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/corelib/components/Grid.java","MAJOR","QC:tapestry","384","384","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T12:04:40Z","2017-07-03T12:04:40Z","","CODE_SMELL","squid:S00122","QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/corelib/components/Grid.java","MINOR","QC:tapestry","426","426","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T12:04:40Z","2017-07-03T12:04:40Z","","CODE_SMELL","squid:S00122","QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/corelib/components/Grid.java","MINOR","QC:tapestry","471","471","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T12:04:40Z","2017-07-03T12:04:40Z","","CODE_SMELL","squid:S00122","QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/corelib/components/GridColumns.java","MINOR","QC:tapestry","153","153","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T12:04:40Z","2017-07-03T12:04:40Z","","CODE_SMELL","squid:S1132","QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/json/JSONObject.java","MAJOR","QC:tapestry","379","379","null","OPEN","Move the ""true"" string literal on the left side of this string comparison.","10","10min",""
"2017-07-03T12:04:40Z","2017-07-03T12:04:40Z","","CODE_SMELL","squid:S00122","QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/corelib/components/GridColumns.java","MINOR","QC:tapestry","157","157","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T12:04:40Z","2017-07-03T12:04:40Z","","CODE_SMELL","squid:S00122","QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/corelib/components/GridColumns.java","MINOR","QC:tapestry","241","241","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T12:04:40Z","2017-07-03T12:04:40Z","","CODE_SMELL","squid:S00112","QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/json/JSONObject.java","MAJOR","QC:tapestry","408","408","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
"2017-07-03T12:04:40Z","2017-07-03T12:04:40Z","","CODE_SMELL","squid:S00112","QC:tapestry:tapestry-core/src/main/java/org/apache/tapestry5/json/JSONObject.java","MAJOR","QC:tapestry","763","763","null","OPEN","Define and throw a dedicated exception instead of using a generic one.","20","20min",""
