"creationDate","updateDate","closeDate","type","rule","component","severity","project","startLine","endLine","resolution","status","message","effort","debt","author"
"2017-07-03T22:22:54Z","2017-07-03T22:22:54Z","","CODE_SMELL","squid:S00122","QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java","MINOR","QC:velocity","280","280","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T22:22:54Z","2017-07-03T22:22:54Z","","CODE_SMELL","squid:S00122","QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java","MINOR","QC:velocity","332","332","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T22:22:54Z","2017-07-03T22:22:54Z","","CODE_SMELL","squid:S00122","QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java","MINOR","QC:velocity","1052","1052","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T22:22:54Z","2017-07-03T22:22:54Z","","CODE_SMELL","squid:S00122","QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java","MINOR","QC:velocity","1095","1095","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T22:22:54Z","2017-07-03T22:22:54Z","","CODE_SMELL","squid:S00122","QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java","MINOR","QC:velocity","1264","1264","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T22:22:54Z","2017-07-03T22:22:54Z","","CODE_SMELL","squid:S00122","QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java","MINOR","QC:velocity","1812","1812","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T22:22:54Z","2017-07-03T22:22:54Z","","CODE_SMELL","squid:S00122","QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java","MINOR","QC:velocity","1858","1858","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T22:22:54Z","2017-07-03T22:22:54Z","","CODE_SMELL","squid:S00122","QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java","MINOR","QC:velocity","2201","2201","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T22:22:54Z","2017-07-03T22:22:54Z","","CODE_SMELL","squid:S00122","QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java","MINOR","QC:velocity","2365","2365","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T22:22:54Z","2017-07-03T22:22:54Z","","CODE_SMELL","squid:S00122","QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java","MINOR","QC:velocity","2568","2568","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T22:22:54Z","2017-07-03T22:22:54Z","","CODE_SMELL","squid:S00122","QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java","MINOR","QC:velocity","2650","2650","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T22:22:54Z","2017-07-03T22:22:54Z","","CODE_SMELL","squid:S00122","QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java","MINOR","QC:velocity","2698","2698","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T22:22:54Z","2017-07-03T22:22:54Z","","CODE_SMELL","squid:S00122","QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java","MINOR","QC:velocity","2953","2953","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T22:22:54Z","2017-07-03T22:22:54Z","","CODE_SMELL","squid:S00122","QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java","MINOR","QC:velocity","3049","3049","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
"2017-07-03T22:22:54Z","2017-07-03T22:22:54Z","","CODE_SMELL","squid:S00122","QC:velocity:src/java/org/apache/velocity/runtime/parser/ParserTokenManager.java","MINOR","QC:velocity","3101","3101","null","OPEN","At most one statement is allowed per line, but 2 statements were found on this line.","1","1min",""
