"creationDate","updateDate","closeDate","type","rule","component","severity","project","startLine","endLine","resolution","status","message","effort","debt","author"
"2017-07-03T15:50:00Z","2017-07-03T15:50:00Z","","CODE_SMELL","squid:S1118","QC:wct:WCTHarvestAgent/src/org/webcurator/core/common/Constants.java","MAJOR","QC:wct","22","22","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-03T15:50:00Z","2017-07-03T15:50:00Z","","CODE_SMELL","squid:S00105","QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/schedule/HarvestAgentHeartBeatJob.java","MINOR","QC:wct","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:50:00Z","2017-07-03T15:50:00Z","","CODE_SMELL","squid:S1118","QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/schedule/SchedulerUtil.java","MAJOR","QC:wct","35","35","null","OPEN","Add a private constructor to hide the implicit public one.","30","30min",""
"2017-07-03T15:50:00Z","2017-07-03T15:50:00Z","","CODE_SMELL","squid:S00105","QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/schedule/SchedulerUtil.java","MINOR","QC:wct","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:50:00Z","2017-07-03T15:50:00Z","","CODE_SMELL","squid:S00105","QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/schedule/HarvestCompleteJob.java","MINOR","QC:wct","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:50:00Z","2017-07-03T15:50:00Z","","CODE_SMELL","squid:S00105","QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/schedule/HarvestCompleteConfig.java","MINOR","QC:wct","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:50:00Z","2017-07-03T15:50:00Z","","CODE_SMELL","squid:S00105","QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/HarvestAgentSOAPService.java","MINOR","QC:wct","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:50:00Z","2017-07-03T15:50:00Z","","CODE_SMELL","squid:S00105","QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/NotEmptyFileFilter.java","MINOR","QC:wct","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
"2017-07-03T15:50:00Z","2017-07-03T15:50:00Z","","CODE_SMELL","squid:UnusedPrivateMethod","QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/HarvestAgentHeritrix.java","MAJOR","QC:wct","163","163","null","OPEN","Remove this unused private ""createIndex"" method.","5","5min",""
"2017-07-03T15:50:00Z","2017-07-03T15:50:00Z","","CODE_SMELL","squid:S00105","QC:wct:WCTHarvestAgent/src/org/webcurator/core/harvester/agent/HarvestAgentHeritrix.java","MINOR","QC:wct","","","null","OPEN","Replace all tab characters in this file by sequences of white-spaces.","2","2min",""
