,sonarQubeIssue
0,squid:S00101
1,squid:S00100
2,squid:S1135
3,squid:S00122
4,squid:S1213
5,squid:S00112
6,squid:S1066
7,squid:S00120
8,squid:S00105
9,common-java:DuplicatedBlocks
10,squid:S00116
11,squid:S00117
12,code_smells:long_method
13,squid:S1319
14,code_smells:long_parameter_list
15,squid:S1182
16,squid:S1199
17,squid:RedundantThrowsDeclarationCheck
18,squid:S1185
19,squid:S1149
20,squid:MethodCyclomaticComplexity
21,squid:S1166
22,squid:CommentedOutCodeLine
23,code_smells:spaghetti_code
24,squid:S1192
25,code_smells:antisingleton
26,squid:S1068
27,squid:ModifiersOrderCheck
28,squid:S1312
29,code_smells:complex_class
30,squid:S134
31,squid:S1067
32,squid:S1226
33,squid:S2386
34,squid:S1214
35,squid:S1488
36,squid:S1126
37,squid:S1132
38,squid:S00108
39,code_smells:lazy_class
40,squid:S2094
41,squid:ClassVariableVisibilityCheck
42,squid:EmptyStatementUsageCheck
43,squid:S1244
44,code_smells:class_data_private
45,squid:UselessImportCheck
46,squid:S106
47,squid:S1148
48,squid:S1186
49,squid:S1181
50,squid:S1168
51,squid:S1172
52,squid:S2131
53,squid:SwitchLastCaseIsDefaultCheck
54,squid:S1118
55,squid:S1444
56,squid:S1133
57,squid:S135
58,squid:ClassCyclomaticComplexity
59,squid:S1134
60,squid:LabelsShouldNotBeUsedCheck
61,squid:S1481
62,squid:HiddenFieldCheck
63,squid:S1170
64,squid:S1151
65,squid:S1161
66,squid:S1155
67,squid:S1206
68,squid:S2111
69,squid:S2184
70,squid:S1147
71,squid:S1215
72,squid:S1905
73,squid:S1764
74,squid:S1125
75,squid:UnusedPrivateMethod
76,squid:S1197
77,squid:AssignmentInSubExpressionCheck
78,squid:S1314
79,squid:S1301
80,squid:S1065
81,squid:RightCurlyBraceStartLineCheck
82,squid:S1220
83,squid:S2178
84,squid:S00115
85,code_smells:refused_parent_bequest
86,squid:S2250
87,squid:S2157
88,squid:S00107
89,squid:ForLoopCounterChangedCheck
90,squid:S1948
91,squid:S1700
92,squid:S2166
93,code_smells:speculative_generality
94,squid:S1188
95,squid:MissingDeprecatedCheck
96,squid:S1165
97,squid:S1160
98,squid:S2272
99,squid:S2160
100,squid:S00119
101,squid:S2447
102,squid:S1210
103,squid:S1141
104,squid:S1193
105,squid:S2274
106,squid:S1452
107,squid:S1174
108,squid:ObjectFinalizeOverridenCheck
109,squid:S2165
110,squid:S2130
111,squid:S1598
112,squid:S1201
113,squid:S128
114,squid:S1596
115,squid:S1872
116,squid:S2065
117,squid:UselessParenthesesCheck
118,squid:S2153
119,squid:S1158
120,squid:S1150
121,squid:S1479
122,squid:S1313
123,squid:S1190
124,squid:S1153
125,squid:S2068
126,squid:S2175
127,squid:S2114
128,squid:S1143
129,squid:S2133
130,squid:S1163
131,squid:S1191
132,squid:S2326
133,code_smells:baseclass_abstract
134,squid:S1171
135,squid:S1862
136,code_smells:message_chains
137,squid:S1145
138,squid:S2276
139,squid:S2183
140,code_smells:many_field_attributes_not_complex
141,squid:S1157
142,squid:S2176
143,squid:S1194
144,squid:S1221
145,code_smells:swiss_army_knife
146,squid:S1860
147,squid:S2066
148,squid:S2077
149,squid:S1994
150,squid:S1850
151,squid:S2116
152,squid:S2225
153,squid:S2118
154,squid:S888
155,squid:S2252
156,squid:S2055
157,squid:S1219
158,squid:S2273
159,squid:S2251
160,squid:S2236
161,squid:S00114
162,squid:S2388
163,squid:S2134
164,code_smells:large_class
165,squid:S2110
166,squid:S1175
167,squid:ObjectFinalizeOverridenCallsSuperFinalizeCheck
168,squid:S1195
169,squid:S2123
170,squid:S2440
171,squid:S2151
172,squid:ObjectFinalizeCheck
173,squid:S1217
174,squid:S1223
175,squid:S2275
176,squid:S2438
177,squid:S2232
178,squid:S2200
179,jdepend:afferent-couplings
